Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
GRASO_121	7.838882705881869	2.182854537665862
GRASO_122	3.958715713848278	3.1701139433070242
GRASO_123	13.716324912734681	16.66098561237981
GRASO_124	2.5705931342854624	7.671054167199258
GRASO_125	1.5852727141068632	4.052528485568328
GRASO_126	3.2566145655021006	11.00593656840324
GRASO_127	1.0472133360959053	3.6409793976933775
GRASO_128	0.771141126948487	8.169177155816703
GRASO_129	7.39644283565372	13.42408545803282
GRASO_130	5.63407391994364	3.7966098935400385
GRASO_131	1.989999987341222	5.840791815002929
GRASO_132	3.192084674773389	5.3862078558648925
GRASO_133	4.123620972061323	5.580515626980942
GRASO_134	12.249506600609	2.650853540155458
GRASO_135	0.9944001603637318	4.6863690183457924
GRASO_136	2.4851387122367683	8.838396652432333
GRASO_137	3.655900478853349	12.49185937058864
GRASO_138	7.252808037103831	3.186297799671417
GRASO_139	9.266611618705396	3.8774530157814553
GRASO_140	3.4306302462207725	6.5355290392412915
GRASO_141	3.668877316785526	8.059936109003592
GRASO_142	3.181653334914314	4.439860261575584
GRASO_143	18.177313723034864	8.592070372468008
GRASO_144	2.253522037473939	8.953047090945482
GRASO_145	1.158798829502905	4.769311160037827
GRASO_146	2.1910566375683382	4.919824927564108
GRASO_147	2.704100401677004	3.784450422891352
GRASO_148	3.580518627545267	4.494491157273536
GRASO_149	2.2830041447113594	3.8676662184451995
GRASO_150	2.2255204966035937	4.744365254307414
GRASO_151	1.6587681758607191	5.2629055218065535
GRASO_152	3.7155649088928335	3.365495264198837
GRASO_153	1.7524757296784197	6.381883956119934
GRASO_154	2.7256462107275135	4.538417417177644
GRASO_155	1.127069854969622	7.722458620914547
GRASO_156	2.478905184850631	10.488452533296783
GRASO_157	3.3551848457285924	3.6469428343407975
GRASO_158	2.4511556740508587	6.245887371871441
GRASO_159	1.0908361143844723	4.507691754271976
GRASO_160	2.8754891346315987	3.804029381960762
GRASO_161	4.6447511501736445	4.134332101047593
GRASO_162	1.1211127148268247	4.143969530493526
GRASO_163	1.8361162193742873	4.631257740249429
GRASO_164	2.0553873095112953	4.284036044827208
GRASO_165	0.5732420470071087	3.5253473690081654
GRASO_166	2.3101090538048945	3.28145777786167
GRASO_167	11.775844867819849	5.201724442173283
GRASO_168	1.473676355790834	7.913160876056885
GRASO_169	7.056217226160635	14.868493768164972
GRASO_170	0.48226598046969255	3.4287939666059337
GRASO_171	0.7477017116221767	2.1200430014781935
GRASO_172	3.6803070771918773	7.987238299938593
GRASO_173	1.1069700664324045	4.851046535788164
GRASO_174	0.2862994579922722	0.3142049101280676
GRASO_175	1.1112068273208886	5.990623115157943
GRASO_176	0.33533758152901416	3.826084739364899
GRASO_177	0.3963557540732383	3.2446832406647395
GRASO_178	0.31546858649048864	2.025955171329308
GRASO_179	0.34397236871469117	2.1199345797897045
GRASO_180	0.5599990296388554	3.8209466905265392
HIGADO_01	1.0293317025075999	2.082864866718988
HIGADO_02	0.9530030099877499	2.541200690755757
HIGADO_03	0.99831677946125	2.829558357094995
HIGADO_04	1.0614802342596357	4.605373758886076
HIGADO_05	0.5261312841012665	0.6471356909448828
HIGADO_06	0.8610115248970324	1.7169631826166825
HIGADO_07	0.6470368362709223	2.9040375505110396
HIGADO_08	0.7014586493757025	2.4927157769353325
HIGADO_09	0.5643808427420034	3.042760023490885
HIGADO_10	0.7244094212103304	5.49385834977894
HIGADO_11	1.3009765464447098	2.5009439139743037
HIGADO_12	1.141288905900526	3.108185413018607
HIGADO_13	0.3761769372990913	3.9438569953607368
HIGADO_14	0.5346959693848498	5.362421469071656
HIGADO_15	0.38788867396870236	5.078392012285601
HIGADO_16	0.3553150814648724	6.266532936061653
HIGADO_17	0.33270764943291165	3.305048676728288
