Sample	Unique Reads	Duplicate Reads
GRASO_121	24264146.0	25680089.0
GRASO_122	30573807.0	27547290.0
GRASO_123	20056394.0	50021561.0
GRASO_124	14000184.0	17488891.0
GRASO_125	31407930.0	23486095.0
GRASO_126	22769713.0	28924461.0
GRASO_127	31961508.0	30115910.0
GRASO_128	25666141.0	27594927.0
GRASO_129	7894470.0	32380363.0
GRASO_130	24722119.0	26134278.0
GRASO_131	23381401.0	24016539.0
GRASO_132	18037403.0	18296063.0
GRASO_133	20101967.0	23887624.0
GRASO_134	14384397.0	20611086.0
GRASO_135	16299483.0	14729977.0
GRASO_136	18488848.0	21457051.0
GRASO_137	13483646.0	19173534.0
GRASO_138	23495726.0	24156066.0
GRASO_139	17650379.0	16040242.0
GRASO_140	26777185.0	28194172.0
GRASO_141	22584717.0	21586452.0
GRASO_142	25909755.0	23207444.0
GRASO_143	9263405.0	36127983.0
GRASO_144	10322025.0	46590487.0
GRASO_145	77834825.0	106491647.0
GRASO_146	17237580.0	33418938.0
GRASO_147	15747998.0	18108807.0
GRASO_148	19300522.0	24558236.0
GRASO_149	14566309.0	14661058.0
GRASO_150	27155856.0	36302243.0
GRASO_151	17667692.0	26982188.0
GRASO_152	27842167.0	30007179.0
GRASO_153	25200128.0	22831065.0
GRASO_154	7400395.0	4873465.0
GRASO_155	33153359.0	37347595.0
GRASO_156	10227340.0	18303723.0
GRASO_157	20786930.0	18247134.0
GRASO_158	15291802.0	16268005.0
GRASO_159	34829266.0	35474787.0
GRASO_160	24115537.0	26647583.0
GRASO_161	17646270.0	19172301.0
GRASO_162	25354047.0	27144867.0
GRASO_163	16343482.0	20423744.0
GRASO_164	14722273.0	16406410.0
GRASO_165	22126013.0	25780103.0
GRASO_166	18308723.0	19411098.0
GRASO_167	14240948.0	21194743.0
GRASO_168	18661089.0	20818950.0
GRASO_169	10753395.0	30865165.0
GRASO_170	21874032.0	16937953.0
GRASO_171	24457424.0	17809030.0
GRASO_172	12744674.0	17069849.0
GRASO_173	12537600.0	10419570.0
GRASO_174	14886054.0	8012697.0
GRASO_175	14449281.0	14676170.0
GRASO_176	15553950.0	11507735.0
GRASO_177	14286643.0	7572255.0
GRASO_178	23684634.0	13300982.0
GRASO_179	34427899.0	16534334.0
GRASO_180	22583235.0	16165225.0
HIGADO_01	9840115.0	17447493.0
HIGADO_02	13188140.0	27806379.0
HIGADO_03	11295647.0	24027710.0
HIGADO_04	11276930.0	21617512.0
HIGADO_05	11323551.0	20981884.0
HIGADO_06	12205238.0	24001246.0
HIGADO_07	15686127.0	35774158.0
HIGADO_08	12076918.0	27817522.0
HIGADO_09	11014904.0	19839616.0
HIGADO_10	12374043.0	26413415.0
HIGADO_11	15382554.0	29640087.0
HIGADO_12	13342771.0	28834893.0
HIGADO_13	17484429.0	41432261.0
HIGADO_14	16655511.0	38415785.0
HIGADO_15	16665634.0	37677020.0
HIGADO_16	10249273.0	23831183.0
HIGADO_17	14942160.0	33914246.0
HIGADO_18	16785688.0	45486346.0
HIGADO_19	15052968.0	31034553.0
HIGADO_20	11348299.0	19891708.0
HIGADO_21	21804290.0	52127187.0
HIGADO_22	7150537.0	14159808.0
HIGADO_23	15082424.0	30825190.0
HIGADO_24	14204700.0	34058475.0
HIGADO_25	7602663.0	11944336.0
HIGADO_26	10485381.0	17044589.0
HIGADO_27	13430008.0	27157070.0
HIGADO_28	9341621.0	15900372.0
HIGADO_29	9927485.0	17170296.0
HIGADO_30	11959681.0	22214295.0
HIGADO_31	10078260.0	15913868.0
HIGADO_32	9903513.0	16369319.0
HIGADO_33	10772626.0	21399185.0
HIGADO_34	18316329.0	40392946.0
HIGADO_35	9937873.0	19709846.0
HIGADO_36	11988003.0	25392733.0
HIGADO_37	11009232.0	17218421.0
HIGADO_38	10269824.0	17243956.0
HIGADO_39	11571939.0	22492819.0
HIGADO_40	10044321.0	19817961.0
HIGADO_41	14674852.0	33216608.0
HIGADO_42	14447992.0	30633116.0
HIGADO_43	14146492.0	28969621.0
HIGADO_44	9835688.0	20500726.0
HIGADO_45	12011966.0	28724058.0
HIGADO_46	9352443.0	18803914.0
HIGADO_47	8393469.0	17402338.0
HIGADO_48	10162602.0	23707671.0
HIGADO_49	16446894.0	37332140.0
HIGADO_50	10744077.0	21589332.0
HIGADO_51	11197096.0	19169066.0
HIGADO_52	13088859.0	28599354.0
HIGADO_53	9969302.0	18116245.0
HIGADO_54	10983290.0	20824869.0
HIGADO_55	9538664.0	18741967.0
HIGADO_56	8872337.0	17674512.0
HIGADO_57	10753177.0	28809371.0
HIGADO_58	10455103.0	21207274.0
HIGADO_59	10330004.0	20486162.0
HIGADO_60	10317565.0	22622832.0
MUSCULO_100	23097508.0	56106355.0
MUSCULO_101	14792737.0	26835239.0
MUSCULO_102	7960630.0	13091375.0
MUSCULO_103	8626541.0	16373089.0
MUSCULO_104	12421528.0	22696102.0
MUSCULO_105	11689318.0	22079277.0
MUSCULO_106	8606318.0	17838197.0
MUSCULO_107	12610718.0	22819662.0
MUSCULO_108	17465960.0	36450217.0
MUSCULO_109	9960861.0	16801760.0
MUSCULO_110	10344216.0	16775722.0
MUSCULO_111	9262543.0	16618212.0
MUSCULO_112	11499085.0	22448953.0
MUSCULO_113	13961967.0	20960440.0
MUSCULO_114	10952031.0	22867371.0
MUSCULO_115	14876176.0	28289869.0
MUSCULO_116	17852019.0	49198546.0
MUSCULO_117	8365436.0	15584211.0
MUSCULO_118	12592463.0	22294103.0
MUSCULO_119	9841826.0	21518806.0
MUSCULO_120	11392107.0	19245230.0
MUSCULO_61	15114098.0	32249166.0
MUSCULO_62	18909754.0	39218745.0
MUSCULO_63	17815778.0	32198349.0
MUSCULO_64	10375437.0	19214395.0
MUSCULO_65	9177907.0	14435049.0
MUSCULO_66	9370800.0	14285002.0
MUSCULO_67	9243481.0	17237486.0
MUSCULO_68	9429077.0	14082101.0
MUSCULO_69	9483185.0	14680075.0
MUSCULO_70	9209816.0	17731072.0
MUSCULO_71	10252350.0	15939229.0
MUSCULO_72	7220152.0	10930463.0
MUSCULO_73	12474364.0	25498600.0
MUSCULO_74	14550117.0	24503079.0
MUSCULO_75	12002460.0	19878999.0
MUSCULO_76	12032699.0	19554533.0
MUSCULO_77	21667394.0	37541928.0
MUSCULO_78	16443034.0	35611712.0
MUSCULO_79	13251283.0	25453209.0
MUSCULO_80	10750606.0	18695070.0
MUSCULO_81	10072677.0	19264037.0
