Sample	Unique Unpaired	Duplicate Unpaired
GRASO_121	15450413.0	28987416.0
GRASO_122	18808501.0	35344558.0
GRASO_123	12277561.0	42630896.0
GRASO_124	7242185.0	20625682.0
GRASO_125	20418122.0	32007851.0
GRASO_126	15131654.0	32970979.0
GRASO_127	18530581.0	40783492.0
GRASO_128	16160404.0	35014884.0
GRASO_129	3172431.0	25799773.0
GRASO_130	15200017.0	31147713.0
GRASO_131	14323034.0	30625674.0
GRASO_132	11564840.0	22335498.0
GRASO_133	12295818.0	28761965.0
GRASO_134	8141372.0	20565580.0
GRASO_135	10216019.0	19003416.0
GRASO_136	11590820.0	25839198.0
GRASO_137	7447348.0	17241539.0
GRASO_138	15090806.0	27711576.0
GRASO_139	11609654.0	17440561.0
GRASO_140	16842628.0	34733247.0
GRASO_141	15066263.0	25721385.0
GRASO_142	16205579.0	29973563.0
GRASO_143	3847487.0	26847121.0
GRASO_144	3054588.0	25574519.0
GRASO_145	37541533.0	138687784.0
GRASO_146	9723409.0	36585183.0
GRASO_147	9026428.0	21669275.0
GRASO_148	10948797.0	28777578.0
GRASO_149	9046771.0	18178509.0
GRASO_150	15810313.0	44089832.0
GRASO_151	10051575.0	31956123.0
GRASO_152	17179621.0	36984199.0
GRASO_153	16368655.0	29317605.0
GRASO_154	4926033.0	5895665.0
GRASO_155	20286765.0	47261914.0
GRASO_156	4763587.0	17881920.0
GRASO_157	12629076.0	21259600.0
GRASO_158	8220621.0	21612723.0
GRASO_159	20720420.0	47235056.0
GRASO_160	14384810.0	33757160.0
GRASO_161	10099164.0	22383274.0
GRASO_162	14201010.0	35881495.0
GRASO_163	9159739.0	24489691.0
GRASO_164	8834108.0	19103624.0
GRASO_165	12064076.0	32446914.0
GRASO_166	11074287.0	23489008.0
GRASO_167	7735183.0	20313179.0
GRASO_168	11749229.0	25764608.0
GRASO_169	5099655.0	28073513.0
GRASO_170	13601522.0	24103656.0
GRASO_171	14941606.0	25346702.0
GRASO_172	7378973.0	16662439.0
GRASO_173	7887911.0	12365878.0
GRASO_174	9480039.0	12892222.0
