Sample	Exonic	Intronic	Intergenic
GRASO_121	17367903.0	12292831.0	6040120.0
GRASO_122	20705451.0	15513453.0	7893707.0
GRASO_123	16011022.0	9038553.0	4845864.0
GRASO_124	10999531.0	6742020.0	3699893.0
GRASO_125	18075585.0	16748678.0	6924389.0
GRASO_126	16239166.0	10777238.0	5490051.0
GRASO_127	24962201.0	14577541.0	8041857.0
GRASO_128	17790489.0	13347068.0	6223523.0
GRASO_129	5188838.0	2737163.0	2448019.0
GRASO_130	19880728.0	11591634.0	5526128.0
GRASO_131	17760456.0	10084517.0	5063625.0
GRASO_132	14468671.0	8022880.0	3812296.0
GRASO_133	18185383.0	8970482.0	4233413.0
GRASO_134	13129648.0	7173566.0	3494671.0
GRASO_135	11503231.0	8385635.0	4216318.0
GRASO_136	13646710.0	8022711.0	3981988.0
GRASO_137	7402168.0	8494851.0	3891410.0
GRASO_138	15947256.0	12101648.0	5794180.0
GRASO_139	9538661.0	9772077.0	4233696.0
GRASO_140	19154297.0	13830001.0	6137738.0
GRASO_141	13216527.0	11382775.0	5066498.0
GRASO_142	17339419.0	12674345.0	6079771.0
GRASO_143	5112501.0	3276048.0	3316569.0
GRASO_144	8580196.0	2084869.0	2840808.0
GRASO_145	75172289.0	41689061.0	23469157.0
GRASO_146	22133374.0	7931438.0	5005055.0
GRASO_147	14295666.0	6564466.0	4204779.0
GRASO_148	18793870.0	8188422.0	5135614.0
GRASO_149	12404131.0	6288801.0	3579592.0
GRASO_150	27593189.0	13436180.0	7639520.0
GRASO_151	20979143.0	7598588.0	4929272.0
GRASO_152	22888306.0	14684093.0	7955224.0
GRASO_153	16092309.0	12447896.0	6327351.0
GRASO_154	3505072.0	3363377.0	1481457.0
GRASO_155	26066959.0	17407572.0	8797864.0
GRASO_156	10160084.0	4198051.0	2490782.0
GRASO_157	12703954.0	10166559.0	4978478.0
GRASO_158	13313941.0	6826004.0	3646775.0
GRASO_159	28510182.0	16936897.0	9198274.0
GRASO_160	22450013.0	10875094.0	6660968.0
GRASO_161	12921808.0	8751951.0	4985046.0
GRASO_162	22139252.0	12037005.0	7212272.0
GRASO_163	15951241.0	6634265.0	4589886.0
GRASO_164	12651392.0	6269495.0	3878273.0
GRASO_165	21009353.0	9602070.0	5895983.0
GRASO_166	15229170.0	8428393.0	4833666.0
GRASO_167	10656845.0	7548852.0	4234755.0
GRASO_168	15327083.0	7875343.0	4959369.0
GRASO_169	8401476.0	4453062.0	3165084.0
GRASO_170	15611722.0	10004114.0	5372441.0
GRASO_171	17080629.0	11456430.0	5963685.0
GRASO_172	10833596.0	5547118.0	3590260.0
GRASO_173	8676861.0	5022109.0	2975223.0
GRASO_174	10307191.0	5862630.0	3240898.0
GRASO_175	11703475.0	6480460.0	3778534.0
GRASO_176	10990906.0	5612868.0	3177993.0
GRASO_177	8575446.0	5951050.0	3029907.0
GRASO_178	13953679.0	11302584.0	5466237.0
GRASO_179	13971488.0	20558179.0	7622628.0
GRASO_180	14010701.0	11103047.0	5338654.0
HIGADO_01	13525388.0	4554421.0	2135680.0
HIGADO_02	20283324.0	6637208.0	2948946.0
HIGADO_03	17464406.0	5743608.0	2446849.0
HIGADO_04	14468754.0	5257140.0	2493874.0
HIGADO_05	17360510.0	5727403.0	2380005.0
HIGADO_06	17733571.0	5870199.0	2514853.0
HIGADO_07	25041703.0	7980894.0	3480091.0
HIGADO_08	18305587.0	5727961.0	2763515.0
HIGADO_09	13595294.0	5062914.0	2563323.0
HIGADO_10	16347968.0	6206341.0	3146534.0
HIGADO_11	20426749.0	6709237.0	3880478.0
HIGADO_12	18735771.0	6661968.0	3279223.0
HIGADO_13	28273378.0	9095942.0	4510133.0
HIGADO_14	26633404.0	8889050.0	3781890.0
HIGADO_15	26155845.0	8082343.0	3828921.0
HIGADO_16	15118629.0	4796066.0	2163725.0
HIGADO_17	23901442.0	7758829.0	3489905.0
HIGADO_18	27708094.0	8501634.0	4379424.0
HIGADO_19	22840306.0	7532439.0	3664142.0
HIGADO_20	15131245.0	4894191.0	2478505.0
HIGADO_21	35435165.0	11925115.0	5468775.0
HIGADO_22	9849265.0	3650836.0	1549972.0
HIGADO_23	22042892.0	7454083.0	3635717.0
HIGADO_24	23330000.0	7477019.0	3225489.0
HIGADO_25	10652767.0	3465135.0	1413552.0
HIGADO_26	15078126.0	4496735.0	2187884.0
HIGADO_27	22694934.0	7135726.0	3129695.0
HIGADO_28	14165100.0	4637076.0	1847612.0
HIGADO_29	13747204.0	4467597.0	2063205.0
HIGADO_30	17809684.0	6024195.0	2676034.0
HIGADO_31	13134718.0	4326419.0	2039533.0
HIGADO_32	14163419.0	4732587.0	2028563.0
HIGADO_33	16180535.0	5322529.0	2224537.0
HIGADO_34	29006375.0	10060290.0	4254431.0
HIGADO_35	13460811.0	4384572.0	2376642.0
HIGADO_36	18803221.0	6382295.0	2932005.0
HIGADO_37	14332477.0	5392409.0	2285441.0
HIGADO_38	14443428.0	4890329.0	2216772.0
HIGADO_39	17206327.0	5179216.0	2825586.0
HIGADO_40	14741265.0	4666943.0	2518534.0
HIGADO_41	22251456.0	7614250.0	3439464.0
HIGADO_42	21723293.0	7863826.0	3280539.0
HIGADO_43	21730551.0	6775305.0	2994906.0
HIGADO_44	15263584.0	4636602.0	2139731.0
HIGADO_45	17767951.0	5880971.0	2700746.0
HIGADO_46	14493481.0	4610547.0	1840635.0
HIGADO_47	11449459.0	3812156.0	1859390.0
HIGADO_48	12959345.0	4936509.0	2682579.0
HIGADO_49	25423919.0	8464276.0	3783307.0
HIGADO_50	15648970.0	5207247.0	2346081.0
HIGADO_51	13709587.0	5853956.0	2404925.0
HIGADO_52	18217703.0	6617936.0	3026628.0
HIGADO_53	12954356.0	4638161.0	2184535.0
HIGADO_54	16869087.0	5681291.0	2091740.0
HIGADO_55	12917300.0	4153293.0	1854151.0
HIGADO_56	11468028.0	3946151.0	1909531.0
HIGADO_57	14695741.0	4825063.0	2574298.0
HIGADO_58	14510012.0	4750516.0	2022691.0
HIGADO_59	15324940.0	5034743.0	1934993.0
HIGADO_60	12673651.0	4574463.0	2278677.0
MUSCULO_100	36572825.0	9921915.0	11918173.0
MUSCULO_101	20202182.0	5403580.0	7946849.0
MUSCULO_102	10365568.0	2736665.0	3224418.0
MUSCULO_103	10019594.0	2821269.0	4057989.0
MUSCULO_104	16223142.0	5012965.0	6864139.0
MUSCULO_105	15136053.0	4690300.0	4958812.0
MUSCULO_106	11396164.0	3307637.0	3532614.0
