Sample	Sense	Antisense	Undetermined
GRASO_121	2.93	94.62	2.45
GRASO_122	3.16	93.89999999999999	2.94
GRASO_123	2.96	94.85	2.19
GRASO_124	3.47	95.24000000000001	1.29
GRASO_125	3.25	93.5	3.25
GRASO_126	2.53	95.02000000000001	2.45
GRASO_127	2.83	94.0	3.18
GRASO_128	2.81	94.62	2.5700000000000003
GRASO_129	6.59	92.10000000000001	1.31
GRASO_130	2.85	94.28999999999999	2.86
GRASO_131	2.4299999999999997	94.65	2.92
GRASO_132	2.42	95.11	2.4699999999999998
GRASO_133	2.32	95.16	2.52
GRASO_134	3.16	95.24000000000001	1.59
GRASO_135	2.87	95.56	1.5699999999999998
GRASO_136	2.52	94.98	2.5
GRASO_137	3.55	95.35	1.09
GRASO_138	2.56	95.0	2.44
GRASO_139	3.16	95.07	1.77
GRASO_140	2.93	94.56	2.5100000000000002
GRASO_141	2.68	95.0	2.32
GRASO_142	2.77	94.63000000000001	2.6
GRASO_143	4.569999999999999	94.13	1.3
GRASO_144	4.04	94.99	0.97
GRASO_145	3.8600000000000003	93.17	2.98
GRASO_146	3.3099999999999996	95.27	1.4200000000000002
GRASO_147	3.44	94.8	1.76
GRASO_148	2.86	95.28999999999999	1.8499999999999999
GRASO_149	2.73	95.52000000000001	1.76
GRASO_150	2.88	94.89999999999999	2.23
GRASO_151	2.77	95.47	1.76
GRASO_152	3.34	94.11	2.56
GRASO_153	2.7	94.91000000000001	2.39
GRASO_154	2.7	95.92	1.38
GRASO_155	3.2	93.78	3.02
GRASO_156	2.8899999999999997	95.62	1.48
GRASO_157	2.5100000000000002	95.74000000000001	1.7399999999999998
GRASO_158	2.91	95.62	1.47
GRASO_159	2.97	93.77	3.27
GRASO_160	2.52	95.14	2.34
GRASO_161	3.5000000000000004	95.07	1.43
GRASO_162	2.8000000000000003	95.03	2.17
GRASO_163	3.01	95.27	1.72
GRASO_164	3.4000000000000004	95.02000000000001	1.58
GRASO_165	3.47	94.55	1.9900000000000002
GRASO_166	3.0700000000000003	95.00999999999999	1.92
GRASO_167	3.2	95.45	1.34
GRASO_168	2.79	95.14	2.06
GRASO_169	5.64	92.72	1.6400000000000001
GRASO_170	2.7	94.82000000000001	2.4699999999999998
GRASO_171	2.4899999999999998	95.08	2.4299999999999997
GRASO_172	3.34	95.12	1.54
GRASO_173	2.6	95.88	1.52
GRASO_174	2.13	95.93	1.94
GRASO_175	2.86	95.52000000000001	1.6099999999999999
GRASO_176	2.21	95.73	2.06
GRASO_177	2.33	95.77	1.9
GRASO_178	2.4899999999999998	95.13000000000001	2.3800000000000003
GRASO_179	3.1199999999999997	94.07	2.81
GRASO_180	2.52	95.14	2.35
HIGADO_01	1.58	96.32	2.1
HIGADO_02	1.67	96.24000000000001	2.09
HIGADO_03	1.5	96.3	2.1999999999999997
HIGADO_04	1.5599999999999998	96.25	2.19
HIGADO_05	1.46	96.16	2.3800000000000003
HIGADO_06	1.51	96.33	2.16
HIGADO_07	1.72	96.1	2.18
HIGADO_08	1.6500000000000001	96.2	2.15
HIGADO_09	1.7500000000000002	96.17	2.08
HIGADO_10	1.68	96.35000000000001	1.97
HIGADO_11	1.67	96.21	2.12
HIGADO_12	1.67	96.27	2.0500000000000003
HIGADO_13	1.59	96.15	2.26
HIGADO_14	1.73	95.83	2.45
HIGADO_15	1.63	96.02000000000001	2.35
HIGADO_16	1.52	96.37	2.11
HIGADO_17	1.68	96.14	2.18
HIGADO_18	1.91	95.78999999999999	2.3
HIGADO_19	1.67	96.14	2.19
HIGADO_20	1.44	96.32	2.25
HIGADO_21	1.6500000000000001	95.58	2.77
HIGADO_22	1.47	96.7	1.8399999999999999
HIGADO_23	1.66	96.28999999999999	2.0500000000000003
HIGADO_24	1.67	96.14	2.19
HIGADO_25	1.53	96.65	1.82
HIGADO_26	1.54	95.98	2.48
HIGADO_27	1.6500000000000001	96.19	2.17
HIGADO_28	1.35	96.57	2.08
HIGADO_29	1.6	96.21	2.19
HIGADO_30	1.4200000000000002	96.43	2.15
HIGADO_31	1.35	96.48	2.17
HIGADO_32	1.54	96.24000000000001	2.22
HIGADO_33	1.48	96.24000000000001	2.2800000000000002
HIGADO_34	2.11	95.56	2.33
HIGADO_35	1.81	96.12	2.07
HIGADO_36	1.5599999999999998	96.28	2.16
HIGADO_37	1.6199999999999999	96.21	2.17
HIGADO_38	1.59	96.3	2.1
HIGADO_39	1.6	96.12	2.29
HIGADO_40	1.6199999999999999	96.21	2.17
HIGADO_41	1.7399999999999998	96.16	2.11
HIGADO_42	2.01	95.96000000000001	2.02
HIGADO_43	1.97	95.69	2.34
HIGADO_44	1.69	96.28	2.03
HIGADO_45	1.8900000000000001	95.89999999999999	2.22
HIGADO_46	1.38	96.53	2.09
HIGADO_47	1.51	96.59	1.8900000000000001
HIGADO_48	1.58	96.45	1.97
HIGADO_49	1.63	96.04	2.34
HIGADO_50	1.5	96.36	2.1399999999999997
HIGADO_51	1.5599999999999998	96.39	2.0500000000000003
HIGADO_52	1.54	96.3	2.16
HIGADO_53	1.5	96.26	2.2399999999999998
HIGADO_54	1.51	96.28	2.21
HIGADO_55	1.53	96.38	2.09
HIGADO_56	1.37	96.57	2.06
HIGADO_57	1.51	96.38	2.11
HIGADO_58	1.41	96.33	2.25
HIGADO_59	1.51	96.23	2.26
HIGADO_60	1.49	96.34	2.17
MUSCULO_100	2.67	95.42	1.9
MUSCULO_101	3.74	94.86	1.4000000000000001
MUSCULO_102	2.82	95.85000000000001	1.34
MUSCULO_103	2.91	95.71	1.37
MUSCULO_104	3.82	94.92	1.26
MUSCULO_105	4.53	94.16	1.31
MUSCULO_106	3.54	95.17	1.29
MUSCULO_107	4.52	94.22	1.26
MUSCULO_108	3.2199999999999998	95.21	1.5699999999999998
MUSCULO_109	2.74	95.95	1.31
MUSCULO_110	3.44	95.33	1.23
MUSCULO_111	3.73	95.07	1.2
MUSCULO_112	4.130000000000001	94.61	1.26
MUSCULO_113	4.31	94.56	1.13
MUSCULO_114	3.7699999999999996	95.08	1.1400000000000001
MUSCULO_115	4.7	94.21000000000001	1.09
MUSCULO_116	3.47	94.99	1.54
MUSCULO_117	3.16	95.54	1.3
MUSCULO_118	3.58	95.00999999999999	1.41
MUSCULO_119	3.2199999999999998	95.53	1.25
MUSCULO_120	3.9600000000000004	94.71000000000001	1.3299999999999998
MUSCULO_61	3.8699999999999997	94.66	1.47
MUSCULO_62	2.9499999999999997	95.45	1.6
MUSCULO_63	3.71	94.73	1.5599999999999998
MUSCULO_64	2.6	96.1	1.3
MUSCULO_65	2.91	95.78	1.32
MUSCULO_66	3.11	95.63000000000001	1.26
MUSCULO_67	3.01	95.6	1.39
MUSCULO_68	3.19	95.59	1.22
MUSCULO_69	2.6100000000000003	96.24000000000001	1.15
MUSCULO_70	3.88	94.78999999999999	1.3299999999999998
MUSCULO_71	3.1199999999999997	95.62	1.27
MUSCULO_72	2.16	96.45	1.39
MUSCULO_73	3.8600000000000003	94.82000000000001	1.32
MUSCULO_74	2.73	95.82000000000001	1.4500000000000002
MUSCULO_75	3.1399999999999997	95.49	1.37
MUSCULO_76	3.11	95.59	1.31
MUSCULO_77	2.4	95.91	1.69
MUSCULO_78	4.109999999999999	94.45	1.44
MUSCULO_79	4.19	94.52000000000001	1.29
MUSCULO_80	2.8000000000000003	95.93	1.28
MUSCULO_81	3.39	95.30999999999999	1.3
MUSCULO_82	4.5	94.27	1.23
MUSCULO_83	4.09	94.39	1.52
MUSCULO_84	2.91	95.63000000000001	1.47
MUSCULO_85	3.84	94.76	1.4000000000000001
MUSCULO_86	3.88	94.86	1.27
MUSCULO_87	3.05	95.47	1.47
MUSCULO_88	5.37	93.39	1.24
MUSCULO_89	3.4000000000000004	95.37	1.23
MUSCULO_90	2.9899999999999998	95.11	1.9
MUSCULO_91	3.8899999999999997	94.67	1.4500000000000002
MUSCULO_92	3.61	95.19999999999999	1.1900000000000002
MUSCULO_93	4.03	94.55	1.41
MUSCULO_94	4.03	94.76	1.21
MUSCULO_95	3.53	95.03	1.44
MUSCULO_96	2.4899999999999998	96.37	1.1400000000000001
MUSCULO_97	3.09	95.58	1.3299999999999998
MUSCULO_98	2.45	96.23	1.32
MUSCULO_99	4.43	94.08999999999999	1.48
