Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
GRASO_121	1751335.0	47600.0	84528.0
GRASO_122	1977707.0	51696.0	94996.0
GRASO_123	1688934.0	46051.0	74970.0
GRASO_124	919930.0	22432.0	49390.0
GRASO_125	2047435.0	58493.0	100650.0
GRASO_126	1810426.0	47986.0	86215.0
GRASO_127	2292966.0	60929.0	107889.0
GRASO_128	1752990.0	47088.0	84908.0
GRASO_129	463942.0	13994.0	43271.0
GRASO_130	2135670.0	54512.0	91074.0
GRASO_131	2153000.0	54718.0	88657.0
GRASO_132	1816891.0	44299.0	71672.0
GRASO_133	2002665.0	48712.0	77718.0
GRASO_134	1250019.0	28451.0	48218.0
GRASO_135	1173618.0	28360.0	54232.0
GRASO_136	1786787.0	45809.0	73999.0
GRASO_137	640351.0	13863.0	41154.0
GRASO_138	1639576.0	40861.0	75827.0
GRASO_139	1102747.0	26573.0	62934.0
GRASO_140	1864894.0	48678.0	89357.0
GRASO_141	1601538.0	40844.0	82016.0
GRASO_142	1928338.0	49611.0	85318.0
GRASO_143	592644.0	14327.0	46592.0
GRASO_144	432472.0	8212.0	32816.0
GRASO_145	3665697.0	122305.0	220854.0
GRASO_146	1239801.0	30694.0	62362.0
GRASO_147	1316898.0	33067.0	57387.0
GRASO_148	1668680.0	43468.0	69024.0
GRASO_149	1302765.0	30294.0	52616.0
GRASO_150	1951487.0	52582.0	93917.0
GRASO_151	1573221.0	40473.0	66967.0
GRASO_152	1938596.0	52129.0	94612.0
GRASO_153	1791139.0	45907.0	89066.0
GRASO_154	683206.0	14786.0	25411.0
GRASO_155	2271589.0	63472.0	112711.0
GRASO_156	892016.0	19884.0	35850.0
GRASO_157	1340136.0	31855.0	66160.0
GRASO_158	1206918.0	28696.0	51387.0
GRASO_159	2422080.0	66528.0	114019.0
GRASO_160	2044908.0	52766.0	85562.0
GRASO_161	1152158.0	28512.0	59492.0
GRASO_162	1747405.0	45206.0	82957.0
GRASO_163	1434946.0	34101.0	58644.0
GRASO_164	1222016.0	28687.0	51758.0
GRASO_165	1763944.0	46455.0	76239.0
GRASO_166	1476210.0	36563.0	65100.0
GRASO_167	906124.0	20118.0	46552.0
GRASO_168	1661037.0	39256.0	69416.0
GRASO_169	704627.0	22369.0	62138.0
GRASO_170	1752191.0	43446.0	73240.0
GRASO_171	1815850.0	45279.0	74718.0
GRASO_172	1108295.0	25852.0	42941.0
GRASO_173	1100900.0	24697.0	42184.0
GRASO_174	1558637.0	32617.0	49087.0
GRASO_175	1171798.0	27796.0	50883.0
GRASO_176	1514694.0	32820.0	52126.0
GRASO_177	1401345.0	30676.0	48782.0
GRASO_178	1745754.0	41798.0	74217.0
GRASO_179	1679713.0	45311.0	94444.0
GRASO_180	1585331.0	39486.0	70292.0
HIGADO_01	1211227.0	27684.0	38322.0
HIGADO_02	1525317.0	37336.0	52498.0
HIGADO_03	1310445.0	30686.0	42143.0
HIGADO_04	1290865.0	30283.0	43728.0
HIGADO_05	1402152.0	33916.0	44603.0
HIGADO_06	1429072.0	33188.0	46863.0
HIGADO_07	1735241.0	44486.0	62108.0
HIGADO_08	1371022.0	33509.0	46982.0
HIGADO_09	1259185.0	28274.0	41740.0
HIGADO_10	1382688.0	33044.0	47176.0
HIGADO_11	1647157.0	40199.0	56417.0
HIGADO_12	1488819.0	35273.0	52090.0
HIGADO_13	1847337.0	47215.0	65710.0
HIGADO_14	1856753.0	47659.0	64250.0
HIGADO_15	1852075.0	46594.0	62723.0
HIGADO_16	1262193.0	29164.0	41769.0
HIGADO_17	1687181.0	41598.0	58967.0
HIGADO_18	1708694.0	43585.0	63283.0
HIGADO_19	1666073.0	41428.0	55877.0
HIGADO_20	1354073.0	32160.0	43941.0
HIGADO_21	2152757.0	59662.0	83203.0
HIGADO_22	943199.0	20928.0	28700.0
HIGADO_23	1634826.0	41284.0	56274.0
HIGADO_24	1659747.0	43032.0	57645.0
HIGADO_25	1012600.0	21682.0	30254.0
HIGADO_26	1312351.0	31904.0	41531.0
HIGADO_27	1538950.0	39056.0	52265.0
