Sample	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
GRASO_121	5534451.0	204691.0	1352032.0	7319039.0	102378.0	184093.0	164090.0	368431.0	523345.0	168640.0	1912851.0
GRASO_122	6218778.0	217660.0	1522764.0	9087442.0	113710.0	222619.0	200835.0	438048.0	652769.0	220965.0	2635558.0
GRASO_123	5262236.0	202919.0	1284340.0	5186476.0	91362.0	142427.0	124614.0	339032.0	458251.0	132839.0	1261508.0
GRASO_124	2823771.0	80789.0	666602.0	3137080.0	44439.0	91554.0	82524.0	176609.0	245252.0	84714.0	1055246.0
GRASO_125	6519579.0	231801.0	1580040.0	10659599.0	125088.0	250286.0	229327.0	448275.0	658231.0	220756.0	2351162.0
GRASO_126	5704182.0	231782.0	1418235.0	7021383.0	108091.0	170913.0	157155.0	376047.0	519918.0	158770.0	1732501.0
GRASO_127	7140484.0	262120.0	1755574.0	8173746.0	123696.0	207148.0	184873.0	477236.0	678867.0	206926.0	2390581.0
GRASO_128	5537607.0	201734.0	1397769.0	7967862.0	105571.0	195973.0	174521.0	385653.0	546724.0	174558.0	1878498.0
GRASO_129	1595562.0	133740.0	264863.0	1008086.0	61168.0	42974.0	37308.0	66446.0	86518.0	34349.0	514368.0
GRASO_130	6613626.0	226031.0	1578293.0	6295315.0	98890.0	163857.0	139512.0	402362.0	547603.0	154943.0	1740984.0
GRASO_131	6651403.0	248409.0	1571841.0	5589327.0	102002.0	143116.0	123711.0	384334.0	503510.0	139063.0	1624301.0
GRASO_132	5570992.0	190102.0	1309734.0	4360954.0	77485.0	119819.0	101602.0	324861.0	434250.0	117351.0	1266135.0
GRASO_133	6107311.0	207195.0	1461623.0	4447725.0	81884.0	120579.0	102623.0	358275.0	470497.0	123630.0	1344139.0
GRASO_134	3768900.0	106590.0	890214.0	3169142.0	45998.0	88512.0	76920.0	226362.0	309423.0	86906.0	962147.0
GRASO_135	3628804.0	106129.0	917029.0	4823499.0	58584.0	124362.0	109832.0	248763.0	349133.0	112157.0	1328355.0
GRASO_136	5556435.0	207378.0	1320353.0	4441861.0	86996.0	119087.0	100420.0	322615.0	419738.0	111015.0	1184175.0
GRASO_137	2018237.0	56477.0	501822.0	3962982.0	38426.0	95822.0	90642.0	143823.0	218839.0	85770.0	1185403.0
GRASO_138	5188374.0	193589.0	1276510.0	7268022.0	95705.0	166709.0	152427.0	346761.0	493245.0	159593.0	1977381.0
GRASO_139	3517359.0	114576.0	778331.0	6021186.0	66450.0	145213.0	135761.0	218997.0	330206.0	127201.0	1727050.0
GRASO_140	5872862.0	209141.0	1314266.0	8189986.0	106525.0	201211.0	180252.0	364548.0	532444.0	181627.0	2203771.0
GRASO_141	5081043.0	194932.0	1139157.0	7425823.0	98672.0	175348.0	159110.0	315156.0	456190.0	158947.0	2070913.0
GRASO_142	6047612.0	216116.0	1427727.0	7484552.0	105971.0	186699.0	163203.0	387806.0	547436.0	172326.0	2027889.0
GRASO_143	1919908.0	127344.0	379505.0	1271664.0	58487.0	45772.0	41016.0	94529.0	118109.0	39764.0	585304.0
GRASO_144	1347218.0	36792.0	283187.0	1135511.0	21060.0	41192.0	35243.0	75839.0	107061.0	36147.0	543894.0
GRASO_145	11676201.0	443526.0	2862752.0	18915758.0	257503.0	495669.0	431391.0	868666.0	1317045.0	450683.0	5064088.0
GRASO_146	3788391.0	112795.0	905449.0	4291746.0	57097.0	119386.0	104526.0	245890.0	344956.0	111272.0	1320762.0
GRASO_147	4007167.0	121131.0	967098.0	3531970.0	60041.0	114043.0	92635.0	263261.0	373477.0	117147.0	1092653.0
GRASO_148	5071580.0	158788.0	1216494.0	4195850.0	72207.0	120422.0	99748.0	325307.0	445684.0	125163.0	1262135.0
GRASO_149	3974526.0	118353.0	954081.0	3674016.0	51875.0	96404.0	84810.0	247722.0	337189.0	97015.0	1098977.0
GRASO_150	6016495.0	193636.0	1418849.0	7139428.0	95859.0	186344.0	163501.0	396503.0	569909.0	181803.0	2073579.0
GRASO_151	4768051.0	143898.0	1115187.0	3775138.0	63609.0	113457.0	94951.0	291866.0	393865.0	112193.0	1198742.0
GRASO_152	6007629.0	182380.0	1390639.0	8119742.0	98845.0	228519.0	198450.0	405267.0	609632.0	209072.0	2359683.0
GRASO_153	5642349.0	203634.0	1350030.0	7850117.0	102634.0	185865.0	171525.0	372483.0	536200.0	176156.0	2254788.0
GRASO_154	2091540.0	59126.0	517717.0	2142055.0	26865.0	51655.0	47838.0	128841.0	168669.0	47635.0	526413.0
GRASO_155	7113133.0	252334.0	1665046.0	9810690.0	131215.0	249593.0	222246.0	469068.0	678329.0	225821.0	2580682.0
GRASO_156	2690396.0	83934.0	634653.0	1409830.0	34208.0	45209.0	38851.0	151980.0	189086.0	48184.0	549829.0
GRASO_157	4161501.0	123365.0	986608.0	6244122.0	67510.0	150307.0	138467.0	276257.0	403269.0	140211.0	1790686.0
GRASO_158	3639544.0	95235.0	837929.0	3376808.0	47244.0	90317.0	79898.0	218199.0	295975.0	87571.0	1012879.0
GRASO_159	7536831.0	257071.0	1867547.0	9542513.0	130700.0	243163.0	212611.0	519791.0	746636.0	230692.0	2695805.0
GRASO_160	6261653.0	200205.0	1508566.0	5812645.0	88264.0	149318.0	131297.0	399905.0	549057.0	154499.0	1766773.0
GRASO_161	3556693.0	104464.0	862775.0	4747862.0	58921.0	127655.0	113185.0	239467.0	345604.0	117944.0	1400523.0
GRASO_162	5392719.0	168716.0	1310514.0	6312160.0	84751.0	167719.0	148225.0	363000.0	519316.0	164086.0	1920826.0
GRASO_163	4360308.0	137404.0	1084324.0	3315099.0	58251.0	91980.0	80838.0	282133.0	380907.0	101733.0	1103612.0
GRASO_164	3723975.0	110615.0	938741.0	3562994.0	59543.0	105920.0	84209.0	255531.0	361487.0	110170.0	1117999.0
GRASO_165	5393901.0	171903.0	1308752.0	4717011.0	78510.0	135794.0	114004.0	354346.0	490461.0	139161.0	1443479.0
GRASO_166	4508279.0	134826.0	1086137.0	4668656.0	66988.0	135676.0	116537.0	299048.0	425406.0	132597.0	1442272.0
GRASO_167	2831114.0	83008.0	724777.0	3387816.0	41870.0	86800.0	81588.0	197936.0	286913.0	93424.0	1159580.0
GRASO_168	5117622.0	167305.0	1273321.0	4570321.0	71734.0	119156.0	107810.0	336005.0	466039.0	131203.0	1541581.0
GRASO_169	2376675.0	188428.0	406907.0	1843799.0	86353.0	68175.0	61430.0	103286.0	136993.0	55467.0	788473.0
GRASO_170	5416641.0	170493.0	1366531.0	5858002.0	82379.0	161485.0	136647.0	373658.0	533239.0	157422.0	1647526.0
