Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GRASO_121	GRASO_121.gz	Conventional base calls	Sanger / Illumina 1.9	49944235.0	4.6 Gbp	0.0	35-100	50.0	48.58247499012691	92.51006671740993	100	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_122	GRASO_122.gz	Conventional base calls	Sanger / Illumina 1.9	58121097.0	5.5 Gbp	0.0	35-100	50.0	52.60362956150898	95.47714104570325	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	fail	pass
GRASO_123	GRASO_123.gz	Conventional base calls	Sanger / Illumina 1.9	70077955.0	6.1 Gbp	0.0	35-100	55.0	28.62011753249835	87.95255409493613	98	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_124	GRASO_124.gz	Conventional base calls	Sanger / Illumina 1.9	31489075.0	2.9 Gbp	0.0	35-100	49.0	44.46044713577051	92.0043519220555	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_125	GRASO_125.gz	Conventional base calls	Sanger / Illumina 1.9	54894025.0	5.3 Gbp	0.0	35-100	50.0	57.215570398736226	97.18992771982015	100	pass	warn	pass	pass	fail	warn	pass	warn	warn	fail	pass
GRASO_126	GRASO_126.gz	Conventional base calls	Sanger / Illumina 1.9	51694174.0	4.9 Gbp	0.0	35-100	53.0	44.04695987320612	95.65375343844357	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_127	GRASO_127.gz	Conventional base calls	Sanger / Illumina 1.9	62077418.0	6 Gbp	0.0	35-100	51.0	51.48652821457739	97.31202058049514	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	fail	pass
GRASO_128	GRASO_128.gz	Conventional base calls	Sanger / Illumina 1.9	53261068.0	5.2 Gbp	0.0	35-100	51.0	48.18930814899311	97.32967577743653	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_129	GRASO_129.gz	Conventional base calls	Sanger / Illumina 1.9	40274833.0	3.4 Gbp	0.0	35-100	64.0	19.601494819769524	84.96414999411667	98	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_130	GRASO_130.gz	Conventional base calls	Sanger / Illumina 1.9	50856397.0	4.7 Gbp	0.0	35-100	51.0	48.61161932580349	93.68798945784539	100	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_131	GRASO_131.gz	Conventional base calls	Sanger / Illumina 1.9	47397940.0	4.5 Gbp	0.0	35-100	52.0	49.32999231152637	96.42633367610492	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_132	GRASO_132.gz	Conventional base calls	Sanger / Illumina 1.9	36333466.0	3.4 Gbp	0.0	35-100	51.0	49.644045882362086	95.23962332687996	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_133	GRASO_133.gz	Conventional base calls	Sanger / Illumina 1.9	43989591.0	4.1 Gbp	0.0	35-100	52.0	45.69709715111531	95.12554076713285	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_134	GRASO_134.gz	Conventional base calls	Sanger / Illumina 1.9	34995483.0	3 Gbp	0.0	35-100	49.0	41.103579750905716	87.56033702978182	98	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_135	GRASO_135.gz	Conventional base calls	Sanger / Illumina 1.9	31029460.0	2.9 Gbp	0.0	35-100	48.0	52.52905752386208	95.42564182554257	100	pass	warn	pass	pass	fail	warn	pass	warn	warn	warn	pass
GRASO_136	GRASO_136.gz	Conventional base calls	Sanger / Illumina 1.9	39945899.0	3.8 Gbp	0.0	35-100	53.0	46.28472120007686	95.19086958087988	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_137	GRASO_137.gz	Conventional base calls	Sanger / Illumina 1.9	32657180.0	2.7 Gbp	0.0	35-100	49.0	41.28845684308114	84.01271322263588	98	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_138	GRASO_138.gz	Conventional base calls	Sanger / Illumina 1.9	47651792.0	4.4 Gbp	0.0	35-100	51.0	49.30711886500106	92.57835944553774	100	pass	warn	pass	pass	fail	fail	warn	warn	fail	fail	pass
GRASO_139	GRASO_139.gz	Conventional base calls	Sanger / Illumina 1.9	33690621.0	3 Gbp	0.0	35-100	50.0	52.3895899697882	90.90021777871058	98	pass	warn	pass	pass	fail	fail	warn	warn	warn	fail	pass
GRASO_140	GRASO_140.gz	Conventional base calls	Sanger / Illumina 1.9	54971357.0	5.2 Gbp	0.0	35-100	51.0	48.71115790665683	95.07084422165529	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_141	GRASO_141.gz	Conventional base calls	Sanger / Illumina 1.9	44171169.0	4.1 Gbp	0.0	35-100	52.0	51.12999516293956	94.58275292646205	98	pass	warn	pass	pass	fail	fail	pass	warn	warn	fail	pass
