Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
GRASO_121	0.0013316168791760754	0.04287142744141	0.652314	0.8	44437829.0	0.004393462	35021258.0	44437829.0	100.0	0.0	7.814693197545722	44437829.0	79459087	79459087	100.0	77.77	35757170.0	51.41752500987309	50.0	92.51006671740993	100	36.36363636363637	49944235.0	3.46038162423891	46.03384234601607	50.0	97.1289993109075	100	9.090909090909092	45980765.0
GRASO_122	0.0006489139469641437	0.034667636387752	0.652679	0.8	54153059.0	0.004280287	48162729.0	54153059.0	100.0	0.0	8.086377908956168	54153059.0	102315788	102315788	100.0	79.21	44192135.0	47.39637043849102	50.0	95.47714104570325	100	27.27272727272727	58121097.0	1.8877056065220117	44.51432597267093	50.0	97.68222479742671	100	9.090909090909092	55788450.0
GRASO_123	0.0014022033541353902	0.0431520919859328	0.776399	0.83	54908457.0	0.003661093	137326418.0	54908457.0	100.0	0.0	22.72575789190361	54908457.0	192234875	192234875	100.0	49.69	29986772.0	71.37988246750164	55.0	87.95255409493613	98	36.36363636363637	70077955.0	6.101357531854886	65.09556438515568	55.0	96.12102965780564	100	36.36363636363637	60346845.0
GRASO_124	0.002658000875013888	0.169454654642965	0.740124	0.81	27867867.0	0.005289335	35216836.0	27867867.0	100.0	0.0	12.080999955970796	27867867.0	63084703	63084703	100.0	70.02	21473432.0	55.53955286422949	49.0	92.0043519220555	98	36.36363636363637	31489075.0	1.5873025429080585	53.086046678162866	49.0	93.06760241524825	98	36.36363636363637	30665502.0
GRASO_125	0.0008402656773938759	0.0291093332083263	0.610534	0.8	52425973.0	0.004288927	46261948.0	52425973.0	100.0	0.0	8.093797324467397	52425973.0	98687921	98687921	100.0	77.39	41793620.0	42.784429601263774	50.0	97.18992771982015	100	18.181818181818183	54894025.0	0.9938982976288668	41.36850579723962	50.0	97.87481590438026	100	9.090909090909092	54007260.0
GRASO_126	0.019185848593377665	0.0247375594601474	0.68543	0.78	48102633.0	0.004290246	69195594.0	48102633.0	100.0	0.0	13.009287869959218	48102633.0	117298227	117298227	100.0	65.12	32552439.0	55.95304012679388	53.0	95.65375343844357	100	36.36363636363637	51694174.0	1.6621467667087837	53.69797787294374	53.0	97.38584223257122	100	36.36363636363637	49989393.0
GRASO_127	0.0007394625181868817	0.0303149304573659	0.687585	0.77	59314073.0	0.004274197	47275153.0	59314073.0	100.0	0.0	7.443048127886952	59314073.0	106589226	106589226	100.0	77.63	47678234.0	48.51347178542261	51.0	97.31202058049514	100	27.27272727272727	62077418.0	0.7937075956589625	47.34077457498671	51.0	97.64880987050249	100	18.181818181818183	61413611.0
GRASO_128	0.0005311168183451697	0.0419283060086031	0.684215	0.77	51175288.0	0.004118829	60801556.0	51175288.0	100.0	0.0	10.67264535961185	51175288.0	111976844	111976844	100.0	70.62	37414369.0	51.81069185100689	51.0	97.32967577743653	100	27.27272727272727	53261068.0	0.6141206679457717	50.84121527423734	51.0	97.32199302944454	100	27.27272727272727	52979709.0
GRASO_129	0.058232531964927656	0.192259834506857	0.890501	1.16	28972204.0	0.004797473	98551955.0	28972204.0	100.0	0.0	43.42734159955521	28972204.0	127524159	127524159	100.0	27.89	10393344.0	80.39850518023047	64.0	84.96414999411667	98	36.36363636363637	40274833.0	3.8820669451626335	76.39998021342355	64.0	88.411966325286	98	27.27272727272727	37260361.0
GRASO_130	0.0004950862485252772	0.0331963336925126	0.672044	0.84	46347730.0	0.004037762	39112951.0	46347730.0	100.0	0.0	8.248399651935488	46347730.0	85460681	85460681	100.0	77.33	37084180.0	51.38838067419651	51.0	93.68798945784539	100	36.36363636363637	50856397.0	2.5784840440991768	47.375389739140125	51.0	96.90861360603171	100	18.181818181818183	47952762.0
GRASO_131	0.00040049067933898967	0.0335358504550726	0.681347	0.87	44948708.0	0.003952281	58230265.0	44948708.0	100.0	0.0	12.045576482420808	44948708.0	103178973	103178973	100.0	71.03	32985960.0	50.67000768847363	52.0	96.42633367610492	100	36.36363636363637	47397940.0	1.1565872285442222	48.92005824523825	52.0	97.36099688745071	100	18.181818181818183	46439104.0
GRASO_132	0.00039883759625187034	0.0281371225241001	0.658858	0.83	33900338.0	0.003915533	33286341.0	33900338.0	100.0	0.0	8.971668660058787	33900338.0	67186679	67186679	100.0	74.99	26364402.0	50.355954117637914	51.0	95.23962332687996	100	36.36363636363637	36333466.0	1.6132383338336558	47.83784002643645	51.0	96.93145780916831	100	18.181818181818183	35157105.0
GRASO_133	0.00033027486902816174	0.0269882877100348	0.700524	0.83	41057783.0	0.003778093	41298519.0	41057783.0	100.0	0.0	9.248684957003158	41057783.0	82356302	82356302	100.0	74.63	31455943.0	54.30290284888469	52.0	95.12554076713285	100	36.36363636363637	43989591.0	1.9444913540283857	51.44621301540505	52.0	97.44949304530394	100	27.27272727272727	42150512.0
GRASO_134	0.0003583415139199923	0.122652699105747	0.716397	0.86	28706952.0	0.004265403	16459972.0	28706952.0	100.0	0.0	4.545961549662255	28706952.0	45166924	45166924	100.0	77.76	23839951.0	58.896420249094284	49.0	87.56033702978182	98	36.36363636363637	34995483.0	5.470889000290884	51.42907764817399	49.0	94.64419288152148	100	18.181818181818183	30657141.0
GRASO_135	0.003791396087365898	0.0702997465946375	0.650369	0.73	29219435.0	0.004751341	23687111.0	29219435.0	100.0	0.0	7.966724887048637	29219435.0	52906546	52906546	100.0	78.59	24139099.0	47.47094247613792	48.0	95.42564182554257	100	9.090909090909092	31029460.0	0.8459112082991329	45.98767038037788	48.0	95.65750660002243	100	18.181818181818183	30713532.0
GRASO_136	0.0012251559644666146	0.0461782943128783	0.690334	0.88	37430018.0	0.003782346	54254364.0	37430018.0	100.0	0.0	13.692122723531686	37430018.0	91684382	91684382	100.0	66.0	25696803.0	53.71527879992314	53.0	95.19086958087988	100	36.36363636363637	39945899.0	1.3765725942671565	51.42403154303894	53.0	96.40748882799309	100	27.27272727272727	38936827.0
GRASO_137	0.001651994631804111	0.282339642319091	0.698352	0.78	24688887.0	0.006171675	23013967.0	24688887.0	100.0	0.0	8.81615684012001	24688887.0	47702854	47702854	100.0	62.99	19807673.0	58.71154315691886	49.0	84.01271322263588	98	36.36363636363637	32657180.0	2.4415754346869734	56.12030126832521	49.0	85.22988900037821	98	36.36363636363637	31445963.0
GRASO_138	0.0008667844186420149	0.0472732412655776	0.647431	0.87	42802382.0	0.004154547	31996694.0	42802382.0	100.0	0.0	6.35896619024614	42802382.0	74799076	74799076	100.0	76.78	33901309.0	50.69288113499894	51.0	92.57835944553774	100	36.36363636363637	47651792.0	3.196338601198977	45.37849714558882	51.0	96.8361382993861	100	9.090909090909092	44154961.0
GRASO_139	0.0009538062195727224	0.0618637500326202	0.600359	0.89	29050215.0	0.004998961	20525620.0	29050215.0	100.0	0.0	5.88053823353803	29050215.0	49575835	49575835	100.0	77.23	23578978.0	47.6104100302118	50.0	90.90021777871058	98	27.27272727272727	33690621.0	4.149753276145765	40.814997062011216	50.0	96.2870682339883	100	9.090909090909092	30531236.0
GRASO_140	0.000540460937947907	0.0365450910022405	0.67344	0.9	51575875.0	0.004139157	47581432.0	51575875.0	100.0	0.0	8.397144982998348	51575875.0	99157307	99157307	100.0	73.85	39185155.0	51.28884209334317	51.0	95.07084422165529	100	36.36363636363637	54971357.0	1.729894532092117	48.52865196232577	51.0	96.90224237143337	100	27.27272727272727	53057936.0
GRASO_141	0.022520524215470142	0.0273292760632968	0.630617	0.88	40787648.0	0.004480168	43942075.0	40787648.0	100.0	0.0	9.051551587382534	40787648.0	84729723	84729723	100.0	69.88	29715502.0	48.87000483706044	52.0	94.58275292646205	98	27.27272727272727	44171169.0	1.8736154652421275	45.7596770078506	52.0	96.51510780546552	100	27.27272727272727	42525766.0
GRASO_142	0.0010134357427515547	0.0371099486561788	0.649071	0.84	46179142.0	0.004244665	36212069.0	46179142.0	100.0	0.0	7.363833221500737	46179142.0	82391211	82391211	100.0	76.08	36158010.0	47.24912102412407	51.0	95.14989643444449	100	27.27272727272727	49117199.0	1.651161602387	44.44376280809732	51.0	96.79977730628978	100	18.181818181818183	47528958.0
GRASO_143	0.030451719381419114	0.288100016901842	0.874653	0.98	30694608.0	0.004868036	98559551.0	30694608.0	100.0	0.0	37.67664991844822	30694608.0	129254159	129254159	100.0	31.65	11726146.0	79.59215340760818	65.0	82.74751364730244	98	36.36363636363637	45391388.0	8.45220808871996	72.57676250709785	65.0	93.06169489256146	98	27.27272727272727	37046065.0
GRASO_144	4.203140648669511	0.0758505537048508	0.893305	0.92	28629107.0	0.00721269	79131190.0	28629107.0	100.0	0.0	31.96789197790906	28629107.0	107760297	107760297	100.0	24.3	13514066.0	81.86334759356588	53.0	75.76733566074188	80	36.36363636363637	56912512.0	2.491963859780679	78.29906281711298	53.0	75.63702806350419	80	27.27272727272727	55609627.0
GRASO_145	0.000631343854562165	0.0393887860676775	0.786973	0.74	176229317.0	0.004359135	150938948.0	176229317.0	100.0	0.0	8.510675893954692	176229317.0	327168265	327168265	100.0	77.18	140576051.0	57.77338786345694	50.0	97.33007353387634	100	36.36363636363637	184326472.0	0.8603395119806062	56.63069217578434	50.0	97.72024902992408	100	27.27272727272727	182143733.0
GRASO_146	0.46565518864906397	0.0568483051541292	0.79003	0.75	46308592.0	0.005431891	51804282.0	46308592.0	100.0	0.0	13.102490786159079	46308592.0	98112874	98112874	100.0	70.89	35109865.0	65.97164457336368	47.0	94.23703579468292	100	36.36363636363637	50656518.0	1.327493852872184	64.0582229334639	47.0	95.17615993845732	100	18.181818181818183	49529201.0
GRASO_147	0.004541591091139615	0.0419160546029672	0.705938	0.7	30695703.0	0.005043075	23324658.0	30695703.0	100.0	0.0	7.3019666628908935	30695703.0	54020361	54020361	100.0	76.25	25105227.0	53.48646196180024	48.0	93.89309475598776	100	36.36363636363637	33856805.0	1.614233716078377	51.14953571365345	48.0	95.06832403137317	100	18.181818181818183	32924960.0
GRASO_148	0.006457933734717377	0.036836007865798	0.724395	0.76	39726375.0	0.00480452	31925712.0	39726375.0	100.0	0.0	7.440396965492068	39726375.0	71652087	71652087	100.0	76.13	32175038.0	55.99391800023443	49.0	93.72192422776769	100	36.36363636363637	43858758.0	1.9506464072392995	53.36353903188869	49.0	95.44846304751924	100	27.27272727272727	42265295.0
GRASO_149	0.00647777747049281	0.0347145153539562	0.667707	0.71	27225280.0	0.004613434	19050034.0	27225280.0	100.0	0.0	6.122383314331386	27225280.0	46275314	46275314	100.0	78.15	22311557.0	50.16208971302269	49.0	95.6326676296226	100	36.36363636363637	29227367.0	1.3245153435876522	48.237789501150154	49.0	96.68385234005312	100	18.181818181818183	28549245.0
GRASO_150	0.015062702119898061	0.0348917531031705	0.736056	0.73	59900145.0	0.004687006	48352472.0	59900145.0	100.0	0.0	7.588756254262824	59900145.0	108252617	108252617	100.0	78.6	48748258.0	57.206635536015796	48.0	95.91246044102266	100	36.36363636363637	63458099.0	1.2941370692613072	55.38349957507156	48.0	96.94191451840774	100	27.27272727272727	62022125.0
GRASO_151	0.011796238873511325	0.0360328210058723	0.760721	0.73	42007698.0	0.004804505	32134381.0	42007698.0	100.0	0.0	7.199582800276273	42007698.0	74142079	74142079	100.0	76.46	33561897.0	60.43059530457559	48.0	95.85107946538714	100	36.36363636363637	44649880.0	1.0825569839198064	58.854253144862625	48.0	96.51533367800943	100	27.27272727272727	43896285.0
GRASO_152	0.001319425170193195	0.0339621835703559	0.682821	0.73	54163820.0	0.004432919	31848741.0	54163820.0	100.0	0.0	5.260162595621948	54163820.0	86012561	86012561	100.0	81.94	45613221.0	51.87125171634085	47.0	94.86048962420422	100	36.36363636363637	57849346.0	1.8364831660760017	48.80047138072854	47.0	96.8548530669132	100	9.090909090909092	55664862.0
GRASO_153	0.015689605438542458	0.0301677559904436	0.641716	0.8	45686260.0	0.004444949	60226776.0	45686260.0	100.0	0.0	13.698109672361012	45686260.0	105913036	105913036	100.0	74.04	34926973.0	47.53382894316124	51.0	96.41126569560744	100	27.27272727272727	48031193.0	1.1063826658403486	45.64800141781246	51.0	97.16079211668479	100	18.181818181818183	47173656.0
GRASO_154	0.005884435188098146	0.0953590118436585	0.5448	0.81	10821698.0	0.004322601	14015859.0	10821698.0	100.0	0.0	13.478735037699261	10821698.0	24837557	24837557	100.0	70.04	8357967.0	39.706054220159125	49.0	92.59722222674856	100	27.27272727272727	12273860.0	1.5888249513792154	37.2401362671902	49.0	93.81345520670172	100	9.090909090909092	11932823.0
GRASO_155	0.0008662141820435725	0.0328800952846225	0.699672	0.76	67548679.0	0.004265113	76623910.0	67548679.0	100.0	0.0	10.95054871465362	67548679.0	144172589	144172589	100.0	75.12	52347168.0	52.97459612837217	50.0	97.15123157056854	100	36.36363636363637	70500954.0	0.8836213976879081	51.728997744567145	50.0	97.49843120668434	100	27.27272727272727	69688275.0
GRASO_156	0.00023673200769395352	0.197644588145476	0.789645	0.89	22645507.0	0.004528423	30657861.0	22645507.0	100.0	0.0	13.777938378681476	22645507.0	53303368	53303368	100.0	60.69	16880306.0	64.15366918565525	53.0	87.1633644354576	98	36.36363636363637	28531063.0	1.7760894689548068	62.106656424006246	53.0	87.9327387141312	98	36.36363636363637	27811749.0
GRASO_157	0.011392562375418261	0.0412836122216065	0.627336	0.75	33888676.0	0.004968558	26442171.0	33888676.0	100.0	0.0	8.169531320727904	33888676.0	60330847	60330847	100.0	73.96	27885676.0	46.74669297590708	49.0	92.25503334728354	100	27.27272727272727	39034064.0	2.0024303531796237	43.68452132671122	49.0	93.68328792007989	100	9.090909090909092	37701549.0
GRASO_158	0.00030453111220355605	0.0739396279328049	0.724449	0.84	29833344.0	0.004595022	23373955.0	29833344.0	100.0	0.0	6.9352232186911404	29833344.0	53207299	53207299	100.0	77.41	23821034.0	51.54659261295164	49.0	96.83953732670165	100	36.36363636363637	31559807.0	1.358779103846111	49.874774890386696	49.0	98.05939002358686	100	18.181818181818183	30773485.0
GRASO_159	0.0005919953652886987	0.0280840055294327	0.695088	0.77	67955476.0	0.004166309	61113698.0	67955476.0	100.0	0.0	8.348731160385073	67955476.0	129069174	129069174	100.0	78.76	54752128.0	50.45909231888366	49.0	97.63910863005295	100	36.36363636363637	70304053.0	0.7889267708351931	49.39795340464984	49.0	98.03432354759043	100	18.181818181818183	69519096.0
GRASO_160	0.0006516996437794935	0.0251527439201312	0.7012	0.73	48141970.0	0.004255659	32109055.0	48141970.0	100.0	0.0	6.175046430380808	48141970.0	80251025	80251025	100.0	81.29	40058291.0	52.49398234456234	49.0	95.94884175755942	100	36.36363636363637	50763120.0	1.4720936351645524	50.194177800902544	49.0	97.46310832885207	100	18.181818181818183	49281137.0
GRASO_161	0.010416877136975198	0.0770649696442921	0.689088	0.74	32482438.0	0.005646061	24979911.0	32482438.0	100.0	0.0	6.816006236970266	32482438.0	57462349	57462349	100.0	76.09	26691657.0	52.07236790820391	48.0	91.38158197394462	98	36.36363636363637	36818571.0	2.5434378544339853	48.12931379317427	48.0	93.56242596253409	98	9.090909090909092	35080212.0
GRASO_162	0.0015085060312432933	0.0488693909902598	0.716448	0.69	50082505.0	0.004675193	35522996.0	50082505.0	100.0	0.0	6.288086029243146	50082505.0	85605501	85605501	100.0	79.88	41452563.0	51.70557925657224	48.0	96.89186747748725	100	27.27272727272727	52498914.0	0.8879828323383623	50.49172252336329	48.0	97.21519297992948	100	18.181818181818183	51895889.0
GRASO_163	0.007668983907995153	0.0419540159803947	0.727789	0.64	33649430.0	0.004793051	25218657.0	33649430.0	100.0	0.0	6.562589618902906	33649430.0	58868087	58868087	100.0	75.44	27219536.0	55.54877702788153	49.0	94.71229469419313	100	36.36363636363637	36767226.0	1.2957440851204614	53.83542226294693	49.0	95.34266879828574	100	27.27272727272727	36079617.0
GRASO_164	0.005351129381512068	0.0400570429190806	0.683793	0.75	27937732.0	0.004739427	22117566.0	27937732.0	100.0	0.0	7.469443117286686	27937732.0	50055298	50055298	100.0	74.92	22831911.0	52.70512184338331	49.0	94.02855649241569	100	36.36363636363637	31128683.0	1.4265364359760273	50.73457666160288	49.0	94.74195523537591	100	27.27272727272727	30477057.0
GRASO_165	0.006906714973113912	0.0380968309053636	0.728964	0.75	44510990.0	0.004527423	34394791.0	44510990.0	100.0	0.0	7.173904691852506	44510990.0	78905781	78905781	100.0	76.75	36572398.0	53.81380509250137	49.0	95.34107528149433	100	27.27272727272727	47906116.0	0.7435328851097014	52.60464818892992	49.0	95.19524168098552	100	27.27272727272727	47651618.0
GRASO_166	0.0012370648720103124	0.0393138146680324	0.679594	0.73	34563295.0	0.004852299	24047354.0	34563295.0	100.0	0.0	6.204446074947426	34563295.0	58610649	58610649	100.0	77.49	28543542.0	51.461269846408044	48.0	94.45736070698744	100	36.36363636363637	37719821.0	1.4742217315771113	49.41335462586627	48.0	95.37591825113633	100	9.090909090909092	36833197.0
GRASO_167	0.0034037451034468753	0.26165181070146	0.72422	0.72	28048362.0	0.005063056	25046411.0	28048362.0	100.0	0.0	8.354462909456174	28048362.0	53094773	53094773	100.0	72.02	22473484.0	59.81185221105649	49.0	86.32735582890143	98	36.36363636363637	35435691.0	5.565387017379114	53.013030464312834	49.0	92.74422558716093	100	27.27272727272727	31204861.0
GRASO_168	0.0033806346018293567	0.0280415817278741	0.686803	0.85	37513837.0	0.004191027	50454353.0	37513837.0	100.0	0.0	13.848839296284195	37513837.0	87968190	87968190	100.0	72.56	28216413.0	52.732852816826856	50.0	96.3156924439715	100	36.36363636363637	39480039.0	1.0528722123251208	51.177365539959915	50.0	96.8406905716857	100	27.27272727272727	38887259.0
GRASO_169	0.010278227721290894	0.131064233325909	0.846272	1.09	33173168.0	0.004961334	88699579.0	33173168.0	100.0	0.0	29.917579774111413	33173168.0	121872747	121872747	100.0	41.54	16055279.0	74.16202057937521	62.0	89.17247218548647	98	36.36363636363637	41618560.0	3.488328592772185	70.51693939126139	62.0	92.83270621314469	98	36.36363636363637	38648094.0
GRASO_170	0.0005460826706602453	0.0312037386439627	0.639266	0.72	37705178.0	0.004077337	31161216.0	37705178.0	100.0	0.0	7.787126744236561	37705178.0	68866394	68866394	100.0	80.32	31050291.0	43.64103814975875	49.0	97.89785428392801	100	9.090909090909092	38811985.0	0.5534146140705972	42.982211509055304	49.0	97.80777203906135	100	9.090909090909092	38656728.0
GRASO_171	0.0020647595011348977	0.0311281062079753	0.629133	0.74	40288308.0	0.004257523	23720851.0	40288308.0	100.0	0.0	5.425631178157196	40288308.0	64009159	64009159	100.0	82.41	34564059.0	42.13514152022184	49.0	96.75718904642439	100	9.090909090909092	42266454.0	0.714065636500372	41.13763697262346	48.0	96.86789331417398	100	9.090909090909092	41941579.0
GRASO_172	0.0006075205195823089	0.085681294860997	0.693072	0.69	24041412.0	0.004374078	15629282.0	24041412.0	100.0	0.0	5.305566079063909	24041412.0	39670694	39670694	100.0	69.7	20005197.0	57.25347051718509	49.0	87.19752866748865	98	36.36363636363637	29814523.0	2.3079875952645956	54.44296101453186	49.0	88.58890141945704	98	27.27272727272727	28700481.0
GRASO_173	0.0006979268760686399	0.0446695347717354	0.610546	0.76	20253789.0	0.004549544	16659349.0	20253789.0	100.0	0.0	7.716338903303475	20253789.0	36913138	36913138	100.0	73.58	16700804.0	45.3869991741388	50.0	92.75132745020402	100	27.27272727272727	22957170.0	1.0564029622915052	43.963317848071235	50.0	92.88956543526503	100	18.181818181818183	22697631.0
GRASO_174	0.00024507399297712804	0.0368145518412455	0.576259	0.58	22372261.0	0.004010823	10370848.0	22372261.0	100.0	0.0	4.592517492979364	22372261.0	32743109	32743109	100.0	85.19	19451074.0	34.991852464869	49.0	98.63342485360883	100	9.090909090909092	22898751.0	0.8148391073640842	34.60536879705538	49.0	97.97964651126286	98	9.090909090909092	22831958.0
GRASO_175	0.00045128332082633845	0.061680226745334	0.687649	0.72	27619111.0	0.004568785	28564575.0	27619111.0	100.0	0.0	10.247799069274894	27619111.0	56183686	56183686	100.0	76.19	21997747.0	50.38950325369867	49.0	95.94091813376555	100	36.36363636363637	29125451.0	0.7774554095548694	49.060229005124626	49.0	96.10401069692817	100	27.27272727272727	28872588.0
