Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
GRASO_121	44437829.0	0.0	44437829.0	1.0	44437829.0	0.0	44437829.0	0.0	0.0	0.0	0.0	28987416.0	3472680.0	0.0	35021258.0	0.0	4338613257.0	4338613257.0	0.0	4338613257.0	4284267220.0	0.0	2825671639.0	18822765.0	0.004393462	97.0	98.0	0.0	100.0	100.0	0.0	38.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	65.23139553014617	7.814693197545722	0.0
GRASO_122	54153059.0	0.0	54153059.0	1.0	54153059.0	0.0	54153059.0	0.0	0.0	0.0	0.0	35344558.0	4379021.0	0.0	48162729.0	0.0	5315386703.0	5315386703.0	0.0	5315386703.0	5252586101.0	0.0	3465938599.0	22482578.0	0.004280287	98.0	98.0	0.0	100.0	100.0	0.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	65.26788819076684	8.086377908956168	0.0
GRASO_123	54908457.0	0.0	54908457.0	1.0	54908457.0	0.0	54908457.0	0.0	0.0	0.0	0.0	42630896.0	12478363.0	0.0	137326418.0	0.0	5338081370.0	5338081370.0	0.0	5338081370.0	5277060903.0	0.0	4138174300.0	19319813.0	0.003661093	97.0	97.0	0.0	100.0	100.0	0.0	38.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	77.6399453366537	22.72575789190361	0.0
GRASO_124	27867867.0	0.0	27867867.0	1.0	27867867.0	0.0	27867867.0	0.0	0.0	0.0	0.0	20625682.0	3366717.0	0.0	35216836.0	0.0	2683652412.0	2683652412.0	0.0	2683652412.0	2648158345.0	0.0	1981799967.0	14006997.0	0.005289335	96.0	96.0	0.0	100.0	100.0	0.0	38.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	74.01241724025739	12.080999955970796	0.0
GRASO_125	52425973.0	0.0	52425973.0	1.0	52425973.0	0.0	52425973.0	0.0	0.0	0.0	0.0	32007851.0	4243252.0	0.0	46261948.0	0.0	5151919108.0	5151919108.0	0.0	5151919108.0	5092660052.0	0.0	3142282970.0	21842047.0	0.004288927	98.0	98.0	0.0	100.0	100.0	0.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	61.053422890215124	8.093797324467397	0.0
GRASO_126	48102633.0	0.0	48102633.0	1.0	48102633.0	0.0	48102633.0	0.0	0.0	0.0	0.0	32970979.0	6257810.0	0.0	69195594.0	0.0	4707518967.0	4707518967.0	0.0	4707518967.0	4652369721.0	0.0	3224261947.0	19959813.0	0.004290246	97.0	98.0	0.0	100.0	100.0	0.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	68.54298183635811	13.009287869959218	0.0
GRASO_127	59314073.0	0.0	59314073.0	1.0	59314073.0	0.0	59314073.0	0.0	0.0	0.0	0.0	40783492.0	4414775.0	0.0	47275153.0	0.0	5816544512.0	5816544512.0	0.0	5816544512.0	5747523112.0	0.0	3995969856.0	24566048.0	0.004274197	98.0	98.0	0.0	100.0	100.0	0.0	38.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	68.75854234457984	7.443048127886952	0.0
GRASO_128	51175288.0	0.0	51175288.0	1.0	51175288.0	0.0	51175288.0	0.0	0.0	0.0	0.0	35014884.0	5461757.0	0.0	60801556.0	0.0	5002251032.0	5002251032.0	0.0	5002251032.0	4942764932.0	0.0	3418345764.0	20358402.0	0.004118829	97.0	98.0	0.0	100.0	100.0	0.0	38.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	68.4214693623219	10.67264535961185	0.0
GRASO_129	28972204.0	0.0	28972204.0	1.0	28972204.0	0.0	28972204.0	0.0	0.0	0.0	0.0	25799773.0	12581858.0	0.0	98551955.0	0.0	2691017687.0	2691017687.0	0.0	2691017687.0	2650411604.0	0.0	2400978854.0	12715277.0	0.004797473	92.0	93.0	0.0	100.0	100.0	0.0	38.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	89.0500874562391	43.42734159955521	0.0
GRASO_130	46347730.0	0.0	46347730.0	1.0	46347730.0	0.0	46347730.0	0.0	0.0	0.0	0.0	31147713.0	3822946.0	0.0	39112951.0	0.0	4522446127.0	4522446127.0	0.0	4522446127.0	4467606922.0	0.0	3035045549.0	18039131.0	0.004037762	97.0	98.0	0.0	100.0	100.0	0.0	38.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	67.20439814420253	8.248399651935488	0.0
