Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
GRASO_121	GRASO_121.markdup.sorted.bam	44437829.0	79459087.0	43701917.0	17367903.0	56316.0	0.0	0.8	17367903.0	12292831.0	6040120.0	3993740.0
GRASO_122	GRASO_122.markdup.sorted.bam	54153059.0	102315788.0	58123653.0	20705451.0	79524.0	0.0	0.8	20705451.0	15513453.0	7893707.0	4840489.0
GRASO_123	GRASO_123.markdup.sorted.bam	54908457.0	192234875.0	162248103.0	16011022.0	91333.0	0.0	0.83	16011022.0	9038553.0	4845864.0	4051854.0
GRASO_124	GRASO_124.markdup.sorted.bam	27867867.0	63084703.0	41611271.0	10999531.0	31988.0	0.0	0.81	10999531.0	6742020.0	3699893.0	2568927.0
GRASO_125	GRASO_125.markdup.sorted.bam	52425973.0	98687921.0	56894301.0	18075585.0	44968.0	0.0	0.8	18075585.0	16748678.0	6924389.0	4440471.0
GRASO_126	GRASO_126.markdup.sorted.bam	48102633.0	117298227.0	84745788.0	16239166.0	45984.0	0.0	0.78	16239166.0	10777238.0	5490051.0	3922412.0
GRASO_127	GRASO_127.markdup.sorted.bam	59314073.0	106589226.0	58910992.0	24962201.0	96635.0	0.0	0.77	24962201.0	14577541.0	8041857.0	5760659.0
GRASO_128	GRASO_128.markdup.sorted.bam	51175288.0	111976844.0	74562475.0	17790489.0	53289.0	0.0	0.77	17790489.0	13347068.0	6223523.0	4364290.0
GRASO_129	GRASO_129.markdup.sorted.bam	28972204.0	127524159.0	117130815.0	5188838.0	19324.0	0.0	1.16	5188838.0	2737163.0	2448019.0	1612159.0
GRASO_130	GRASO_130.markdup.sorted.bam	46347730.0	85460681.0	48376501.0	19880728.0	85690.0	0.0	0.84	19880728.0	11591634.0	5526128.0	4954429.0
GRASO_131	GRASO_131.markdup.sorted.bam	44948708.0	103178973.0	70193013.0	17760456.0	77362.0	0.0	0.87	17760456.0	10084517.0	5063625.0	4429003.0
GRASO_132	GRASO_132.markdup.sorted.bam	33900338.0	67186679.0	40822277.0	14468671.0	60555.0	0.0	0.83	14468671.0	8022880.0	3812296.0	3741003.0
GRASO_133	GRASO_133.markdup.sorted.bam	41057783.0	82356302.0	50900359.0	18185383.0	66665.0	0.0	0.83	18185383.0	8970482.0	4233413.0	4637151.0
GRASO_134	GRASO_134.markdup.sorted.bam	28706952.0	45166924.0	21326973.0	13129648.0	42066.0	0.0	0.86	13129648.0	7173566.0	3494671.0	3239661.0
GRASO_135	GRASO_135.markdup.sorted.bam	29219435.0	52906546.0	28767447.0	11503231.0	33915.0	0.0	0.73	11503231.0	8385635.0	4216318.0	2610869.0
GRASO_136	GRASO_136.markdup.sorted.bam	37430018.0	91684382.0	65987579.0	13646710.0	45394.0	0.0	0.88	13646710.0	8022711.0	3981988.0	3519007.0
GRASO_137	GRASO_137.markdup.sorted.bam	24688887.0	47702854.0	27895181.0	7402168.0	19244.0	0.0	0.78	7402168.0	8494851.0	3891410.0	1788815.0
GRASO_138	GRASO_138.markdup.sorted.bam	42802382.0	74799076.0	40897767.0	15947256.0	58225.0	0.0	0.87	15947256.0	12101648.0	5794180.0	3757907.0
GRASO_139	GRASO_139.markdup.sorted.bam	29050215.0	49575835.0	25996857.0	9538661.0	34544.0	0.0	0.89	9538661.0	9772077.0	4233696.0	2414345.0
GRASO_140	GRASO_140.markdup.sorted.bam	51575875.0	99157307.0	59972152.0	19154297.0	63119.0	0.0	0.9	19154297.0	13830001.0	6137738.0	4888085.0
GRASO_141	GRASO_141.markdup.sorted.bam	40787648.0	84729723.0	55014221.0	13216527.0	49702.0	0.0	0.88	13216527.0	11382775.0	5066498.0	3624408.0
GRASO_142	GRASO_142.markdup.sorted.bam	46179142.0	82391211.0	46233201.0	17339419.0	64475.0	0.0	0.84	17339419.0	12674345.0	6079771.0	4487966.0
GRASO_143	GRASO_143.markdup.sorted.bam	30694608.0	129254159.0	117528013.0	5112501.0	21028.0	0.0	0.98	5112501.0	3276048.0	3316569.0	1588609.0
GRASO_144	GRASO_144.markdup.sorted.bam	28629107.0	107760297.0	94246231.0	8580196.0	8193.0	0.0	0.92	8580196.0	2084869.0	2840808.0	804336.0
GRASO_145	GRASO_145.markdup.sorted.bam	176229317.0	327168265.0	186592214.0	75172289.0	245544.0	0.0	0.74	75172289.0	41689061.0	23469157.0	17861799.0
GRASO_146	GRASO_146.markdup.sorted.bam	46308592.0	98112874.0	63003009.0	22133374.0	39998.0	0.0	0.75	22133374.0	7931438.0	5005055.0	3366193.0
