Sample	Reads passing filters
GRASO_121	49944235.0
GRASO_122	58121097.0
GRASO_123	70077955.0
GRASO_124	31489075.0
GRASO_125	54894025.0
GRASO_126	51694174.0
GRASO_127	62077418.0
GRASO_128	53261068.0
GRASO_129	40274833.0
GRASO_130	50856397.0
GRASO_131	47397940.0
GRASO_132	36333466.0
GRASO_133	43989591.0
GRASO_134	34995483.0
GRASO_135	31029460.0
GRASO_136	39945899.0
GRASO_137	32657180.0
GRASO_138	47651792.0
GRASO_139	33690621.0
GRASO_140	54971357.0
GRASO_141	44171169.0
GRASO_142	49117199.0
GRASO_143	45391388.0
GRASO_144	56912512.0
GRASO_145	184326472.0
GRASO_146	50656518.0
GRASO_147	33856805.0
GRASO_148	43858758.0
GRASO_149	29227367.0
GRASO_150	63458099.0
GRASO_151	44649880.0
GRASO_152	57849346.0
GRASO_153	48031193.0
GRASO_154	12273860.0
GRASO_155	70500954.0
GRASO_156	28531063.0
GRASO_157	39034064.0
GRASO_158	31559807.0
GRASO_159	70304053.0
GRASO_160	50763120.0
GRASO_161	36818571.0
GRASO_162	52498914.0
GRASO_163	36767226.0
GRASO_164	31128683.0
GRASO_165	47906116.0
GRASO_166	37719821.0
GRASO_167	35435691.0
GRASO_168	39480039.0
GRASO_169	41618560.0
GRASO_170	38811985.0
GRASO_171	42266454.0
GRASO_172	29814523.0
GRASO_173	22957170.0
GRASO_174	22898751.0
GRASO_175	29125451.0
GRASO_176	27061685.0
GRASO_177	21858898.0
GRASO_178	36985616.0
GRASO_179	50962233.0
GRASO_180	38748460.0
HIGADO_01	27287608.0
HIGADO_02	40994519.0
HIGADO_03	35323357.0
HIGADO_04	32894442.0
HIGADO_05	32305435.0
HIGADO_06	36206484.0
HIGADO_07	51460285.0
HIGADO_08	39894440.0
HIGADO_09	30854520.0
HIGADO_10	38787458.0
HIGADO_11	45022641.0
HIGADO_12	42177664.0
HIGADO_13	58916690.0
HIGADO_14	55071296.0
HIGADO_15	54342654.0
HIGADO_16	34080456.0
HIGADO_17	48856406.0
HIGADO_18	62272034.0
HIGADO_19	46087521.0
HIGADO_20	31240007.0
HIGADO_21	73931477.0
HIGADO_22	21310345.0
HIGADO_23	45907614.0
HIGADO_24	48263175.0
HIGADO_25	19546999.0
HIGADO_26	27529970.0
HIGADO_27	40587078.0
HIGADO_28	25241993.0
HIGADO_29	27097781.0
HIGADO_30	34173976.0
HIGADO_31	25992128.0
HIGADO_32	26272832.0
HIGADO_33	32171811.0
HIGADO_34	58709275.0
HIGADO_35	29647719.0
HIGADO_36	37380736.0
HIGADO_37	28227653.0
HIGADO_38	27513780.0
HIGADO_39	34064758.0
HIGADO_40	29862282.0
HIGADO_41	47891460.0
HIGADO_42	45081108.0
HIGADO_43	43116113.0
HIGADO_44	30336414.0
HIGADO_45	40736024.0
HIGADO_46	28156357.0
HIGADO_47	25795807.0
HIGADO_48	33870273.0
HIGADO_49	53779034.0
HIGADO_50	32333409.0
HIGADO_51	30366162.0
HIGADO_52	41688213.0
HIGADO_53	28085547.0
HIGADO_54	31808159.0
HIGADO_55	28280631.0
HIGADO_56	26546849.0
HIGADO_57	39562548.0
HIGADO_58	31662377.0
HIGADO_59	30816166.0
HIGADO_60	32940397.0
MUSCULO_100	79203863.0
MUSCULO_101	41627976.0
MUSCULO_102	21052005.0
MUSCULO_103	24999630.0
MUSCULO_104	35117630.0
MUSCULO_105	33768595.0
MUSCULO_106	26444515.0
MUSCULO_107	35430380.0
MUSCULO_108	53916177.0
MUSCULO_109	26762621.0
MUSCULO_110	27119938.0
MUSCULO_111	25880755.0
MUSCULO_112	33948038.0
MUSCULO_113	34922407.0
MUSCULO_114	33819402.0
MUSCULO_115	43166045.0
MUSCULO_116	67050565.0
MUSCULO_117	23949647.0
MUSCULO_118	34886566.0
MUSCULO_119	31360632.0
MUSCULO_120	30637337.0
MUSCULO_61	47363264.0
MUSCULO_62	58128499.0
MUSCULO_63	50014127.0
MUSCULO_64	29589832.0
MUSCULO_65	23612956.0
MUSCULO_66	23655802.0
MUSCULO_67	26480967.0
MUSCULO_68	23511178.0
MUSCULO_69	24163260.0
MUSCULO_70	26940888.0
MUSCULO_71	26191579.0
MUSCULO_72	18150615.0
MUSCULO_73	37972964.0
MUSCULO_74	39053196.0
MUSCULO_75	31881459.0
MUSCULO_76	31587232.0
MUSCULO_77	59209322.0
MUSCULO_78	52054746.0
MUSCULO_79	38704492.0
MUSCULO_80	29445676.0
MUSCULO_81	29336714.0
MUSCULO_82	40044021.0
MUSCULO_83	52137428.0
MUSCULO_84	38920708.0
MUSCULO_85	40997400.0
MUSCULO_86	35845593.0
MUSCULO_87	36066809.0
MUSCULO_88	47988911.0
MUSCULO_89	27580648.0
MUSCULO_90	86860276.0
MUSCULO_91	40559663.0
MUSCULO_92	46632808.0
MUSCULO_93	41618585.0
MUSCULO_94	33416767.0
MUSCULO_95	45518759.0
MUSCULO_96	38460264.0
MUSCULO_97	34179826.0
MUSCULO_98	47607038.0
MUSCULO_99	45140390.0
