Sample	Unique Reads	Duplicate Reads
GRASO_121	24814053.0	21166712.0
GRASO_122	30954598.0	24833852.0
GRASO_123	21063726.0	39283119.0
GRASO_124	14386400.0	16279102.0
GRASO_125	31665264.0	22341996.0
GRASO_126	23146100.0	26843293.0
GRASO_127	32339932.0	29073679.0
GRASO_128	26044182.0	26935527.0
GRASO_129	8793453.0	28466908.0
GRASO_130	25234955.0	22717807.0
GRASO_131	23721068.0	22718036.0
GRASO_132	18338706.0	16818399.0
GRASO_133	20465670.0	21684842.0
GRASO_134	14890457.0	15766684.0
GRASO_135	16589095.0	14124437.0
GRASO_136	18913941.0	20022886.0
GRASO_137	13798394.0	17647569.0
GRASO_138	24118104.0	20036857.0
GRASO_139	18069913.0	12461323.0
GRASO_140	27309635.0	25748301.0
GRASO_141	23066113.0	19459653.0
GRASO_142	26405301.0	21123657.0
GRASO_143	10159231.0	26886834.0
GRASO_144	12067811.0	43541816.0
GRASO_145	78994477.0	103149256.0
GRASO_146	17801676.0	31727525.0
GRASO_147	16083996.0	16840964.0
GRASO_148	19711038.0	22554257.0
GRASO_149	14777721.0	13771524.0
GRASO_150	27672102.0	34350023.0
GRASO_151	18061455.0	25834830.0
GRASO_152	28500147.0	27164715.0
GRASO_153	25639825.0	21533831.0
GRASO_154	7489024.0	4443799.0
GRASO_155	33639229.0	36049046.0
GRASO_156	10538802.0	17272947.0
GRASO_157	21231808.0	16469741.0
GRASO_158	15425279.0	15348206.0
GRASO_159	35178086.0	34341010.0
GRASO_160	24544876.0	24736261.0
GRASO_161	18196347.0	16883865.0
GRASO_162	25692761.0	26203128.0
GRASO_163	16656003.0	19423614.0
GRASO_164	15014652.0	15462405.0
GRASO_165	22584652.0	25066966.0
GRASO_166	18632679.0	18200518.0
GRASO_167	14662219.0	16542642.0
GRASO_168	18985785.0	19901474.0
GRASO_169	11394641.0	27253453.0
GRASO_170	22041212.0	16615516.0
GRASO_171	24687805.0	17253774.0
GRASO_172	13075090.0	15625391.0
GRASO_173	12719000.0	9978631.0
GRASO_174	14930875.0	7901083.0
GRASO_175	14707631.0	14164957.0
GRASO_176	15639019.0	11331737.0
GRASO_177	14345721.0	7469300.0
GRASO_178	23814240.0	13136245.0
GRASO_179	34655661.0	16189734.0
GRASO_180	22811237.0	15800769.0
HIGADO_01	10110318.0	16890792.0
HIGADO_02	13514794.0	27082197.0
HIGADO_03	11528138.0	23436045.0
HIGADO_04	11527884.0	21010675.0
HIGADO_05	11474725.0	20656488.0
HIGADO_06	12550349.0	23338286.0
HIGADO_07	16098915.0	35020896.0
HIGADO_08	12386790.0	27222138.0
HIGADO_09	11300271.0	19376191.0
HIGADO_10	12765456.0	25735640.0
HIGADO_11	15736078.0	28690821.0
HIGADO_12	13635906.0	28052671.0
HIGADO_13	17888845.0	40799836.0
HIGADO_14	17029154.0	37848283.0
HIGADO_15	17085569.0	37039854.0
HIGADO_16	10489340.0	23509581.0
HIGADO_17	15416366.0	33345963.0
HIGADO_18	17205958.0	44916478.0
HIGADO_19	15355636.0	30459652.0
HIGADO_20	11545243.0	19459346.0
HIGADO_21	22534581.0	51049514.0
HIGADO_22	7362972.0	13870283.0
HIGADO_23	15379598.0	30440239.0
HIGADO_24	14548886.0	33602525.0
