Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
GRASO_121	134460.0	17760.0	29893.0
GRASO_122	132562.0	18078.0	31986.0
GRASO_123	127922.0	17117.0	23712.0
GRASO_124	117525.0	10001.0	22052.0
GRASO_125	135940.0	20969.0	33310.0
GRASO_126	131741.0	16919.0	29948.0
GRASO_127	135698.0	20031.0	34581.0
GRASO_128	132485.0	17648.0	30330.0
GRASO_129	81839.0	5179.0	19828.0
GRASO_130	133067.0	18577.0	28820.0
GRASO_131	132246.0	18190.0	27062.0
GRASO_132	129946.0	15508.0	22874.0
GRASO_133	129837.0	16774.0	23768.0
GRASO_134	121007.0	11387.0	17423.0
GRASO_135	121329.0	11756.0	21315.0
GRASO_136	132280.0	16947.0	24338.0
GRASO_137	104146.0	6824.0	20175.0
GRASO_138	128676.0	15274.0	26729.0
GRASO_139	121757.0	10887.0	26264.0
GRASO_140	131329.0	17243.0	30554.0
GRASO_141	127471.0	14742.0	29663.0
GRASO_142	132970.0	17638.0	27990.0
GRASO_143	96092.0	5739.0	20127.0
GRASO_144	89671.0	4178.0	15652.0
GRASO_145	148757.0	36548.0	70788.0
GRASO_146	119889.0	12149.0	23922.0
GRASO_147	122999.0	12748.0	20944.0
GRASO_148	128800.0	15617.0	22985.0
GRASO_149	122588.0	11878.0	18711.0
GRASO_150	131889.0	18229.0	31575.0
GRASO_151	126637.0	15141.0	22649.0
GRASO_152	132846.0	18529.0	31883.0
GRASO_153	131068.0	16406.0	31277.0
GRASO_154	111782.0	7375.0	10180.0
GRASO_155	138949.0	21898.0	37547.0
GRASO_156	109436.0	8240.0	14411.0
GRASO_157	125203.0	12590.0	25400.0
GRASO_158	120422.0	11736.0	19708.0
GRASO_159	137425.0	22062.0	35943.0
GRASO_160	132795.0	18139.0	26896.0
GRASO_161	122916.0	11818.0	24847.0
GRASO_162	129854.0	15991.0	28859.0
GRASO_163	123326.0	12472.0	20159.0
GRASO_164	121367.0	11567.0	19048.0
GRASO_165	128797.0	16582.0	24971.0
GRASO_166	125224.0	13621.0	22896.0
GRASO_167	115727.0	8667.0	20145.0
GRASO_168	130688.0	14248.0	22969.0
GRASO_169	98312.0	7755.0	26552.0
GRASO_170	129801.0	15686.0	23810.0
GRASO_171	129874.0	16314.0	24855.0
GRASO_172	118703.0	10700.0	15894.0
GRASO_173	119498.0	9988.0	15555.0
GRASO_174	124543.0	12302.0	15379.0
GRASO_175	118912.0	11328.0	19378.0
GRASO_176	124255.0	12482.0	16397.0
GRASO_177	123104.0	11900.0	15699.0
GRASO_178	130737.0	15377.0	25694.0
GRASO_179	133026.0	17406.0	36542.0
GRASO_180	128345.0	14976.0	24834.0
HIGADO_01	109113.0	10227.0	10959.0
HIGADO_02	114315.0	12657.0	14112.0
HIGADO_03	112277.0	10978.0	11821.0
HIGADO_04	111187.0	11138.0	13063.0
HIGADO_05	114143.0	12206.0	12287.0
HIGADO_06	112446.0	11724.0	12867.0
HIGADO_07	117744.0	14657.0	16295.0
HIGADO_08	113313.0	11841.0	13151.0
HIGADO_09	110855.0	10535.0	12378.0
HIGADO_10	114129.0	11509.0	13408.0
HIGADO_11	116944.0	13399.0	15066.0
HIGADO_12	114029.0	12007.0	14220.0
HIGADO_13	119426.0	14958.0	17121.0
HIGADO_14	119655.0	15545.0	16821.0
HIGADO_15	120521.0	15371.0	16327.0
HIGADO_16	110332.0	10439.0	11614.0
HIGADO_17	117350.0	14063.0	15610.0
HIGADO_18	117624.0	14274.0	17015.0
HIGADO_19	116866.0	13900.0	14746.0
HIGADO_20	110727.0	11452.0	12311.0
HIGADO_21	123049.0	18390.0	21631.0
HIGADO_22	103749.0	8253.0	9050.0
HIGADO_23	115109.0	13696.0	15183.0
HIGADO_24	117973.0	14134.0	15128.0
HIGADO_25	104924.0	8423.0	9010.0
HIGADO_26	112625.0	11676.0	11791.0
HIGADO_27	115370.0	13664.0	14498.0
HIGADO_28	108057.0	9652.0	9942.0
HIGADO_29	110341.0	10237.0	10943.0
HIGADO_30	110596.0	11350.0	12478.0
HIGADO_31	106504.0	9662.0	10781.0
HIGADO_32	109772.0	10409.0	11446.0
HIGADO_33	112417.0	10857.0	11489.0
HIGADO_34	119546.0	15034.0	18152.0
HIGADO_35	106858.0	10172.0	11454.0
HIGADO_36	111823.0	11529.0	12619.0
HIGADO_37	107275.0	9771.0	11485.0
HIGADO_38	108981.0	10019.0	10644.0
HIGADO_39	111297.0	11197.0	12270.0
HIGADO_40	109217.0	10373.0	11311.0
HIGADO_41	116155.0	13401.0	15554.0
HIGADO_42	116733.0	13326.0	15828.0
HIGADO_43	115198.0	13019.0	14825.0
HIGADO_44	108670.0	9985.0	11253.0
HIGADO_45	110367.0	10727.0	13212.0
HIGADO_46	110217.0	10009.0	10543.0
HIGADO_47	106876.0	9084.0	9693.0
HIGADO_48	106911.0	9737.0	11116.0
