Sample	Chromosome X	Chromosome Y
GRASO_121	2700067.0	26315.0
GRASO_122	4902414.0	10330.0
GRASO_123	7856748.0	29390.0
GRASO_124	3452547.0	15092.0
GRASO_125	5063407.0	38093.0
GRASO_126	5208285.0	23813.0
GRASO_127	4913141.0	27608.0
GRASO_128	4763281.0	26158.0
GRASO_129	2541261.0	39079.0
GRASO_130	3656083.0	16081.0
GRASO_131	3910408.0	14144.0
GRASO_132	3111769.0	10619.0
GRASO_133	3686795.0	4069.0
GRASO_134	1814103.0	3557.0
GRASO_135	2748133.0	15541.0
GRASO_136	3984634.0	14439.0
GRASO_137	2538919.0	5355.0
GRASO_138	2521165.0	7343.0
GRASO_139	1912986.0	14709.0
GRASO_140	4050644.0	7900.0
GRASO_141	3598727.0	7485.0
GRASO_142	3219240.0	7768.0
GRASO_143	2271249.0	5073.0
GRASO_144	696083.0	165046.0
GRASO_145	15806413.0	91672.0
GRASO_146	3327641.0	36849.0
GRASO_147	2532235.0	14903.0
GRASO_148	4981830.0	18462.0
GRASO_149	1883933.0	13529.0
GRASO_150	5200784.0	11576.0
GRASO_151	3023808.0	17705.0
GRASO_152	4764827.0	30570.0
GRASO_153	5142432.0	25554.0
GRASO_154	951311.0	10114.0
GRASO_155	7540715.0	12771.0
GRASO_156	3163232.0	2081.0
GRASO_157	2702035.0	7810.0
GRASO_158	2831864.0	10479.0
GRASO_159	6173225.0	33649.0
GRASO_160	4010883.0	21543.0
GRASO_161	2751689.0	19152.0
GRASO_162	3866184.0	9300.0
GRASO_163	2559201.0	4693.0
GRASO_164	2358789.0	4520.0
GRASO_165	3842887.0	6847.0
GRASO_166	2810758.0	6009.0
GRASO_167	2543077.0	15217.0
GRASO_168	4492061.0	17452.0
GRASO_169	3768085.0	13136.0
GRASO_170	3838062.0	6591.0
GRASO_171	2811618.0	6846.0
GRASO_172	1936155.0	12445.0
GRASO_173	1704809.0	9947.0
GRASO_174	1136503.0	3363.0
GRASO_175	3125567.0	13498.0
GRASO_176	2399781.0	10494.0
GRASO_177	2029840.0	10798.0
GRASO_178	2363880.0	7366.0
GRASO_179	3303297.0	47340.0
GRASO_180	3446472.0	6769.0
HIGADO_01	1126090.0	1613.0
HIGADO_02	2045239.0	8713.0
HIGADO_03	1246992.0	2071.0
HIGADO_04	1535137.0	8265.0
HIGADO_05	1137076.0	6456.0
HIGADO_06	1142178.0	6963.0
HIGADO_07	1882459.0	10605.0
HIGADO_08	1439430.0	7395.0
HIGADO_09	1437121.0	8245.0
HIGADO_10	1996548.0	2458.0
HIGADO_11	2444561.0	10087.0
HIGADO_12	2478240.0	9102.0
HIGADO_13	2471245.0	2707.0
HIGADO_14	3737588.0	2654.0
HIGADO_15	3561411.0	8858.0
HIGADO_16	1622327.0	6171.0
HIGADO_17	2038182.0	11406.0
HIGADO_18	2528769.0	12116.0
HIGADO_19	1984272.0	2648.0
HIGADO_20	1665391.0	1905.0
HIGADO_21	4369085.0	16478.0
HIGADO_22	826236.0	895.0
HIGADO_23	2345868.0	2942.0
HIGADO_24	3812822.0	3124.0
HIGADO_25	695017.0	3946.0
HIGADO_26	1214294.0	6198.0
HIGADO_27	1589944.0	8447.0
HIGADO_28	1038095.0	1241.0
HIGADO_29	1423189.0	5418.0
HIGADO_30	1754501.0	1804.0
HIGADO_31	1146275.0	6449.0
HIGADO_32	1038155.0	5506.0
HIGADO_33	1383916.0	1528.0
HIGADO_34	1946572.0	12704.0
HIGADO_35	1502615.0	5846.0
HIGADO_36	2040928.0	1936.0
HIGADO_37	1201346.0	2383.0
HIGADO_38	1323882.0	1643.0
HIGADO_39	1607214.0	7137.0
HIGADO_40	1395860.0	6324.0
HIGADO_41	2088114.0	3070.0
HIGADO_42	2567877.0	10312.0
HIGADO_43	1793572.0	8923.0
HIGADO_44	1410422.0	5773.0
HIGADO_45	1885289.0	7605.0
HIGADO_46	1711832.0	4909.0
HIGADO_47	1355321.0	1316.0
HIGADO_48	1460829.0	2417.0
HIGADO_49	3480308.0	3642.0
HIGADO_50	2061606.0	1948.0
HIGADO_51	1948687.0	3439.0
HIGADO_52	1865986.0	8412.0
HIGADO_53	1763591.0	1766.0
HIGADO_54	1517218.0	1492.0
HIGADO_55	1598563.0	5390.0
HIGADO_56	1196294.0	5621.0
HIGADO_57	1684826.0	5503.0
HIGADO_58	1040161.0	5613.0
HIGADO_59	1261767.0	5295.0
HIGADO_60	1107770.0	6715.0
MUSCULO_100	3179996.0	16769.0
MUSCULO_101	1337292.0	9940.0
MUSCULO_102	893976.0	1011.0
MUSCULO_103	976136.0	5348.0
MUSCULO_104	1653875.0	8627.0
MUSCULO_105	1522320.0	6673.0
MUSCULO_106	1202609.0	8121.0
MUSCULO_107	1828835.0	9494.0
MUSCULO_108	1900730.0	11601.0
MUSCULO_109	838435.0	5417.0
MUSCULO_110	972996.0	2131.0
MUSCULO_111	1069189.0	5894.0
MUSCULO_112	1537855.0	2079.0
MUSCULO_113	1522992.0	3459.0
MUSCULO_114	1652237.0	9540.0
MUSCULO_115	2076497.0	3446.0
MUSCULO_116	3535942.0	16111.0
MUSCULO_117	961942.0	1466.0
MUSCULO_118	1470418.0	7796.0
MUSCULO_119	1084619.0	1671.0
MUSCULO_120	1575352.0	1900.0
MUSCULO_61	2130947.0	2276.0
MUSCULO_62	2613638.0	3574.0
MUSCULO_63	2761048.0	12183.0
MUSCULO_64	1631662.0	6258.0
MUSCULO_65	1367104.0	6250.0
MUSCULO_66	1078099.0	6378.0
MUSCULO_67	1223226.0	5907.0
MUSCULO_68	1165421.0	5461.0
MUSCULO_69	1217792.0	6224.0
MUSCULO_70	1306492.0	1439.0
MUSCULO_71	1321381.0	6494.0
MUSCULO_72	944781.0	4051.0
MUSCULO_73	1174038.0	7752.0
MUSCULO_74	1331236.0	2114.0
MUSCULO_75	1100354.0	1628.0
MUSCULO_76	1036951.0	1784.0
MUSCULO_77	2479805.0	3371.0
MUSCULO_78	2225968.0	2260.0
MUSCULO_79	1318778.0	8758.0
MUSCULO_80	1234143.0	6704.0
MUSCULO_81	1266310.0	6174.0
MUSCULO_82	1354245.0	2402.0
MUSCULO_83	2535643.0	10560.0
MUSCULO_84	1306585.0	8681.0
MUSCULO_85	1658706.0	9093.0
MUSCULO_86	1309376.0	6074.0
MUSCULO_87	1848805.0	2151.0
MUSCULO_88	1885998.0	10110.0
MUSCULO_89	764160.0	6638.0
MUSCULO_90	3241128.0	17906.0
MUSCULO_91	1815370.0	2298.0
MUSCULO_92	1564991.0	2986.0
MUSCULO_93	1835387.0	9555.0
MUSCULO_94	1836581.0	1914.0
MUSCULO_95	2040136.0	2260.0
MUSCULO_96	2106012.0	3438.0
MUSCULO_97	1762395.0	4293.0
MUSCULO_98	1703845.0	4587.0
MUSCULO_99	2218293.0	11352.0
