Sample	Mapped (with MQ>0)	MQ0
GRASO_121	40965149.0	3472680.0
GRASO_122	49774038.0	4379021.0
GRASO_123	42430094.0	12478363.0
GRASO_124	24501150.0	3366717.0
GRASO_125	48182721.0	4243252.0
GRASO_126	41844823.0	6257810.0
GRASO_127	54899298.0	4414775.0
GRASO_128	45713531.0	5461757.0
GRASO_129	16390346.0	12581858.0
GRASO_130	42524784.0	3822946.0
GRASO_131	39534377.0	5414331.0
GRASO_132	30858912.0	3041426.0
GRASO_133	37260478.0	3797305.0
GRASO_134	27401945.0	1305007.0
GRASO_135	26891603.0	2327832.0
GRASO_136	32305054.0	5124964.0
GRASO_137	22512276.0	2176611.0
GRASO_138	40080593.0	2721789.0
GRASO_139	27341906.0	1708309.0
GRASO_140	47244974.0	4330901.0
GRASO_141	37095733.0	3691915.0
GRASO_142	42778587.0	3400555.0
GRASO_143	19129908.0	11564700.0
GRASO_144	19476985.0	9152122.0
GRASO_145	161231011.0	14998306.0
GRASO_146	40241013.0	6067579.0
GRASO_147	28454313.0	2241390.0
GRASO_148	36770575.0	2955800.0
GRASO_149	25558444.0	1666836.0
GRASO_150	55354469.0	4545676.0
GRASO_151	38983319.0	3024379.0
GRASO_152	51314715.0	2849105.0
GRASO_153	39428106.0	6258154.0
GRASO_154	9363070.0	1458628.0
GRASO_155	60151728.0	7396951.0
GRASO_156	19525423.0	3120084.0
GRASO_157	31120130.0	2768546.0
GRASO_158	27764335.0	2069009.0
GRASO_159	62282056.0	5673420.0
GRASO_160	45169181.0	2972789.0
GRASO_161	30268433.0	2214005.0
GRASO_162	46933274.0	3149231.0
GRASO_163	31441156.0	2208274.0
GRASO_164	25850939.0	2086793.0
GRASO_165	41317814.0	3193176.0
GRASO_166	32418834.0	2144461.0
GRASO_167	25705072.0	2343290.0
GRASO_168	32318606.0	5195231.0
GRASO_169	23248559.0	9924609.0
GRASO_170	34769028.0	2936150.0
GRASO_171	38102413.0	2185895.0
GRASO_172	22765879.0	1275533.0
GRASO_173	18690938.0	1562851.0
GRASO_174	21344811.0	1027450.0
GRASO_175	24788760.0	2830351.0
GRASO_176	23060426.0	2726586.0
GRASO_177	19858618.0	1457592.0
GRASO_178	34300026.0	1828442.0
GRASO_179	46297206.0	2937137.0
GRASO_180	34100394.0	3004287.0
HIGADO_01	23310681.0	2560230.0
HIGADO_02	35197368.0	3893908.0
HIGADO_03	29660096.0	3870255.0
HIGADO_04	26568524.0	4176898.0
HIGADO_05	29062920.0	2060111.0
HIGADO_06	30361488.0	3915029.0
HIGADO_07	43160405.0	5454824.0
HIGADO_08	31933407.0	5908790.0
HIGADO_09	25753407.0	3868309.0
HIGADO_10	31319127.0	5122253.0
HIGADO_11	37027817.0	5849227.0
HIGADO_12	34541535.0	5884083.0
HIGADO_13	49504280.0	6203852.0
HIGADO_14	47373429.0	5637874.0
HIGADO_15	45553740.0	6269872.0
HIGADO_16	26720506.0	5013038.0
HIGADO_17	41598508.0	5077628.0
HIGADO_18	49133970.0	9189206.0
HIGADO_19	39575449.0	4488719.0
HIGADO_20	26673956.0	3236095.0
HIGADO_21	63145900.0	7613648.0
HIGADO_22	17731818.0	2197492.0
HIGADO_23	39388192.0	4623754.0
HIGADO_24	40662167.0	5709072.0
HIGADO_25	17719320.0	1288821.0
HIGADO_26	24810750.0	1919902.0
HIGADO_27	37488870.0	2112850.0
HIGADO_28	23092587.0	1501487.0
HIGADO_29	23595462.0	2471248.0
HIGADO_30	30338067.0	2750348.0
HIGADO_31	22733554.0	2363176.0
HIGADO_32	23776211.0	1824885.0
HIGADO_33	27457675.0	3134569.0
HIGADO_34	50330013.0	5484828.0
HIGADO_35	24338699.0	3331545.0
HIGADO_36	32426521.0	3523260.0
HIGADO_37	25067009.0	2030034.0
HIGADO_38	24470477.0	2073065.0
HIGADO_39	29673949.0	2827050.0
HIGADO_40	25818478.0	2665037.0
HIGADO_41	39411763.0	5703412.0
HIGADO_42	38933074.0	4320933.0
HIGADO_43	36677023.0	3973746.0
HIGADO_44	25597265.0	3093115.0
HIGADO_45	31875267.0	6039147.0
HIGADO_46	24431159.0	2860745.0
HIGADO_47	20481396.0	3597821.0
HIGADO_48	24900477.0	6697251.0
HIGADO_49	45372067.0	6294035.0
HIGADO_50	27151522.0	3787821.0
HIGADO_51	25728856.0	3318780.0
HIGADO_52	33596755.0	5551640.0
HIGADO_53	23465603.0	3402803.0
HIGADO_54	28029494.0	2667870.0
HIGADO_55	23089943.0	3816057.0
HIGADO_56	20838204.0	4200652.0
HIGADO_57	28527597.0	6892658.0
HIGADO_58	25092900.0	3648832.0
HIGADO_59	26212237.0	3006695.0
HIGADO_60	23934591.0	5066105.0
MUSCULO_100	67081322.0	6862486.0
MUSCULO_101	37223869.0	2717822.0
MUSCULO_102	18465509.0	1601972.0
MUSCULO_103	19962793.0	2839295.0
MUSCULO_104	31152920.0	2478709.0
MUSCULO_105	28140023.0	3311076.0
MUSCULO_106	20827838.0	3987152.0
MUSCULO_107	30492791.0	2942886.0
MUSCULO_108	47333057.0	3936374.0
MUSCULO_109	23637590.0	1847240.0
MUSCULO_110	22429127.0	3165179.0
MUSCULO_111	21238618.0	2726549.0
MUSCULO_112	29282098.0	2639525.0
MUSCULO_113	31850710.0	1331490.0
MUSCULO_114	29672301.0	2320583.0
MUSCULO_115	39218765.0	2363425.0
MUSCULO_116	55523075.0	7504362.0
MUSCULO_117	21351682.0	1656829.0
MUSCULO_118	30605414.0	2884157.0
MUSCULO_119	24935759.0	5001362.0
MUSCULO_120	27311816.0	2225170.0
MUSCULO_61	39073394.0	4864688.0
MUSCULO_62	53434994.0	3127045.0
MUSCULO_63	43444013.0	4541835.0
MUSCULO_64	25512809.0	2826468.0
MUSCULO_65	20989233.0	1857921.0
MUSCULO_66	21469801.0	1088238.0
MUSCULO_67	23147785.0	1971671.0
MUSCULO_68	20807337.0	1649638.0
MUSCULO_69	21697159.0	1645861.0
MUSCULO_70	23026123.0	2236929.0
MUSCULO_71	23572542.0	1672022.0
