Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
GRASO_121	35757170.0	8680659.0	70124.0	1357749.0	115063.0
GRASO_122	44192135.0	9960924.0	123340.0	1406040.0	106011.0
GRASO_123	29986772.0	24921685.0	444254.0	3775758.0	1218376.0
GRASO_124	21473432.0	6394435.0	34549.0	2738552.0	24534.0
GRASO_125	41793620.0	10632353.0	111564.0	1318428.0	151295.0
GRASO_126	32552439.0	15550194.0	87631.0	1509269.0	289860.0
GRASO_127	47678234.0	11635839.0	199752.0	1660007.0	239779.0
GRASO_128	37414369.0	13760919.0	119762.0	1531027.0	153632.0
GRASO_129	10393344.0	18578860.0	371812.0	6970109.0	946236.0
GRASO_130	37084180.0	9263550.0	56393.0	1471926.0	76713.0
GRASO_131	32985960.0	11962748.0	137550.0	1260185.0	92661.0
GRASO_132	26364402.0	7535936.0	79000.0	1146125.0	31642.0
GRASO_133	31455943.0	9601840.0	66101.0	954806.0	71822.0
GRASO_134	23839951.0	4867001.0	36534.0	1889160.0	24495.0
GRASO_135	24139099.0	5080336.0	36900.0	1429587.0	27610.0
GRASO_136	25696803.0	11733215.0	64635.0	1364219.0	77955.0
GRASO_137	19807673.0	4881214.0	39112.0	6683368.0	34596.0
GRASO_138	33901309.0	8901073.0	55841.0	1177650.0	119088.0
GRASO_139	23578978.0	5471237.0	57557.0	1383754.0	39710.0
GRASO_140	39185155.0	12390720.0	71259.0	1304326.0	106476.0
GRASO_141	29715502.0	11072146.0	168857.0	1373635.0	195626.0
GRASO_142	36158010.0	10021132.0	61953.0	1207075.0	80788.0
GRASO_143	11726146.0	18968462.0	186102.0	4761106.0	1404249.0
GRASO_144	13514066.0	15115041.0	735075.0	24204318.0	2041127.0
GRASO_145	140576051.0	35653266.0	188333.0	4777814.0	948269.0
GRASO_146	35109865.0	11198727.0	63646.0	3028107.0	128856.0
GRASO_147	25105227.0	5590476.0	32703.0	2150449.0	46105.0
GRASO_148	32175038.0	7551337.0	43013.0	2453675.0	42232.0
GRASO_149	22311557.0	4913723.0	40846.0	1243111.0	40008.0
GRASO_150	48748258.0	11151887.0	70015.0	1946577.0	105388.0
GRASO_151	33561897.0	8445801.0	47380.0	1775450.0	65757.0
GRASO_152	45613221.0	8550599.0	84334.0	1355355.0	61353.0
GRASO_153	34926973.0	10759287.0	80370.0	1284265.0	122761.0
GRASO_154	8357967.0	2463731.0	14451.0	1085934.0	10740.0
GRASO_155	52347168.0	15201511.0	112833.0	1831748.0	195015.0
GRASO_156	16880306.0	5765201.0	33468.0	5107736.0	25038.0
GRASO_157	27885676.0	6003000.0	49492.0	3714359.0	49022.0
GRASO_158	23821034.0	6012310.0	45585.0	863815.0	30741.0
GRASO_159	54752128.0	13203348.0	101883.0	1329485.0	132252.0
GRASO_160	40058291.0	8083679.0	49959.0	1025137.0	64071.0
GRASO_161	26691657.0	5790781.0	39976.0	2526220.0	31578.0
GRASO_162	41452563.0	8629942.0	78075.0	1647249.0	88060.0
GRASO_163	27219536.0	6429894.0	56755.0	2326540.0	46892.0
GRASO_164	22831911.0	5105821.0	28003.0	2483893.0	27429.0
GRASO_165	36572398.0	7938592.0	52125.0	3036075.0	52428.0
GRASO_166	28543542.0	6019753.0	53652.0	2175754.0	40496.0
GRASO_167	22473484.0	5574878.0	47136.0	3071901.0	37462.0
GRASO_168	28216413.0	9297424.0	66786.0	1256082.0	50554.0
GRASO_169	16055279.0	17117889.0	152503.0	4646008.0	676415.0
GRASO_170	31050291.0	6654887.0	54430.0	854584.0	42536.0
GRASO_171	34564059.0	5724249.0	52917.0	1558460.0	41894.0
GRASO_172	20005197.0	4036215.0	23718.0	4612390.0	22961.0
GRASO_173	16700804.0	3552985.0	28242.0	2395167.0	20433.0
GRASO_174	19451074.0	2921187.0	17673.0	416961.0	25063.0
GRASO_175	21997747.0	5621364.0	27788.0	1205454.0	20235.0
GRASO_176	19826593.0	5960419.0	28700.0	1117262.0	37782.0
GRASO_177	17590013.0	3726197.0	24172.0	452867.0	21772.0
GRASO_178	30770148.0	5358320.0	49752.0	735315.0	36950.0
GRASO_179	42185529.0	7048814.0	72774.0	1472279.0	65999.0
GRASO_180	30499354.0	6605327.0	57806.0	1410968.0	38551.0
HIGADO_01	20251650.0	5619261.0	57928.0	853495.0	218776.0
HIGADO_02	29935652.0	9155624.0	114181.0	993953.0	397581.0
HIGADO_03	25708990.0	7821361.0	40342.0	976843.0	416647.0
HIGADO_04	22268060.0	8477362.0	202112.0	1194082.0	396943.0
HIGADO_05	25523332.0	5599699.0	72263.0	698734.0	237185.0
HIGADO_06	26171170.0	8105347.0	100384.0	1067528.0	444206.0
HIGADO_07	36574618.0	12040611.0	40378.0	1702448.0	761756.0
HIGADO_08	26856100.0	10986097.0	50513.0	1141503.0	574715.0
HIGADO_09	21256593.0	8365123.0	76150.0	803737.0	174859.0
HIGADO_10	25748893.0	10692487.0	107608.0	1336058.0	616050.0
HIGADO_11	31074281.0	11802763.0	75105.0	1172693.0	302057.0
HIGADO_12	28734082.0	11691536.0	103848.0	883926.0	275185.0
HIGADO_13	41953803.0	13754329.0	98898.0	2030654.0	850997.0
HIGADO_14	39380660.0	13630643.0	147924.0	1394330.0	323880.0
HIGADO_15	38150507.0	13673105.0	150093.0	1669343.0	482375.0
HIGADO_16	22125361.0	9608183.0	84269.0	1391690.0	789418.0
HIGADO_17	35220541.0	11455595.0	59452.0	1432360.0	594381.0
HIGADO_18	40672827.0	17650349.0	242680.0	2157576.0	1399004.0
HIGADO_19	34097232.0	9966936.0	89877.0	1139530.0	521713.0
HIGADO_20	22541888.0	7368163.0	132472.0	791377.0	170689.0
HIGADO_21	52930591.0	17828957.0	90863.0	1864210.0	869474.0
HIGADO_22	15075900.0	4853410.0	89955.0	931716.0	282274.0
HIGADO_23	33196398.0	10815548.0	112753.0	1269063.0	426075.0
HIGADO_24	34110481.0	12260758.0	49929.0	1268845.0	461398.0
HIGADO_25	15562784.0	3445357.0	18684.0	406160.0	93729.0
HIGADO_26	21807185.0	4923467.0	90569.0	610610.0	46758.0
HIGADO_27	33035756.0	6565964.0	27484.0	743521.0	199085.0
HIGADO_28	20690445.0	3903629.0	28632.0	529354.0	63018.0
HIGADO_29	20316733.0	5749977.0	18489.0	791444.0	195151.0
HIGADO_30	26550926.0	6537489.0	80348.0	784136.0	204557.0
HIGADO_31	19542613.0	5554117.0	24249.0	705401.0	145765.0
HIGADO_32	20970695.0	4630401.0	57819.0	486607.0	75869.0
HIGADO_33	23766007.0	6826237.0	111929.0	1032033.0	401882.0
HIGADO_34	43421652.0	12393189.0	73511.0	2082321.0	698017.0
HIGADO_35	20261213.0	7409031.0	62841.0	1373823.0	476693.0
