Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GRASO_121	GRASO_121_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	45980765.0	0.0	20-100	50.0	53.96615765398393	97.1289993109075	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_122	GRASO_122_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55788450.0	0.0	20-100	50.0	55.48567402732907	97.68222479742671	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_123	GRASO_123_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	60346845.0	0.0	20-100	55.0	34.90443561484432	96.12102965780564	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_124	GRASO_124_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30665502.0	0.0	20-100	49.0	46.913953321837134	93.06760241524825	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_125	GRASO_125_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	54007260.0	0.0	20-100	50.0	58.63149420276038	97.87481590438026	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_126	GRASO_126_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49989393.0	0.0	20-100	53.0	46.30202212705626	97.38584223257122	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_127	GRASO_127_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	61413611.0	0.0	20-100	51.0	52.65922542501329	97.64880987050249	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_128	GRASO_128_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	52979709.0	0.0	20-100	51.0	49.15878472576266	97.32199302944454	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_129	GRASO_129_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37260361.0	0.0	20-100	64.0	23.600019786576453	88.411966325286	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_130	GRASO_130_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47952762.0	0.0	20-100	51.0	52.624610260859875	96.90861360603171	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_131	GRASO_131_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	46439104.0	0.0	20-100	52.0	51.07994175476175	97.36099688745071	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_132	GRASO_132_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35157105.0	0.0	20-100	51.0	52.16215997356355	96.93145780916831	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_133	GRASO_133_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42150512.0	0.0	20-100	52.0	48.55378698459495	97.44949304530394	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_134	GRASO_134_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30657141.0	0.0	20-100	49.0	48.57092235182601	94.64419288152148	100	pass	warn	pass	pass	fail	pass	pass	warn	fail	warn	pass
GRASO_135	GRASO_135_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30713532.0	0.0	20-100	48.0	54.01232961962212	95.65750660002243	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_136	GRASO_136_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38936827.0	0.0	20-100	53.0	48.57596845696106	96.40748882799309	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_137	GRASO_137_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31445963.0	0.0	20-100	49.0	43.87969873167479	85.22988900037821	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
GRASO_138	GRASO_138_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	44154961.0	0.0	20-100	51.0	54.62150285441118	96.8361382993861	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_139	GRASO_139_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	30531236.0	0.0	20-100	50.0	59.185002937988784	96.2870682339883	100	pass	warn	pass	pass	fail	pass	pass	warn	warn	warn	pass
GRASO_140	GRASO_140_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53057936.0	0.0	20-100	51.0	51.47134803767423	96.90224237143337	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	fail	pass
GRASO_141	GRASO_141_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42525766.0	0.0	20-100	52.0	54.2403229921494	96.51510780546552	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	fail	pass
GRASO_142	GRASO_142_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	47528958.0	0.0	20-100	51.0	55.55623719190268	96.79977730628978	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_143	GRASO_143_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37046065.0	0.0	20-100	65.0	27.423237492902146	93.06169489256146	98	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_144	GRASO_144_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	55609627.0	0.0	20-100	53.0	21.70093718288702	75.63702806350419	80	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_145	GRASO_145_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	182143733.0	0.0	20-100	50.0	43.36930782421566	97.72024902992408	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_146	GRASO_146_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49529201.0	0.0	20-100	47.0	35.9417770665361	95.17615993845732	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
GRASO_147	GRASO_147_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32924960.0	0.0	20-100	48.0	48.85046428634655	95.06832403137317	100	pass	warn	pass	pass	fail	warn	pass	warn	fail	warn	pass
GRASO_148	GRASO_148_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42265295.0	0.0	20-100	49.0	46.63646096811131	95.44846304751924	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
GRASO_149	GRASO_149_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28549245.0	0.0	20-100	49.0	51.762210498849846	96.68385234005312	100	pass	warn	pass	pass	fail	fail	pass	warn	warn	warn	pass
GRASO_150	GRASO_150_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	62022125.0	0.0	20-100	48.0	44.61650042492844	96.94191451840774	100	pass	warn	pass	pass	fail	fail	pass	warn	fail	warn	pass
