Sample	protein_coding	snoRNA	lincRNA	miRNA	pseudogene	snRNA	processed_pseudogene	rRNA	misc_RNA	ribozyme	sense_intronic	processed_transcript	TEC	antisense	scaRNA	sRNA	unprocessed_pseudogene	transcribed_processed_pseudogene	transcribed_unprocessed_pseudogene	Mt_tRNA	Mt_rRNA
GRASO_121	20238547.0	148680.0	21215.0	2408.0	28395.0	69679.0	4067.0	280.0	135370.0	195279.0	137.0	93851.0	100.0	206.0	19825.0	0.0	930.0	1649.0	0.0	333.0	66118.0
GRASO_122	24469165.0	44223.0	32779.0	2733.0	31663.0	12556.0	4743.0	163.0	155338.0	182560.0	156.0	134542.0	163.0	215.0	14466.0	0.0	888.0	1386.0	0.0	572.0	30582.0
GRASO_123	14882653.0	891333.0	20426.0	2293.0	30864.0	798637.0	3634.0	259.0	567791.0	1107661.0	110.0	37988.0	72.0	346.0	93375.0	0.0	646.0	1192.0	0.0	660.0	30990.0
GRASO_124	12788076.0	15793.0	13540.0	902.0	14650.0	12622.0	4250.0	350.0	149202.0	63234.0	26.0	36341.0	72.0	179.0	18604.0	1.0	333.0	948.0	0.0	467.0	48201.0
GRASO_125	20818545.0	210449.0	29937.0	3029.0	37240.0	120436.0	4179.0	184.0	170395.0	348146.0	263.0	79877.0	118.0	429.0	39059.0	1.0	1011.0	1537.0	2.0	196.0	32803.0
GRASO_126	17989915.0	200547.0	17933.0	2385.0	27289.0	81897.0	3707.0	3669.0	219442.0	368616.0	117.0	104645.0	98.0	199.0	40313.0	0.0	646.0	1458.0	0.0	708.0	59886.0
GRASO_127	29396264.0	50229.0	24459.0	2537.0	39646.0	43194.0	6124.0	223.0	170017.0	187873.0	149.0	174178.0	143.0	211.0	16666.0	0.0	963.0	1884.0	0.0	381.0	41898.0
GRASO_128	19973505.0	237518.0	21959.0	2516.0	29681.0	113933.0	4292.0	113.0	280976.0	430607.0	147.0	89181.0	115.0	242.0	51444.0	0.0	661.0	1565.0	1.0	508.0	36958.0
GRASO_129	5645037.0	60408.0	5041.0	22315.0	8853.0	11242.0	2417.0	3630.0	87963.0	133083.0	38.0	45489.0	28.0	48.0	11500.0	1.0	161.0	491.0	0.0	2126.0	193758.0
GRASO_130	23861186.0	33288.0	19494.0	2106.0	32070.0	9419.0	5770.0	121.0	184416.0	138950.0	90.0	119722.0	68.0	172.0	12567.0	1.0	897.0	1863.0	0.0	173.0	17813.0
GRASO_131	20822964.0	89133.0	16565.0	2076.0	29386.0	115979.0	4907.0	87.0	256529.0	229573.0	95.0	125079.0	55.0	130.0	18858.0	1.0	665.0	1461.0	0.0	147.0	9662.0
GRASO_132	17376775.0	29376.0	14059.0	1382.0	23246.0	8897.0	4246.0	71.0	128686.0	115870.0	71.0	77897.0	39.0	117.0	11126.0	0.0	747.0	1102.0	0.0	113.0	7912.0
GRASO_133	21748509.0	35086.0	17749.0	1709.0	28377.0	32324.0	5575.0	74.0	229988.0	179142.0	60.0	94481.0	36.0	140.0	13436.0	0.0	737.0	1659.0	0.0	175.0	16323.0
GRASO_134	15808042.0	18775.0	14518.0	1070.0	18424.0	4680.0	3794.0	58.0	167767.0	64228.0	77.0	57670.0	46.0	79.0	10046.0	1.0	450.0	1291.0	0.0	208.0	14453.0
GRASO_135	13529682.0	15488.0	13057.0	1233.0	16578.0	7532.0	3964.0	525.0	114715.0	57401.0	66.0	55131.0	119.0	103.0	12610.0	0.0	360.0	968.0	0.0	273.0	17337.0
GRASO_136	15546176.0	178829.0	15233.0	1721.0	25343.0	87944.0	4181.0	203.0	251579.0	311734.0	106.0	81673.0	39.0	124.0	33965.0	3.0	644.0	1293.0	0.0	130.0	28399.0
GRASO_137	8663810.0	11079.0	13435.0	1102.0	9249.0	5205.0	2842.0	147.0	88581.0	40467.0	78.0	31393.0	138.0	104.0	9640.0	0.0	264.0	578.0	0.0	247.0	19975.0
GRASO_138	18741459.0	41989.0	21640.0	2251.0	24610.0	9321.0	3924.0	168.0	207557.0	179442.0	101.0	92357.0	110.0	156.0	14220.0	0.0	646.0	1243.0	0.0	465.0	40323.0
GRASO_139	11284520.0	21795.0	13706.0	1398.0	13606.0	6924.0	2415.0	111.0	121108.0	85970.0	108.0	52967.0	99.0	102.0	8163.0	0.0	507.0	653.0	0.0	159.0	23273.0
GRASO_140	22359163.0	49965.0	27121.0	2403.0	27154.0	25793.0	5033.0	125.0	259401.0	204780.0	134.0	96258.0	157.0	170.0	16386.0	0.0	1013.0	1284.0	0.0	320.0	51746.0
GRASO_141	15308285.0	47707.0	20871.0	2203.0	22645.0	9289.0	3798.0	3584.0	174743.0	192692.0	109.0	76348.0	126.0	125.0	14203.0	1.0	568.0	916.0	0.0	381.0	35778.0
GRASO_142	20519924.0	37662.0	25578.0	4120.0	28380.0	17376.0	4957.0	214.0	185176.0	145962.0	140.0	97712.0	128.0	175.0	13341.0	0.0	984.0	1311.0	1.0	185.0	32961.0
GRASO_143	5832644.0	40092.0	6059.0	2051.0	8212.0	12792.0	2196.0	1882.0	88352.0	69184.0	48.0	42066.0	11.0	30.0	8310.0	0.0	176.0	348.0	0.0	238.0	65584.0
