Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
GRASO_121	Unknown Library	44437829.0	0.0	35021258.0	0.0	28987416.0	0.0	0.0	0.652314	
GRASO_122	Unknown Library	54153059.0	0.0	48162729.0	0.0	35344558.0	0.0	0.0	0.652679	
GRASO_123	Unknown Library	54908457.0	0.0	137326418.0	0.0	42630896.0	0.0	0.0	0.776399	
GRASO_124	Unknown Library	27867867.0	0.0	35216836.0	0.0	20625682.0	0.0	0.0	0.740124	
GRASO_125	Unknown Library	52425973.0	0.0	46261948.0	0.0	32007851.0	0.0	0.0	0.610534	
GRASO_126	Unknown Library	48102633.0	0.0	69195594.0	0.0	32970979.0	0.0	0.0	0.68543	
GRASO_127	Unknown Library	59314073.0	0.0	47275153.0	0.0	40783492.0	0.0	0.0	0.687585	
GRASO_128	Unknown Library	51175288.0	0.0	60801556.0	0.0	35014884.0	0.0	0.0	0.684215	
GRASO_129	Unknown Library	28972204.0	0.0	98551955.0	0.0	25799773.0	0.0	0.0	0.890501	
GRASO_130	Unknown Library	46347730.0	0.0	39112951.0	0.0	31147713.0	0.0	0.0	0.672044	
GRASO_131	Unknown Library	44948708.0	0.0	58230265.0	0.0	30625674.0	0.0	0.0	0.681347	
GRASO_132	Unknown Library	33900338.0	0.0	33286341.0	0.0	22335498.0	0.0	0.0	0.658858	
GRASO_133	Unknown Library	41057783.0	0.0	41298519.0	0.0	28761965.0	0.0	0.0	0.700524	
GRASO_134	Unknown Library	28706952.0	0.0	16459972.0	0.0	20565580.0	0.0	0.0	0.716397	
GRASO_135	Unknown Library	29219435.0	0.0	23687111.0	0.0	19003416.0	0.0	0.0	0.650369	
GRASO_136	Unknown Library	37430018.0	0.0	54254364.0	0.0	25839198.0	0.0	0.0	0.690334	
GRASO_137	Unknown Library	24688887.0	0.0	23013967.0	0.0	17241539.0	0.0	0.0	0.698352	
GRASO_138	Unknown Library	42802382.0	0.0	31996694.0	0.0	27711576.0	0.0	0.0	0.647431	
GRASO_139	Unknown Library	29050215.0	0.0	20525620.0	0.0	17440561.0	0.0	0.0	0.600359	
GRASO_140	Unknown Library	51575875.0	0.0	47581432.0	0.0	34733247.0	0.0	0.0	0.67344	
GRASO_141	Unknown Library	40787648.0	0.0	43942075.0	0.0	25721385.0	0.0	0.0	0.630617	
GRASO_142	Unknown Library	46179142.0	0.0	36212069.0	0.0	29973563.0	0.0	0.0	0.649071	
GRASO_143	Unknown Library	30694608.0	0.0	98559551.0	0.0	26847121.0	0.0	0.0	0.874653	
GRASO_144	Unknown Library	28629107.0	0.0	79131190.0	0.0	25574519.0	0.0	0.0	0.893305	
GRASO_145	Unknown Library	176229317.0	0.0	150938948.0	0.0	138687784.0	0.0	0.0	0.786973	
GRASO_146	Unknown Library	46308592.0	0.0	51804282.0	0.0	36585183.0	0.0	0.0	0.79003	
GRASO_147	Unknown Library	30695703.0	0.0	23324658.0	0.0	21669275.0	0.0	0.0	0.705938	
GRASO_148	Unknown Library	39726375.0	0.0	31925712.0	0.0	28777578.0	0.0	0.0	0.724395	
GRASO_149	Unknown Library	27225280.0	0.0	19050034.0	0.0	18178509.0	0.0	0.0	0.667707	
GRASO_150	Unknown Library	59900145.0	0.0	48352472.0	0.0	44089832.0	0.0	0.0	0.736056	
GRASO_151	Unknown Library	42007698.0	0.0	32134381.0	0.0	31956123.0	0.0	0.0	0.760721	
GRASO_152	Unknown Library	54163820.0	0.0	31848741.0	0.0	36984199.0	0.0	0.0	0.682821	
GRASO_153	Unknown Library	45686260.0	0.0	60226776.0	0.0	29317605.0	0.0	0.0	0.641716	
GRASO_154	Unknown Library	10821698.0	0.0	14015859.0	0.0	5895665.0	0.0	0.0	0.5448	
GRASO_155	Unknown Library	67548679.0	0.0	76623910.0	0.0	47261914.0	0.0	0.0	0.699672	
GRASO_156	Unknown Library	22645507.0	0.0	30657861.0	0.0	17881920.0	0.0	0.0	0.789645	
GRASO_157	Unknown Library	33888676.0	0.0	26442171.0	0.0	21259600.0	0.0	0.0	0.627336	
GRASO_158	Unknown Library	29833344.0	0.0	23373955.0	0.0	21612723.0	0.0	0.0	0.724449	
GRASO_159	Unknown Library	67955476.0	0.0	61113698.0	0.0	47235056.0	0.0	0.0	0.695088	
GRASO_160	Unknown Library	48141970.0	0.0	32109055.0	0.0	33757160.0	0.0	0.0	0.7012	
GRASO_161	Unknown Library	32482438.0	0.0	24979911.0	0.0	22383274.0	0.0	0.0	0.689088	
GRASO_162	Unknown Library	50082505.0	0.0	35522996.0	0.0	35881495.0	0.0	0.0	0.716448	
GRASO_163	Unknown Library	33649430.0	0.0	25218657.0	0.0	24489691.0	0.0	0.0	0.727789	
GRASO_164	Unknown Library	27937732.0	0.0	22117566.0	0.0	19103624.0	0.0	0.0	0.683793	
GRASO_165	Unknown Library	44510990.0	0.0	34394791.0	0.0	32446914.0	0.0	0.0	0.728964	
GRASO_166	Unknown Library	34563295.0	0.0	24047354.0	0.0	23489008.0	0.0	0.0	0.679594	
GRASO_167	Unknown Library	28048362.0	0.0	25046411.0	0.0	20313179.0	0.0	0.0	0.72422	
GRASO_168	Unknown Library	37513837.0	0.0	50454353.0	0.0	25764608.0	0.0	0.0	0.686803	
GRASO_169	Unknown Library	33173168.0	0.0	88699579.0	0.0	28073513.0	0.0	0.0	0.846272	
GRASO_170	Unknown Library	37705178.0	0.0	31161216.0	0.0	24103656.0	0.0	0.0	0.639266	
GRASO_171	Unknown Library	40288308.0	0.0	23720851.0	0.0	25346702.0	0.0	0.0	0.629133	
GRASO_172	Unknown Library	24041412.0	0.0	15629282.0	0.0	16662439.0	0.0	0.0	0.693072	
GRASO_173	Unknown Library	20253789.0	0.0	16659349.0	0.0	12365878.0	0.0	0.0	0.610546	
GRASO_174	Unknown Library	22372261.0	0.0	10370848.0	0.0	12892222.0	0.0	0.0	0.576259	
GRASO_175	Unknown Library	27619111.0	0.0	28564575.0	0.0	18992248.0	0.0	0.0	0.687649	
GRASO_176	Unknown Library	25787012.0	0.0	29155515.0	0.0	16857111.0	0.0	0.0	0.653705	
GRASO_177	Unknown Library	21316210.0	0.0	16162214.0	0.0	11749735.0	0.0	0.0	0.551211	
GRASO_178	Unknown Library	36128468.0	0.0	20362772.0	0.0	20633767.0	0.0	0.0	0.571122	
GRASO_179	Unknown Library	49234343.0	0.0	32124759.0	0.0	26644403.0	0.0	0.0	0.541175	
GRASO_180	Unknown Library	37104681.0	0.0	32880734.0	0.0	22520815.0	0.0	0.0	0.606953	
HIGADO_01	Unknown Library	25870911.0	0.0	23811486.0	0.0	20843016.0	0.0	0.0	0.805655	
HIGADO_02	Unknown Library	39091276.0	0.0	37094341.0	0.0	32648113.0	0.0	0.0	0.835176	
HIGADO_03	Unknown Library	33530351.0	0.0	32698418.0	0.0	28244307.0	0.0	0.0	0.84235	
HIGADO_04	Unknown Library	30745422.0	0.0	37916594.0	0.0	24932025.0	0.0	0.0	0.810918	
HIGADO_05	Unknown Library	31123031.0	0.0	19971141.0	0.0	25474868.0	0.0	0.0	0.818521	
HIGADO_06	Unknown Library	34276517.0	0.0	33987455.0	0.0	28630729.0	0.0	0.0	0.835287	
HIGADO_07	Unknown Library	48615229.0	0.0	52055794.0	0.0	41596521.0	0.0	0.0	0.855627	
HIGADO_08	Unknown Library	37842197.0	0.0	48379058.0	0.0	32350160.0	0.0	0.0	0.85487	
HIGADO_09	Unknown Library	29621716.0	0.0	34189344.0	0.0	23964176.0	0.0	0.0	0.809007	
HIGADO_10	Unknown Library	36441380.0	0.0	46452128.0	0.0	30074292.0	0.0	0.0	0.825279	
HIGADO_11	Unknown Library	42877044.0	0.0	50913656.0	0.0	35928887.0	0.0	0.0	0.837952	
HIGADO_12	Unknown Library	40425618.0	0.0	51559409.0	0.0	33925340.0	0.0	0.0	0.839204	
HIGADO_13	Unknown Library	55708132.0	0.0	59691228.0	0.0	48426825.0	0.0	0.0	0.869295	
HIGADO_14	Unknown Library	53011303.0	0.0	57600914.0	0.0	45652553.0	0.0	0.0	0.861185	
HIGADO_15	Unknown Library	51823612.0	0.0	62847203.0	0.0	44756134.0	0.0	0.0	0.863624	
