Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
GRASO_121	79459087	0	28987416	35021258	0	1068071	14382342	0	0	7242139	7140203	12622070	1760272	0	0	18.100311170200083	0.0
GRASO_122	102315788	0	35344558	48162729	0	1294241	17514260	0	0	8831192	8683068	15530791	1983469	0	0	17.117846954372283	0.0
GRASO_123	192234875	0	42630896	137326418	0	890860	11386701	0	0	5693066	5693635	9696055	1690646	0	0	5.9233273879154344	0.0
GRASO_124	63084703	0	20625682	35216836	0	612270	6629915	0	0	3338324	3291591	5705989	923926	0	0	10.509544603863793	0.0
GRASO_125	98687921	0	32007851	46261948	0	1345064	19073058	0	0	9544868	9528190	17011592	2061466	0	0	19.32663876868984	0.0
GRASO_126	117298227	0	32970979	69195594	0	1052645	14079009	0	0	7055587	7023422	12262488	1816521	0	0	12.002746639981183	0.0
GRASO_127	106589226	0	40783492	47275153	0	1279271	17251310	0	0	8699263	8552047	14953684	2297626	0	0	16.18485342974533	0.0
GRASO_128	111976844	0	35014884	60801556	0	1103561	15056843	0	0	7548792	7508051	13296138	1760705	0	0	13.446389862532651	0.0
GRASO_129	127524159	0	25799773	98551955	0	423435	2748996	0	0	1379594	1369402	2261208	487788	0	0	2.1556668332939175	0.0
GRASO_130	85460681	0	31147713	39112951	0	1023232	14176785	0	0	7144026	7032759	12045000	2131785	0	0	16.58866373882511	0.0
GRASO_131	103178973	0	30625674	58230265	0	964552	13358482	0	0	6722253	6636229	11213023	2145459	0	0	12.946903435450944	0.0
GRASO_132	67186679	0	22335498	33286341	0	791517	10773323	0	0	5432471	5340852	8968476	1804847	0	0	16.034909241458415	0.0
