Sample	se_sense	se_antisense	failed
GRASO_121	0.0293	0.9462	0.0245
GRASO_122	0.0316	0.939	0.0294
GRASO_123	0.0296	0.9485	0.0219
GRASO_124	0.0347	0.9524	0.0129
GRASO_125	0.0325	0.935	0.0325
GRASO_126	0.0253	0.9502	0.0245
GRASO_127	0.0283	0.94	0.0318
GRASO_128	0.0281	0.9462	0.0257
GRASO_129	0.0659	0.921	0.0131
GRASO_130	0.0285	0.9429	0.0286
GRASO_131	0.0243	0.9465	0.0292
GRASO_132	0.0242	0.9511	0.0247
GRASO_133	0.0232	0.9516	0.0252
GRASO_134	0.0316	0.9524	0.0159
GRASO_135	0.0287	0.9556	0.0157
GRASO_136	0.0252	0.9498	0.025
GRASO_137	0.0355	0.9535	0.0109
GRASO_138	0.0256	0.95	0.0244
GRASO_139	0.0316	0.9507	0.0177
GRASO_140	0.0293	0.9456	0.0251
GRASO_141	0.0268	0.95	0.0232
GRASO_142	0.0277	0.9463	0.026
GRASO_143	0.0457	0.9413	0.013
GRASO_144	0.0404	0.9499	0.0097
GRASO_145	0.0386	0.9317	0.0298
GRASO_146	0.0331	0.9527	0.0142
GRASO_147	0.0344	0.948	0.0176
GRASO_148	0.0286	0.9529	0.0185
GRASO_149	0.0273	0.9552	0.0176
GRASO_150	0.0288	0.949	0.0223
GRASO_151	0.0277	0.9547	0.0176
GRASO_152	0.0334	0.9411	0.0256
GRASO_153	0.027	0.9491	0.0239
GRASO_154	0.027	0.9592	0.0138
GRASO_155	0.032	0.9378	0.0302
GRASO_156	0.0289	0.9562	0.0148
GRASO_157	0.0251	0.9574	0.0174
GRASO_158	0.0291	0.9562	0.0147
GRASO_159	0.0297	0.9377	0.0327
GRASO_160	0.0252	0.9514	0.0234
GRASO_161	0.035	0.9507	0.0143
GRASO_162	0.028	0.9503	0.0217
GRASO_163	0.0301	0.9527	0.0172
GRASO_164	0.034	0.9502	0.0158
GRASO_165	0.0347	0.9455	0.0199
GRASO_166	0.0307	0.9501	0.0192
GRASO_167	0.032	0.9545	0.0134
GRASO_168	0.0279	0.9514	0.0206
GRASO_169	0.0564	0.9272	0.0164
GRASO_170	0.027	0.9482	0.0247
GRASO_171	0.0249	0.9508	0.0243
GRASO_172	0.0334	0.9512	0.0154
GRASO_173	0.026	0.9588	0.0152
GRASO_174	0.0213	0.9593	0.0194
GRASO_175	0.0286	0.9552	0.0161
GRASO_176	0.0221	0.9573	0.0206
GRASO_177	0.0233	0.9577	0.019
GRASO_178	0.0249	0.9513	0.0238
GRASO_179	0.0312	0.9407	0.0281
GRASO_180	0.0252	0.9514	0.0235
HIGADO_01	0.0158	0.9632	0.021
HIGADO_02	0.0167	0.9624	0.0209
HIGADO_03	0.015	0.963	0.022
HIGADO_04	0.0156	0.9625	0.0219
HIGADO_05	0.0146	0.9616	0.0238
HIGADO_06	0.0151	0.9633	0.0216
HIGADO_07	0.0172	0.961	0.0218
HIGADO_08	0.0165	0.962	0.0215
HIGADO_09	0.0175	0.9617	0.0208
HIGADO_10	0.0168	0.9635	0.0197
HIGADO_11	0.0167	0.9621	0.0212
HIGADO_12	0.0167	0.9627	0.0205
HIGADO_13	0.0159	0.9615	0.0226
HIGADO_14	0.0173	0.9583	0.0245
HIGADO_15	0.0163	0.9602	0.0235
HIGADO_16	0.0152	0.9637	0.0211
HIGADO_17	0.0168	0.9614	0.0218
HIGADO_18	0.0191	0.9579	0.023
HIGADO_19	0.0167	0.9614	0.0219
HIGADO_20	0.0144	0.9632	0.0225
HIGADO_21	0.0165	0.9558	0.0277
HIGADO_22	0.0147	0.967	0.0184
HIGADO_23	0.0166	0.9629	0.0205
HIGADO_24	0.0167	0.9614	0.0219
HIGADO_25	0.0153	0.9665	0.0182
HIGADO_26	0.0154	0.9598	0.0248
HIGADO_27	0.0165	0.9619	0.0217
HIGADO_28	0.0135	0.9657	0.0208
HIGADO_29	0.016	0.9621	0.0219
HIGADO_30	0.0142	0.9643	0.0215
HIGADO_31	0.0135	0.9648	0.0217
HIGADO_32	0.0154	0.9624	0.0222
HIGADO_33	0.0148	0.9624	0.0228
HIGADO_34	0.0211	0.9556	0.0233
HIGADO_35	0.0181	0.9612	0.0207
HIGADO_36	0.0156	0.9628	0.0216
HIGADO_37	0.0162	0.9621	0.0217
HIGADO_38	0.0159	0.963	0.021
HIGADO_39	0.016	0.9612	0.0229
HIGADO_40	0.0162	0.9621	0.0217
HIGADO_41	0.0174	0.9616	0.0211
HIGADO_42	0.0201	0.9596	0.0202
HIGADO_43	0.0197	0.9569	0.0234
HIGADO_44	0.0169	0.9628	0.0203
HIGADO_45	0.0189	0.959	0.0222
HIGADO_46	0.0138	0.9653	0.0209
HIGADO_47	0.0151	0.9659	0.0189
HIGADO_48	0.0158	0.9645	0.0197
HIGADO_49	0.0163	0.9604	0.0234
HIGADO_50	0.015	0.9636	0.0214
HIGADO_51	0.0156	0.9639	0.0205
HIGADO_52	0.0154	0.963	0.0216
HIGADO_53	0.015	0.9626	0.0224
HIGADO_54	0.0151	0.9628	0.0221
HIGADO_55	0.0153	0.9638	0.0209
HIGADO_56	0.0137	0.9657	0.0206
HIGADO_57	0.0151	0.9638	0.0211
HIGADO_58	0.0141	0.9633	0.0225
HIGADO_59	0.0151	0.9623	0.0226
HIGADO_60	0.0149	0.9634	0.0217
MUSCULO_100	0.0267	0.9542	0.019
MUSCULO_101	0.0374	0.9486	0.014
MUSCULO_102	0.0282	0.9585	0.0134
MUSCULO_103	0.0291	0.9571	0.0137
MUSCULO_104	0.0382	0.9492	0.0126
MUSCULO_105	0.0453	0.9416	0.0131
MUSCULO_106	0.0354	0.9517	0.0129
MUSCULO_107	0.0452	0.9422	0.0126
MUSCULO_108	0.0322	0.9521	0.0157
MUSCULO_109	0.0274	0.9595	0.0131
MUSCULO_110	0.0344	0.9533	0.0123
MUSCULO_111	0.0373	0.9507	0.012
MUSCULO_112	0.0413	0.9461	0.0126
MUSCULO_113	0.0431	0.9456	0.0113
MUSCULO_114	0.0377	0.9508	0.0114
MUSCULO_115	0.047	0.9421	0.0109
MUSCULO_116	0.0347	0.9499	0.0154
MUSCULO_117	0.0316	0.9554	0.013
MUSCULO_118	0.0358	0.9501	0.0141
MUSCULO_119	0.0322	0.9553	0.0125
MUSCULO_120	0.0396	0.9471	0.0133
MUSCULO_61	0.0387	0.9466	0.0147
MUSCULO_62	0.0295	0.9545	0.016
MUSCULO_63	0.0371	0.9473	0.0156
MUSCULO_64	0.026	0.961	0.013
MUSCULO_65	0.0291	0.9578	0.0132
MUSCULO_66	0.0311	0.9563	0.0126
MUSCULO_67	0.0301	0.956	0.0139
MUSCULO_68	0.0319	0.9559	0.0122
MUSCULO_69	0.0261	0.9624	0.0115
MUSCULO_70	0.0388	0.9479	0.0133
MUSCULO_71	0.0312	0.9562	0.0127
MUSCULO_72	0.0216	0.9645	0.0139
MUSCULO_73	0.0386	0.9482	0.0132
MUSCULO_74	0.0273	0.9582	0.0145
MUSCULO_75	0.0314	0.9549	0.0137
MUSCULO_76	0.0311	0.9559	0.0131
MUSCULO_77	0.024	0.9591	0.0169
MUSCULO_78	0.0411	0.9445	0.0144
MUSCULO_79	0.0419	0.9452	0.0129
MUSCULO_80	0.028	0.9593	0.0128
MUSCULO_81	0.0339	0.9531	0.013
MUSCULO_82	0.045	0.9427	0.0123
MUSCULO_83	0.0409	0.9439	0.0152
MUSCULO_84	0.0291	0.9563	0.0147
MUSCULO_85	0.0384	0.9476	0.014
MUSCULO_86	0.0388	0.9486	0.0127
MUSCULO_87	0.0305	0.9547	0.0147
MUSCULO_88	0.0537	0.9339	0.0124
MUSCULO_89	0.034	0.9537	0.0123
MUSCULO_90	0.0299	0.9511	0.019
MUSCULO_91	0.0389	0.9467	0.0145
MUSCULO_92	0.0361	0.952	0.0119
MUSCULO_93	0.0403	0.9455	0.0141
MUSCULO_94	0.0403	0.9476	0.0121
MUSCULO_95	0.0353	0.9503	0.0144
MUSCULO_96	0.0249	0.9637	0.0114
MUSCULO_97	0.0309	0.9558	0.0133
MUSCULO_98	0.0245	0.9623	0.0132
MUSCULO_99	0.0443	0.9409	0.0148
