Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
GRASO_121	1891856	1751335	47600	84528	182113	134460	17760	29893	92.57232051488063	2.5160477330198496	4.467993335644996	73.83327933755416	9.752186829056685	16.414533833389157
GRASO_122	2133576	1977707	51696	94996	182626	132562	18078	31986	92.69447162885221	2.422974386663517	4.452431035969658	72.58659774621357	9.898919102427913	17.514483151358515
GRASO_123	1816191	1688934	46051	74970	168751	127922	17117	23712	92.99319289656209	2.53558133478252	4.127869811049608	75.8051804137457	10.143347298682674	14.05147228757163
GRASO_124	996946	919930	22432	49390	149578	117525	10001	22052	92.27480726137625	2.250071719029917	4.954129912753549	78.5710465442779	6.686143684231638	14.742809771490458
GRASO_125	2216124	2047435	58493	100650	190219	135940	20969	33310	92.3881064416973	2.6394281186431807	4.541713369829486	71.46499561032283	11.023609628901424	17.511394760775737
GRASO_126	1953378	1810426	47986	86215	178608	131741	16919	29948	92.68180556963374	2.456564986397922	4.413636275211454	73.75985398190451	9.472699991041834	16.76744602705366
GRASO_127	2471883	2292966	60929	107889	190310	135698	20031	34581	92.76191470227353	2.4648820352743233	4.364648326801875	71.30366244548368	10.525458462508539	18.170879092007777
GRASO_128	1893275	1752990	47088	84908	180463	132485	17648	30330	92.59035269572567	2.4871188813035614	4.484715638245897	73.41394080781102	9.779289937549525	16.806769254639455
GRASO_129	525941	463942	13994	43271	106846	81839	5179	19828	88.21179561966076	2.660754723438561	8.227348695005714	76.59528667427887	4.847163206858469	18.55755011886266
GRASO_130	2289784	2135670	54512	91074	180464	133067	18577	28820	93.26949616208341	2.3806612326752217	3.9774057290993383	73.73603599609895	10.29401985991666	15.969944143984396
