Sample	10	11	12	13	14	15	16	17	18	19	1	20	2	3	4	5	6	7	8	9	MT	X	Y	*
GRASO_121	[4879145, 112626471]	[1584472, 90463843]	[5456984, 52716770]	[1321637, 114033958]	[7829194, 115493446]	[1375896, 111246239]	[1140554, 90668790]	[1626720, 90843779]	[1239761, 88201929]	[1773157, 62275575]	[8545750, 282763074]	[1969417, 56205956]	[4353713, 266435125]	[3226041, 177699992]	[2965252, 184226339]	[3896361, 173707219]	[8282858, 147991367]	[5532593, 145729302]	[4570855, 133307652]	[2368083, 122095297]	[2794262, 16313]	[2700067, 159970021]	[26315, 3310458]	[0, 0]
GRASO_122	[4945802, 112626471]	[2019284, 90463843]	[11854886, 52716770]	[1593324, 114033958]	[7420828, 115493446]	[1683381, 111246239]	[1444904, 90668790]	[2056294, 90843779]	[1644007, 88201929]	[2394126, 62275575]	[8591425, 282763074]	[2715618, 56205956]	[5390110, 266435125]	[3775909, 177699992]	[3872638, 184226339]	[3760128, 173707219]	[10586854, 147991367]	[9797164, 145729302]	[6419384, 133307652]	[2836720, 122095297]	[2600258, 16313]	[4902414, 159970021]	[10330, 3310458]	[0, 0]
GRASO_123	[13601695, 112626471]	[3721809, 90463843]	[23753035, 52716770]	[1025831, 114033958]	[22274731, 115493446]	[2479926, 111246239]	[825854, 90668790]	[2515859, 90843779]	[1777500, 88201929]	[4731638, 62275575]	[10055134, 282763074]	[1319523, 56205956]	[13473058, 266435125]	[5312471, 177699992]	[3847984, 184226339]	[4244240, 173707219]	[37181725, 147991367]	[18237227, 145729302]	[8394950, 133307652]	[4575890, 122095297]	[998657, 16313]	[7856748, 159970021]	[29390, 3310458]	[0, 0]
GRASO_124	[2553613, 112626471]	[1056596, 90463843]	[9007259, 52716770]	[752950, 114033958]	[2529423, 115493446]	[711166, 111246239]	[753151, 90668790]	[943086, 90843779]	[740527, 88201929]	[1410618, 62275575]	[4403558, 282763074]	[1038449, 56205956]	[3347293, 266435125]	[1869655, 177699992]	[1906363, 184226339]	[2239800, 173707219]	[8165777, 147991367]	[8111189, 145729302]	[4452949, 133307652]	[1203975, 122095297]	[2419667, 16313]	[3452547, 159970021]	[15092, 3310458]	[0, 0]
GRASO_125	[6088200, 112626471]	[1938244, 90463843]	[8655367, 52716770]	[1665869, 114033958]	[6081997, 115493446]	[1945571, 111246239]	[1256609, 90668790]	[2365741, 90843779]	[1715597, 88201929]	[2630069, 62275575]	[8882016, 282763074]	[1923697, 56205956]	[5942647, 266435125]	[3973300, 177699992]	[3685554, 184226339]	[3936050, 173707219]	[11851579, 147991367]	[8292003, 145729302]	[5722419, 133307652]	[2870518, 122095297]	[2163374, 16313]	[5063407, 159970021]	[38093, 3310458]	[0, 0]
GRASO_126	[5075133, 112626471]	[1590998, 90463843]	[15634306, 52716770]	[1186801, 114033958]	[11048654, 115493446]	[1462477, 111246239]	[994848, 90668790]	[1823044, 90843779]	[1294545, 88201929]	[3517493, 62275575]	[8280870, 282763074]	[1460964, 56205956]	[5198917, 266435125]	[3164978, 177699992]	[3052466, 184226339]	[3724803, 173707219]	[19792183, 147991367]	[10263455, 145729302]	[7975393, 133307652]	[2414710, 122095297]	[3109091, 16313]	[5208285, 159970021]	[23813, 3310458]	[0, 0]
GRASO_127	[5261243, 112626471]	[2063905, 90463843]	[9125831, 52716770]	[1742346, 114033958]	[10147014, 115493446]	[1734436, 111246239]	[1681407, 90668790]	[2172987, 90843779]	[1659868, 88201929]	[2703872, 62275575]	[10086461, 282763074]	[2706980, 56205956]	[5558331, 266435125]	[4082928, 177699992]	[4072121, 184226339]	[4328357, 173707219]	[11618784, 147991367]	[8462574, 145729302]	[6729744, 133307652]	[3031859, 122095297]	[2677429, 16313]	[4913141, 159970021]	[27608, 3310458]	[0, 0]
GRASO_128	[6666062, 112626471]	[1730773, 90463843]	[13164530, 52716770]	[1368121, 114033958]	[8417074, 115493446]	[1719818, 111246239]	[1233942, 90668790]	[2376385, 90843779]	[1674408, 88201929]	[2980090, 62275575]	[9285378, 282763074]	[1582390, 56205956]	[5791517, 266435125]	[3848317, 177699992]	[4002788, 184226339]	[3775119, 173707219]	[16126123, 147991367]	[10079347, 145729302]	[6211137, 133307652]	[3127467, 122095297]	[2026619, 16313]	[4763281, 159970021]	[26158, 3310458]	[0, 0]
GRASO_129	[3014966, 112626471]	[744919, 90463843]	[6915336, 52716770]	[306305, 114033958]	[48850254, 115493446]	[554555, 111246239]	[493829, 90668790]	[584557, 90843779]	[380423, 88201929]	[1803082, 62275575]	[16301579, 282763074]	[676390, 56205956]	[2442345, 266435125]	[1406270, 177699992]	[1284821, 184226339]	[9344354, 173707219]	[17248295, 147991367]	[8010942, 145729302]	[2881356, 133307652]	[1391829, 122095297]	[307412, 16313]	[2541261, 159970021]	[39079, 3310458]	[0, 0]
GRASO_130	[5263606, 112626471]	[1696558, 90463843]	[8670411, 52716770]	[1276820, 114033958]	[4304095, 115493446]	[1221834, 111246239]	[1296051, 90668790]	[1705060, 90843779]	[1335138, 88201929]	[2484795, 62275575]	[8261167, 282763074]	[2550578, 56205956]	[4517682, 266435125]	[3373458, 177699992]	[3254099, 184226339]	[3186021, 173707219]	[10052725, 147991367]	[8123486, 145729302]	[5233049, 133307652]	[2477381, 122095297]	[1504503, 16313]	[3656083, 159970021]	[16081, 3310458]	[0, 0]
GRASO_131	[9238684, 112626471]	[1919912, 90463843]	[9141166, 52716770]	[1133445, 114033958]	[7731424, 115493446]	[1189835, 111246239]	[1235014, 90668790]	[1734923, 90843779]	[1289493, 88201929]	[2687292, 62275575]	[9125677, 282763074]	[1927267, 56205956]	[5980690, 266435125]	[3846656, 177699992]	[3761321, 184226339]	[3470991, 173707219]	[14328185, 147991367]	[9090671, 145729302]	[5266312, 133307652]	[4284427, 122095297]	[871036, 16313]	[3910408, 159970021]	[14144, 3310458]	[0, 0]
GRASO_132	[4451560, 112626471]	[1354638, 90463843]	[6975561, 52716770]	[882998, 114033958]	[2811606, 115493446]	[901530, 111246239]	[886386, 90668790]	[1262805, 90843779]	[990109, 88201929]	[2115059, 62275575]	[6311025, 282763074]	[1961232, 56205956]	[3588894, 266435125]	[2354422, 177699992]	[2350301, 184226339]	[2252571, 173707219]	[8750026, 147991367]	[6870201, 145729302]	[4228508, 133307652]	[1845596, 122095297]	[919263, 16313]	[3111769, 159970021]	[10619, 3310458]	[0, 0]
GRASO_133	[5549862, 112626471]	[1535177, 90463843]	[9991765, 52716770]	[977605, 114033958]	[3884774, 115493446]	[993655, 111246239]	[1085430, 90668790]	[1453381, 90843779]	[1167754, 88201929]	[2522573, 62275575]	[7805272, 282763074]	[1920540, 56205956]	[4022443, 266435125]	[2642567, 177699992]	[2713703, 184226339]	[2737620, 173707219]	[10863336, 147991367]	[8183376, 145729302]	[5233901, 133307652]	[2020883, 122095297]	[1359821, 16313]	[3686795, 159970021]	[4069, 3310458]	[0, 0]
GRASO_134	[2897892, 112626471]	[932530, 90463843]	[3724266, 52716770]	[779501, 114033958]	[1822909, 115493446]	[730261, 111246239]	[833413, 90668790]	[953565, 90843779]	[781435, 88201929]	[1053688, 62275575]	[5153974, 282763074]	[1211296, 56205956]	[2414292, 266435125]	[1853676, 177699992]	[1871151, 184226339]	[1857723, 173707219]	[4512376, 147991367]	[3651907, 145729302]	[3046926, 133307652]	[1321232, 122095297]	[1945251, 16313]	[1814103, 159970021]	[3557, 3310458]	[0, 0]
