Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
GRASO_121	45980765.0	97.0	35757170.0	77.77	96.53	7380274.0	7361918.0	7273031.0	66369.0	6662.0	34212.0	0.41	0.02	2.03	0.01	1.77	8680659.0	18.88	70124.0	0.15	0.0	2.95	0.25	0	1357749	115063
GRASO_122	55788450.0	97.0	44192135.0	79.21	97.04	9303643.0	9285233.0	9183772.0	76470.0	7405.0	35996.0	0.4	0.02	2.0	0.01	1.8	9960924.0	17.85	123340.0	0.22	0.0	2.52	0.19	0	1406040	106011
GRASO_123	60346845.0	96.0	29986772.0	49.69	96.16	6700469.0	6681442.0	6580763.0	80523.0	5848.0	33335.0	0.42	0.02	1.73	0.01	1.64	24921685.0	41.3	444254.0	0.74	0.0	6.26	2.02	0	3775758	1218376
GRASO_124	30665502.0	93.0	21473432.0	70.02	95.32	4656734.0	4643652.0	4583458.0	41020.0	13554.0	18702.0	0.51	0.03	2.23	0.02	1.77	6394435.0	20.85	34549.0	0.11	0.0	8.93	0.08	0	2738552	24534
GRASO_125	54007260.0	98.0	41793620.0	77.39	97.16	7997794.0	7978230.0	7886506.0	68320.0	7580.0	35388.0	0.4	0.02	1.96	0.02	1.78	10632353.0	19.69	111564.0	0.21	0.0	2.44	0.28	0	1318428	151295
GRASO_126	49989393.0	97.0	32552439.0	65.12	96.6	6632718.0	6614706.0	6503142.0	93313.0	5683.0	30580.0	0.44	0.02	1.96	0.02	1.79	15550194.0	31.11	87631.0	0.18	0.0	3.02	0.58	0	1509269	289860
GRASO_127	61413611.0	97.0	47678234.0	77.63	96.94	11416386.0	11390006.0	11266893.0	87813.0	9400.0	52280.0	0.4	0.02	2.02	0.01	1.74	11635839.0	18.95	199752.0	0.33	0.0	2.7	0.39	0	1660007	239779
GRASO_128	52979709.0	97.0	37414369.0	70.62	96.6	7592304.0	7573288.0	7492177.0	59145.0	7032.0	33950.0	0.41	0.02	1.96	0.01	1.77	13760919.0	25.97	119762.0	0.23	0.0	2.89	0.29	0	1531027	153632
GRASO_129	37260361.0	88.0	10393344.0	27.89	89.96	3192934.0	3171097.0	3096408.0	73860.0	2285.0	20381.0	0.73	0.03	2.58	0.02	1.87	18578860.0	49.86	371812.0	1.0	0.0	18.71	2.54	0	6970109	946236
GRASO_130	47952762.0	97.0	37084180.0	77.33	96.46	9678281.0	9658987.0	9549636.0	74072.0	17151.0	37422.0	0.38	0.02	1.91	0.01	1.72	9263550.0	19.32	56393.0	0.12	0.0	3.07	0.16	0	1471926	76713
GRASO_131	46439104.0	97.0	32985960.0	71.03	96.68	8834648.0	8817125.0	8715024.0	77552.0	6942.0	35130.0	0.39	0.02	1.9	0.01	1.65	11962748.0	25.76	137550.0	0.3	0.0	2.72	0.2	0	1260185	92661
GRASO_132	35157105.0	97.0	26364402.0	74.99	96.66	7157933.0	7142756.0	7068272.0	55371.0	6068.0	28222.0	0.37	0.02	1.95	0.01	1.73	7535936.0	21.44	79000.0	0.22	0.0	3.26	0.09	0	1146125	31642
GRASO_133	42150512.0	97.0	31455943.0	74.63	96.8	8845640.0	8829783.0	8742221.0	63989.0	6828.0	32602.0	0.37	0.02	1.84	0.01	1.69	9601840.0	22.78	66101.0	0.16	0.0	2.26	0.17	0	954806	71822
GRASO_134	30657141.0	94.0	23839951.0	77.76	95.76	5994498.0	5984620.0	5922477.0	44699.0	5993.0	21329.0	0.39	0.02	1.97	0.01	1.73	4867001.0	15.88	36534.0	0.12	0.0	6.17	0.08	0	1889160	24495
GRASO_135	30713532.0	95.0	24139099.0	78.59	96.3	4932681.0	4920975.0	4866304.0	40168.0	5535.0	20674.0	0.43	0.02	2.15	0.02	1.82	5080336.0	16.54	36900.0	0.12	0.0	4.66	0.09	0	1429587	27610
GRASO_136	38936827.0	96.0	25696803.0	66.0	95.91	6562090.0	6547103.0	6481097.0	48721.0	5254.0	27018.0	0.39	0.02	1.88	0.01	1.71	11733215.0	30.13	64635.0	0.17	0.0	3.5	0.2	0	1364219	77955
GRASO_137	31445963.0	85.0	19807673.0	62.99	94.96	3041263.0	3026532.0	2984697.0	39064.0	3989.0	13513.0	0.5	0.03	2.22	0.02	1.88	4881214.0	15.52	39112.0	0.12	0.0	21.25	0.11	0	6683368	34596
GRASO_138	44154961.0	97.0	33901309.0	76.78	96.1	6887062.0	6871298.0	6797148.0	54478.0	5977.0	29459.0	0.39	0.02	2.01	0.01	1.8	8901073.0	20.16	55841.0	0.13	0.0	2.67	0.27	0	1177650	119088
GRASO_139	30531236.0	96.0	23578978.0	77.23	95.89	4150948.0	4135892.0	4094260.0	34018.0	4438.0	18232.0	0.46	0.02	2.16	0.02	1.89	5471237.0	17.92	57557.0	0.19	0.0	4.53	0.13	0	1383754	39710
GRASO_140	53057936.0	97.0	39185155.0	73.85	96.23	8384900.0	8364204.0	8259270.0	83666.0	7641.0	34323.0	0.4	0.02	2.02	0.01	1.8	12390720.0	23.35	71259.0	0.13	0.0	2.45	0.2	0	1304326	106476
GRASO_141	42525766.0	96.0	29715502.0	69.88	95.81	6047470.0	6029878.0	5962804.0	53330.0	5236.0	26100.0	0.44	0.02	2.04	0.01	1.82	11072146.0	26.04	168857.0	0.4	0.0	3.23	0.46	0	1373635	195626
GRASO_142	47528958.0	97.0	36158010.0	76.08	96.13	7965061.0	7947957.0	7866785.0	60977.0	6366.0	30933.0	0.4	0.02	2.05	0.01	1.79	10021132.0	21.08	61953.0	0.13	0.0	2.54	0.17	0	1207075	80788
GRASO_143	37046065.0	93.0	11726146.0	31.65	92.76	3208593.0	3178235.0	3078729.0	90872.0	7834.0	31158.0	0.64	0.03	2.61	0.02	1.48	18968462.0	51.2	186102.0	0.5	0.0	12.85	3.79	0	4761106	1404249
GRASO_144	55609627.0	76.0	13514066.0	24.3	89.31	2136453.0	2092174.0	1920544.0	178534.0	11028.0	26347.0	0.88	0.02	2.02	0.01	1.86	15115041.0	27.18	735075.0	1.32	0.0	43.52	3.67	0	24204318	2041127
GRASO_145	182143733.0	97.0	140576051.0	77.18	97.17	35401459.0	35337372.0	34760668.0	465895.0	33735.0	141161.0	0.41	0.02	2.05	0.01	1.72	35653266.0	19.57	188333.0	0.1	0.0	2.62	0.52	0	4777814	948269
GRASO_146	49529201.0	95.0	35109865.0	70.89	96.69	6318523.0	6303842.0	6208452.0	78937.0	6095.0	25039.0	0.52	0.03	1.99	0.01	1.75	11198727.0	22.61	63646.0	0.13	0.0	6.11	0.26	0	3028107	128856
GRASO_147	32924960.0	95.0	25105227.0	76.25	96.74	6011312.0	5999808.0	5915521.0	66730.0	5791.0	23270.0	0.45	0.02	2.16	0.02	1.72	5590476.0	16.98	32703.0	0.1	0.0	6.53	0.14	0	2150449	46105
GRASO_148	42265295.0	95.0	32175038.0	76.13	97.07	8254482.0	8240916.0	8148239.0	70200.0	6623.0	29420.0	0.42	0.02	2.03	0.01	1.69	7551337.0	17.87	43013.0	0.1	0.0	5.81	0.1	0	2453675	42232
GRASO_149	28549245.0	96.0	22311557.0	78.15	97.11	5200819.0	5191550.0	5130385.0	45937.0	3906.0	20591.0	0.43	0.02	2.07	0.01	1.74	4913723.0	17.21	40846.0	0.14	0.0	4.35	0.14	0	1243111	40008
GRASO_150	62022125.0	97.0	48748258.0	78.6	97.04	11246281.0	11226800.0	11090176.0	104073.0	10434.0	41598.0	0.44	0.02	1.97	0.01	1.75	11151887.0	17.98	70015.0	0.11	0.0	3.14	0.17	0	1946577	105388
GRASO_151	43896285.0	96.0	33561897.0	76.46	96.88	8083939.0	8070564.0	7973103.0	72492.0	7539.0	30805.0	0.46	0.02	2.01	0.01	1.71	8445801.0	19.24	47380.0	0.11	0.0	4.05	0.15	0	1775450	65757
GRASO_152	55664862.0	97.0	45613221.0	81.94	96.52	10654545.0	10635796.0	10515183.0	92489.0	10852.0	36021.0	0.4	0.02	2.12	0.01	1.81	8550599.0	15.36	84334.0	0.15	0.0	2.43	0.11	0	1355355	61353
GRASO_153	47173656.0	97.0	34926973.0	74.04	96.59	7635549.0	7617182.0	7527248.0	72281.0	6421.0	29599.0	0.42	0.02	2.13	0.02	1.81	10759287.0	22.81	80370.0	0.17	0.0	2.72	0.26	0	1284265	122761
GRASO_154	11932823.0	94.0	8357967.0	70.04	96.47	1772341.0	1767608.0	1734725.0	24175.0	6279.0	7162.0	0.4	0.02	1.98	0.01	1.75	2463731.0	20.65	14451.0	0.12	0.0	9.1	0.09	0	1085934	10740
GRASO_155	69688275.0	97.0	52347168.0	75.12	97.03	12444265.0	12418182.0	12277805.0	107499.0	9577.0	49384.0	0.41	0.02	2.05	0.01	1.8	15201511.0	21.81	112833.0	0.16	0.0	2.63	0.28	0	1831748	195015
GRASO_156	27811749.0	88.0	16880306.0	60.69	95.73	4724398.0	4714709.0	4634001.0	63517.0	4297.0	22583.0	0.43	0.02	2.1	0.01	1.74	5765201.0	20.73	33468.0	0.12	0.0	18.36	0.09	0	5107736	25038
GRASO_157	37701549.0	93.0	27885676.0	73.96	96.66	5657400.0	5642805.0	5573931.0	56606.0	5718.0	21145.0	0.45	0.02	2.12	0.02	1.83	6003000.0	15.92	49492.0	0.13	0.0	9.85	0.13	0	3714359	49022
GRASO_158	30773485.0	98.0	23821034.0	77.41	97.45	6070414.0	6059633.0	5996835.0	44930.0	5740.0	22909.0	0.44	0.02	2.07	0.01	1.77	6012310.0	19.54	45585.0	0.15	0.0	2.81	0.1	0	863815	30741
GRASO_159	69519096.0	98.0	54752128.0	78.76	97.32	12891016.0	12868273.0	12714046.0	103383.0	27311.0	46276.0	0.39	0.02	2.04	0.01	1.74	13203348.0	18.99	101883.0	0.15	0.0	1.91	0.19	0	1329485	132252
GRASO_160	49281137.0	97.0	40058291.0	81.29	96.94	10397100.0	10380544.0	10268768.0	81663.0	8946.0	37723.0	0.39	0.02	2.03	0.01	1.73	8083679.0	16.4	49959.0	0.1	0.0	2.08	0.13	0	1025137	64071
GRASO_161	35080212.0	93.0	26691657.0	76.09	95.48	5755630.0	5741445.0	5675052.0	52390.0	6485.0	21703.0	0.48	0.02	2.16	0.02	1.8	5790781.0	16.51	39976.0	0.11	0.0	7.2	0.09	0	2526220	31578
