Sample	x	y
GRASO_121	-59.7818789066549	158.423792331006
GRASO_122	-69.333502096942	159.409674307066
GRASO_123	-43.646618751221	125.331348733468
GRASO_124	-67.6177456923391	155.105906806026
GRASO_125	-50.2052918278263	147.294578147687
GRASO_126	-60.8282056484235	148.266828668653
GRASO_127	-67.8700591661209	156.731478142315
GRASO_128	-56.5669668952462	147.868028400739
GRASO_129	-79.6792393485943	148.282030715915
GRASO_130	-63.955576326464	155.481571060848
GRASO_131	-65.747695444211	151.117612523285
GRASO_132	-64.5173670931981	152.896916028767
GRASO_133	-58.7552457995765	142.453480776971
GRASO_134	-64.2373196999324	144.366325267847
GRASO_135	-66.9445513588288	154.468597401837
GRASO_136	-59.5112485829508	152.202529360483
GRASO_137	-65.7403884222608	149.076174648576
GRASO_138	-65.3449128273611	151.918360618302
GRASO_139	-39.4039842611467	147.06244845967
GRASO_140	-62.3827545232182	148.93047224998
GRASO_141	-66.5527385500219	155.743562200332
GRASO_142	-53.0265445347695	158.949294704406
GRASO_143	-65.733816964068	149.819044793639
GRASO_144	-71.5510786540499	152.56781322134
GRASO_145	-66.6328296538148	151.064852257497
GRASO_146	-65.7990528863784	150.423035576477
GRASO_147	-72.3391572752564	150.055846421515
GRASO_148	-66.8069652582039	146.373183391107
GRASO_149	-69.2731788632008	152.45302048942
GRASO_150	-62.4988193773224	151.80918424971
GRASO_151	-66.213027433565	149.496328398254
GRASO_152	-68.548136086866	162.618005305351
GRASO_153	-68.7829191512533	154.076224304985
GRASO_154	-37.8868155961759	126.812057905746
GRASO_155	-57.1488052289041	159.364282899993
GRASO_156	-66.5805525613441	123.698173536013
GRASO_157	-66.6957716004063	159.562391971082
GRASO_158	-59.6062905266817	138.007160270304
GRASO_159	-61.7190481403912	149.635857388757
GRASO_160	-66.8582203055163	137.578583365784
GRASO_161	-66.1386465292599	149.476780487748
GRASO_162	-71.5592211541956	153.938644826696
GRASO_163	-70.5368000381327	144.813194700523
GRASO_164	-32.4059575071908	132.345397267931
GRASO_165	-68.3365364485656	149.230997654449
GRASO_166	-66.5427953235104	157.610142032701
GRASO_167	-76.0746060828092	156.877594610602
GRASO_168	-67.9069777645462	149.265396567608
GRASO_169	-74.5800890326427	161.917272320812
GRASO_170	-67.0052971976061	154.989287979245
GRASO_171	-67.9182435570549	147.828706440707
GRASO_172	-66.6324122235042	141.895377756348
GRASO_173	-76.0716039205848	145.862278868983
GRASO_174	-66.3460249172538	138.066446670135
GRASO_175	-63.6860774190172	143.796218595063
GRASO_176	-61.7283485371371	143.107800683028
GRASO_177	-65.5489175342951	146.1520269781
GRASO_178	-65.9325313812972	155.402989987379
GRASO_179	-52.8394166877833	142.826072970965
GRASO_180	-66.3575919269029	152.733323844098
HIGADO_01	226.762091863659	-43.9856625688066
HIGADO_02	228.856065020487	-40.2321561162484
HIGADO_03	227.374603165299	-31.5812943556504
HIGADO_04	228.492130705856	-39.2119171922234
HIGADO_05	228.047823099119	-33.4117520909099
HIGADO_06	234.398513394391	-43.099902876517
HIGADO_07	228.667215615978	-44.1329399195655
HIGADO_08	228.435413598625	-36.8344654798983
HIGADO_09	228.544160020264	-39.0404734208937
HIGADO_10	219.218474171521	-25.8787229555006
HIGADO_11	224.034540586186	-32.3423686402035
HIGADO_12	236.110787609839	-39.2588428517501
HIGADO_13	222.745225957651	-32.6733862301019
HIGADO_14	222.143932906247	-33.2528700107051
HIGADO_15	222.78317679496	-29.7714204754452
HIGADO_16	232.41208452834	-42.4582234766527
HIGADO_17	229.204291191363	-41.2527321392313
HIGADO_18	232.150355049471	-43.7562796549878
HIGADO_19	222.353454031616	-37.9179456768
HIGADO_20	225.146864846682	-43.3414923387953
HIGADO_21	227.276780972991	-41.802458660933
HIGADO_22	226.086777093105	-39.270039118277
HIGADO_23	227.718456333379	-43.8165690307088
HIGADO_24	220.9536137312	-31.6493335390594
HIGADO_25	230.385439461152	-42.3462411991289
HIGADO_26	220.203945884861	-35.2112352053253
HIGADO_27	231.519565830941	-39.7226264159226
HIGADO_28	228.98876091599	-38.8181012489616
HIGADO_29	225.134591026814	-34.5607716271792
HIGADO_30	228.884834331069	-39.7253561880837
HIGADO_31	237.607573611323	-50.8410316886038
HIGADO_32	234.511004812677	-42.9917261983109
HIGADO_33	221.332277732212	-31.8653844868441
HIGADO_34	228.564859141504	-32.8420474480819
HIGADO_35	228.882776870626	-46.8008303813669
HIGADO_36	227.337137399242	-37.9823851493428
HIGADO_37	226.936535612589	-38.2420575818665
HIGADO_38	224.588412907884	-37.7892408078692
HIGADO_39	227.386867856772	-39.071307764482
HIGADO_40	229.634542105224	-42.2734272644491
HIGADO_41	221.932346190065	-37.6087661421785
HIGADO_42	223.185895837641	-27.4341183487288
HIGADO_43	224.959917723046	-35.8611416742188
HIGADO_44	225.443313303048	-32.2599115674979
HIGADO_45	232.712696698954	-39.3156708128176
HIGADO_46	228.044934544239	-35.4668487578073
HIGADO_47	221.654921553053	-35.7929341339861
HIGADO_48	223.254075965022	-40.6175594655696
HIGADO_49	217.908739902386	-27.6670151636485
HIGADO_50	230.877693544977	-44.3383602611209
HIGADO_51	228.129261475373	-40.7168710316436
HIGADO_52	232.031972484786	-36.325538777051
HIGADO_53	228.601194832204	-41.8812414772777
HIGADO_54	219.959199773376	-27.9225981859961
HIGADO_55	228.094552823716	-34.4054667895007
HIGADO_56	230.028146585744	-41.3566362400753
HIGADO_57	236.968020961541	-43.5368475646011
HIGADO_58	224.270287323115	-33.1639341001528
HIGADO_59	233.629665287273	-41.6606798975092
HIGADO_60	230.750941350949	-42.8733155607357
MUSCULO_100	-165.001393476921	-120.675527606783
MUSCULO_101	-152.399485471988	-139.600623127971
MUSCULO_102	-162.756334773533	-130.878645959845
MUSCULO_103	-166.356634534471	-128.218455711222
MUSCULO_104	-165.008844164909	-101.745374260985
MUSCULO_105	-164.653800071404	-135.299886117589
MUSCULO_106	-164.539938635717	-114.709032758942
MUSCULO_107	-165.150375583263	-99.9220896198536
MUSCULO_108	-165.385468743205	-129.617826768903
MUSCULO_109	-165.302557779531	-121.060394445849
MUSCULO_110	-165.863584504134	-111.816823778795
MUSCULO_111	-157.14965153424	-93.0177570458148
MUSCULO_112	-164.981407024288	-111.734107296056
MUSCULO_113	-155.606031922933	-43.7472385701899
MUSCULO_114	-162.018228471596	-64.795677993473
MUSCULO_115	-161.817618099824	-73.994977432128
MUSCULO_116	-165.79011233665	-119.347735830402
MUSCULO_117	-167.197186886495	-114.104942236316
MUSCULO_118	-162.440222284865	-116.120622621682
MUSCULO_119	-169.218896017749	-111.824372507045
MUSCULO_120	-161.759064950423	-87.3886009387627
MUSCULO_61	-161.055037459578	-116.602356516707
MUSCULO_62	-163.361656120395	-115.224235302108
MUSCULO_63	-162.660039567693	-118.495104059308
MUSCULO_64	-165.388348332854	-130.599701253422
MUSCULO_65	-165.219106780702	-119.417805126695
MUSCULO_66	-157.977735770103	-71.1874016960033
MUSCULO_67	-164.483711865083	-128.130012973631
MUSCULO_68	-169.207048495278	-128.294599854925
MUSCULO_69	-163.309553060338	-114.237667754569
MUSCULO_70	-155.481421583243	-119.111201778607
MUSCULO_71	-168.550489906697	-103.910952795207
MUSCULO_72	-166.956227067274	-125.178758725411
MUSCULO_73	-164.213928052162	-112.667418638561
MUSCULO_74	-158.615804948212	-91.4935167453818
MUSCULO_75	-167.098604826052	-124.81740220959
MUSCULO_76	-154.599060918634	-70.213693904067
MUSCULO_77	-163.372012316524	-107.663938248225
MUSCULO_78	-165.618661876213	-119.60392183943
MUSCULO_79	-163.323749165605	-115.557022587469
MUSCULO_80	-166.7543303433	-110.517924852198
MUSCULO_81	-164.920210941683	-126.025377512716
MUSCULO_82	-164.739887093555	-119.044219232953
MUSCULO_83	-167.0348506138	-104.552158536054
MUSCULO_84	-162.120034997674	-116.66353764711
MUSCULO_85	-163.222353816964	-118.135938045852
MUSCULO_86	-165.329059385192	-119.654153345304
MUSCULO_87	-165.314998321809	-106.788202241436
MUSCULO_88	-165.329533092348	-106.115376881527
MUSCULO_89	-167.541282626091	-121.899247029579
MUSCULO_90	-167.118142098304	-126.362702191765
MUSCULO_91	-165.540468919146	-112.794857322203
MUSCULO_92	-152.636156450791	-99.7716245232462
MUSCULO_93	-163.99370088791	-136.072460105717
MUSCULO_94	-167.927532880186	-116.03422185532
MUSCULO_95	-164.852303725187	-122.832548738514
MUSCULO_96	-159.217302281515	-73.0359824905974
MUSCULO_97	-159.975539129524	-114.053779359897
MUSCULO_98	-166.499094784052	-88.8058363053102
MUSCULO_99	-166.8255016758	-122.481960261246
