Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
GRASO_121	4451.757661785947	5330.229372485646	6237.853449884918	7141.003353634798	8559.458480605133	9666.740270829489	10605.421252448881	11594.943177610226	12509.603304591656	13197.058452687663	13684.149458116133	14385.885061148914	14630.602336128424	14893.72768891188	15074.001428550564	15394.314994334356	15805.227083963024	16093.226482745527	15921.790571757809	15914.19344388553	15992.351079199752	16190.544138234323	16316.454723107146	16335.47843606779	16471.714314325585	16757.60601524975	17365.700990061614	17864.37441849172	18535.959479972247	18749.453261358674	19002.95858660351	19113.770683266164	19291.245508121683	18865.86850154391	18593.375029111503	18586.245768517652	18026.0816398836	18195.332145136843	18387.804837663713	18533.572302390232	18420.958102885037	18326.140825242954	18538.738689365717	18591.0951469064	18013.350010781163	17787.713701618573	17712.335353553746	17573.615224457004	17835.533295597397	17772.343331623495	18023.646704147504	17592.462303880766	17433.128991891026	17394.400985629596	17057.66516575803	17251.813480385175	17053.167213508474	16767.724300412923	16674.447706997395	15855.64597810938	15271.49931898477	14903.088944253666	14680.09983390993	14562.83185145896	14886.429577411936	14727.442913564526	14672.053667776974	14708.474364536612	14690.868274621593	14576.173426185413	14565.69468319051	14650.738323421227	14772.837907331923	14910.54855378586	15096.244643418984	14884.611404246538	14301.943105088194	14160.31940396256	14365.04346402351	14570.23090710324	14408.124164134422	14793.410398024653	14848.02922958873	14774.523225420273	14468.767061279092	14252.575633031161	13899.719023373413	13381.708588388472	13279.40847206383	12825.737693837007	12319.25343035734	11649.38585406081	10603.397545772017	9403.556814832902	7603.860767048446	6186.921123824222	4747.719538701085	3330.1105473941225	1804.156935370582	452.2674819587175
GRASO_122	5266.128483314328	6178.008634666429	7097.042382420748	7943.516865110197	8943.173239589669	9930.402376179987	10898.205903680746	11866.669439030247	12844.697708351567	13676.003633827102	14209.031476951908	14483.280439649714	14844.416475864184	15195.464498351754	15422.192608632511	15879.726620445363	16319.051751973882	16591.489304436087	16378.755704468607	16380.688032298596	16478.749578398514	16666.41077428091	16796.051082934406	16839.862565789797	16965.112685934928	17071.2252582704	18125.66873413122	18877.17089364733	19661.453473783607	19854.673537363597	20045.062947751077	20094.233915498182	20363.25931570361	19906.830787248357	19672.39358444107	19826.2777578248	19807.446603706205	20038.35884293239	20342.446217305143	20500.6447561939	20663.186859293513	20453.28536762312	20560.189868075162	20650.19745454989	20175.435521450665	19761.08582322406	19804.77241382688	19503.618557714337	19451.367048632794	19361.17371860247	19320.129175593564	19177.15918602443	19025.13921345058	18968.905811694967	18963.93752857707	19213.710276730806	19059.32556364959	18768.818572949935	18700.738914229187	17487.977204494506	16938.963491150094	17075.15472158359	17054.683917470855	17091.353403251065	17061.119545471647	16950.49627680478	16822.788182493194	17043.490440160796	17088.60685787582	17171.547047919095	17164.877863491376	17101.802846080536	17131.337673717953	17310.95987847866	17419.402818017606	17359.049885883236	16726.153537456485	16519.1436310838	16555.817451165494	16600.6007255238	16365.554044486336	16576.239597154552	16678.99267313526	16572.186540224233	16406.714586786828	16263.919736034228	15820.547300897415	15412.542086488671	15227.538018698831	14688.757106754942	14156.308640028657	13310.71521753037	12231.855528929438	11130.126057772173	9181.846333901478	7444.202868005128	5728.26934675027	4054.598654160019	2280.3870639392067	563.0398554413118
GRASO_123	4777.413814006437	6946.704760589131	9156.29718631976	10626.928423731319	14456.90739643982	17382.75405222035	19538.524338541858	22134.639618763504	23599.861799113336	25276.978194594227	26189.090205879602	32091.8095718393	33237.05223927104	33957.79943029271	34908.018837376614	36013.469057849245	36715.62392961572	37579.83472188846	38188.376430913624	39294.13056936451	39767.59356599956	40787.69687602693	41672.687112211235	42210.49780892331	42669.057903778645	43224.841520923124	45976.639586309524	48011.35538320844	49287.38784615	49722.99847954586	49467.686480440454	49013.68963812179	48597.17164460698	47102.53697627228	45748.006082380314	45097.69126355628	42839.55332010254	41569.142850488686	41262.25566406393	40727.46341788318	40402.28520072785	40644.49566796982	40943.93108244113	41776.63155960536	41809.5001003916	41340.77200620887	40934.893021829106	40592.00519195413	40574.333128303886	40215.10099262372	39705.875622377636	39144.42688436487	38482.05621090111	38657.42773704934	38511.6533795854	38683.27886479292	38039.54542874831	37610.83123953518	37196.57981445483	33600.729810507306	28738.972385478897	25324.872119796088	23963.26646649925	22577.654821523778	22137.88316061727	21299.19776145987	20719.901565190186	20808.22672052446	19798.52667360102	19350.630384588305	18895.942937170217	18573.197086829667	18235.64711207132	18216.513800174307	17997.7916426579	17513.553170439478	16982.375154000132	16456.158248748503	16305.47537901391	16246.421241726564	15994.437199899641	15864.196147444576	15614.109530232658	15454.261726318167	15129.26786289581	14694.399679338763	13168.040668553393	12060.029115205412	11648.191360891633	11043.789697840804	10545.700768111037	10017.671293719499	9204.809506094636	8101.513117191953	6816.163281866852	5642.492213654503	4375.532669005554	2811.91613710159	1300.283698708674	325.56940002024623
GRASO_124	2854.8724015737002	3222.8659725679486	3557.834433730113	3922.645541169918	4379.138422824138	4987.327679950178	5548.169137314524	6437.083635728041	7303.811744917013	7860.180307917227	8314.836560758366	8656.483453379666	9065.391001306674	9298.65979582246	9355.270384533063	9576.20688592569	9851.044873112814	9800.969441000743	9517.00970307183	9481.169779372154	9567.387631348098	9803.291638667213	9816.359119450604	9848.654027806064	9970.779453007182	10056.895286401274	11006.93593843589	11809.87498146345	12675.133480987635	12845.83502268406	13045.564803645397	13011.946964833118	12950.358726565923	12663.916347410774	12422.037186169408	12434.536230542404	12547.174544245308	12644.322019451982	12818.973232311679	12942.435464106844	12785.99801093054	12708.868175793676	12801.637981378755	13009.83934730634	12744.16295901336	12421.388977693536	12411.299811125064	12373.020728466272	12649.857405917535	12587.531816675977	12635.099169651752	12606.881388603755	12341.998750836865	12157.712117914836	11793.980695205773	12006.735908503902	12225.28839073684	12142.615556453251	12475.894931851613	11439.351536776798	10951.694702651928	10703.143290838225	10232.863530215875	10182.474702955242	10107.935897163898	9840.491778481752	9482.84650915598	9399.2497859767	9479.22390841786	9842.269942516556	10282.387934854312	10620.410920942233	10768.676586411202	10756.751977306063	10823.207391000862	10868.370023129532	10250.181490225743	10209.065215559945	10263.559747027391	10271.35932145502	9972.395200811343	9918.210195401507	9539.622230923605	9263.357042416385	9172.898081417985	9023.848083263754	8918.171306276561	8521.642934906578	8065.889918875535	7696.912325650926	7385.965439446869	6758.547533431046	5821.029620149682	5081.676756237291	4095.533716735932	3360.9723844865757	2612.3092142705186	1984.5782247392194	1187.1707748363938	278.8458725368112
GRASO_125	5088.652203144819	6159.714308237448	7232.912430348723	8164.734723976324	9696.82511048409	10964.807615739055	12083.165946321284	13291.237928355942	14240.610964086574	15204.140229010149	15811.181939604618	17087.5700853012	17588.214171945474	18051.308054868998	18358.538716798932	18728.960584724435	19000.2258270962	19301.24673472327	19269.716389341436	19508.020047023794	19615.25243775538	19951.745308863698	20157.51301377803	20184.2108759739	20422.073041844422	20787.111582844333	21848.624136780163	22810.70859453181	23648.9076336609	23865.271525165448	24009.283324811564	24019.059885614093	24031.374629574846	23427.713562138124	23043.27576674198	22954.43742298377	22483.08711701572	22410.119912927974	22501.68330931796	22496.199103456725	22282.250008746436	22122.261089399548	22299.57836837232	22360.262044191993	22007.565414609515	21740.6436543614	21689.38483018693	21473.52129986721	21437.58635496868	21391.596645456073	21286.427337810743	21208.072033089844	21054.674630628204	21110.74315719368	21150.602461914586	21424.367146440636	21048.20862549684	20742.00931173766	20535.51197689882	18843.63741689936	17582.63282457222	17047.002954115087	16938.77736212232	16796.478791820427	16934.492226736187	16642.691604266707	16495.052700723307	16528.441533269735	16479.898167395688	16529.431764861918	16547.825085543584	16553.767452047596	16566.36154874985	16689.66098165632	16800.46468297345	16667.581182884183	16266.524517116666	16119.933351226324	16214.106097884676	16327.202167755155	16111.151793464065	16222.104766282993	16306.427727600709	16306.21533350273	16023.285343789941	15776.884621296836	14914.345567159588	14222.981912324227	13943.721685984263	13371.34791431223	12851.793466060897	12060.234481335057	11014.903840023524	9873.965924768792	8225.621653395954	6778.87291471584	5211.755795162552	3576.674684427976	1838.9464299880535	468.8750980998338
GRASO_126	4495.353272202234	5706.711138689514	6805.849799799514	7806.417335838416	9410.973111985506	10744.757264809565	11918.308342770672	12955.519838834769	14139.91305471848	14843.85899967792	15269.659443318715	16091.493958414583	16656.119372558875	16888.696507260025	16917.116049158587	17090.010930153014	17402.863899767613	17668.610944002703	17590.024958163154	17929.761618187993	18059.172137791447	18331.041667442456	18467.92526033974	18539.074029492553	18717.964188690767	19113.778072090518	21077.28494347734	22655.095241742703	23541.077988135232	23857.3641665267	24325.860418513425	24518.085257846502	24866.63203404591	24477.677058217836	24212.412179694096	24183.390806316536	23671.315263500448	23452.848828240196	23554.16367293254	23512.345644322424	23289.36755827436	23159.337059217236	23323.659826501305	23368.091780298502	22813.63639051887	22343.48103079897	22164.050557796752	21863.089190369603	21781.766572318298	21622.30718427948	21375.167265515858	21166.001773964384	21007.860801799463	21011.355288880466	20887.000337323825	20994.91733334998	20805.33310348518	20521.204105021014	20271.73471512333	17751.344935328972	16059.871932868378	15732.67710969438	15603.62784888887	15501.351675690456	15488.757691012292	15201.40652254934	14914.572651677569	15019.641240665862	15045.431311706832	15042.851933619248	14921.74309366556	14863.255514023871	14847.799019982127	14941.50855336636	14938.86169801033	14597.490133823925	13986.093782343025	13732.11840638852	13945.139601853485	14065.489441218679	13920.064935544753	14306.355015599438	14478.218219252169	14425.434471753002	14262.619457708151	14122.175977940418	13461.638004751157	12866.852117633349	12759.542080257617	12230.214518652921	11778.535060687896	11009.0954554288	10012.11590212668	8826.766367439299	7163.632814846667	5633.48878784427	4198.910826422984	2836.8499286834317	1511.083560695726	383.8765093516708
GRASO_127	6786.641042242783	7895.37262298841	8985.369951201805	10083.674409785493	11296.545449043886	12424.944001287813	13509.569503934466	14551.181465083615	15729.881028068863	16475.515135570276	17021.498795778007	17681.783144156543	17945.706720733757	18254.082215751034	18484.616543108274	19015.98901267001	19554.347867981935	19976.71369941303	19835.383585680334	19922.293760013363	20149.96209125599	20376.256962524207	20474.958173652325	20578.424605604298	20840.80198297745	21156.434733776005	22333.796051269106	23363.35537834583	24521.16790235203	24756.24296166453	24987.035839765664	25141.762634548122	25540.24069777451	25109.37636445409	24877.928935356642	24881.9122745831	24793.94074432779	24970.857296240476	25226.749596043664	25427.94216773757	25316.531674198515	25014.676376253337	25245.970181931563	25387.776776877472	24784.27340753452	24382.28807421854	24216.276932131143	23668.003767463793	23541.95167189378	23283.68242056655	23219.046799096042	23158.210472601575	23138.857336768026	23106.386811250297	23044.189845474546	23370.320302516033	22874.761741246908	22487.50958967522	22329.117137838275	20707.828020443565	19803.156649476863	19704.617759506607	19817.09833345692	19881.960928201275	20181.82768569635	19943.92558871577	19741.076101605624	19984.4618046724	20069.537180816013	20087.624048796115	20135.673519379307	20254.471217878963	20492.990247132413	20623.6564774756	20797.705136251298	20821.469187158953	20100.428027939168	19832.196217524448	19884.912909416158	20065.611629743555	19843.23076814756	20068.355399865144	20143.21430422939	19914.648399868944	19756.17719311629	19515.208218574426	19225.102089502543	18744.738189150747	18454.89856309095	17879.665890132746	17262.679971775266	16252.088543082355	14822.50965566751	13371.174960891956	11119.203637705581	9139.020547726563	7020.575680846137	4978.871861045587	2806.4464542584865	692.1188649445302
GRASO_128	4712.826280686216	5754.114262997263	6823.192408222373	7814.747534135356	9622.698896205236	11062.578632841907	12256.207283162685	13481.07471938781	14687.86096547656	15871.656134826075	16467.460710205607	17525.771015285543	17899.26390754976	18329.702337399765	18511.253506764682	18885.847757437557	19464.483211969433	19872.68819358574	19838.3785721833	20074.082806849667	20372.216481321888	21172.273515975914	21383.176917190478	21574.478964211	21801.66606830689	22133.059084075496	23669.48264136236	24738.445376707405	25451.627345406992	25676.816987790113	25849.027368681753	25681.65107695295	25628.075344258967	24630.72381266775	24301.306029913416	24347.67118126948	23568.818016041925	23942.72289061591	23996.040165963823	24071.67626320209	23815.59640348299	23585.54738199854	23934.26199617176	24253.44804991874	23822.882298727087	23591.634847405276	23458.124704792084	23129.562367925864	23031.37122036157	22851.7509004682	23386.052928939167	22496.567627035307	22225.534483021598	22002.523911080785	22054.28130250802	22228.211954452076	21910.85476111733	21597.232108741406	21468.51211064004	19780.71481142582	18586.4426303323	18234.053404880928	18160.126800475125	18027.027185406296	18002.714273789832	17920.941481446967	17771.405875188622	17721.994518090938	17438.763926851407	17049.995377330266	17077.719839027126	17026.64947345046	17091.826317641986	17173.241409295624	17187.268229216763	16971.158495700227	16353.161829428507	16059.270943942533	16074.302566017628	16259.486918541552	16028.133827977934	16122.25219766888	16079.258521936157	15944.444859134815	15678.509710408693	15276.220955269884	14524.906673451043	13892.280675799015	13707.416621352466	13226.254653047836	12710.119725302653	11916.60791044885	10739.872642646791	9512.285572647259	7824.7603034367985	6418.676019672736	4922.7146353501	3429.2461918509157	1794.2910771800548	434.2992745514828
GRASO_129	2717.1026701115707	3605.7376189801366	4064.8237116756136	4356.842268818881	4722.411405552158	4961.857040562929	5276.63290122378	5492.902042890547	5486.507886344498	5349.460706039371	5345.606726019771	5307.221086137992	5578.983657831248	5485.681676521217	5184.653048167526	4909.672183686836	4859.976035170983	4799.03071749776	4702.661268751542	4889.336801450115	5088.397028866658	5241.791950498874	5243.653851367717	5253.239648206715	5336.871160557306	5545.417385133776	6798.54658044039	7606.039891140188	8025.216557175566	8102.218021670567	8208.427875392019	8304.187276517774	8457.873895429222	8343.725913916636	8247.59904736258	8252.179188336715	8238.532353465023	7976.853311653391	7938.86904754833	7806.367682481982	7774.195942113885	7745.044007004461	7761.762633029159	7776.306772047076	7510.370496106141	7121.09523494273	6998.654279561579	6934.69489605058	6783.638439452023	6554.6253291416215	6389.3257746631425	6287.059368204113	6176.106594975709	6447.0713421480705	6817.956588655339	6943.382434679212	6912.568983907672	6938.125901145413	6952.4846173446285	5776.535783876295	4983.2467286072615	4862.384134748275	4769.284541028566	4736.899245685065	4718.762404798862	4741.47367389824	4642.592407343473	4713.9637527484865	4684.609674338052	4692.106083074703	4754.66923578882	4609.004047102734	4585.770178612385	4641.1216663710475	4535.851766774084	4387.746702527688	4316.328779674276	4177.522986253005	4118.908902519681	4154.985539419649	4166.507972743626	4121.237511976363	4105.3997350111995	4020.5691681190956	4021.0054692326526	4009.0538238312847	3517.5060428181823	3264.36891026398	3197.5317319976584	3081.305497977298	2905.936681730954	2747.241274760316	2627.6648512051897	2308.0223706839847	1896.3295854908554	1437.779638511623	1100.6970843694478	662.9526226547122	398.5946445072095	88.4169646499648
GRASO_130	5582.954924733308	6302.690872092823	6994.427164490845	7725.036228978807	8479.285022328273	9298.665862473064	9980.471572166702	10836.612956435614	12206.709118019204	12853.543550477643	13217.89789479571	13414.328368662178	13577.27012019397	13800.167174703325	13911.825444656473	14236.719993821062	14741.534997758927	15122.660890557498	15213.444647167584	15238.97870802328	15260.80624667349	15524.444467463181	15774.680500514334	15968.723246869045	16041.472008744673	16209.212646559508	17208.745030445803	17841.281745444885	18571.078852709605	18773.24561255996	19010.418057745836	18934.7244529933	18730.81249105818	18211.398604195387	18201.12834543946	18437.103459741138	18448.579142516486	18679.19483941802	19138.091742423214	19183.4276310918	18798.704117882837	18501.661713426325	18867.523693362502	19041.857692524936	18746.43603884284	18495.48588056998	18523.850377053725	18090.397191174015	18118.6725779103	18111.9737846145	18176.985688288907	18140.238480067037	17997.860363096945	17915.624348653375	17890.632774376285	18062.266001060303	17866.58176878371	17484.228895405657	17376.942035212534	16332.148447741229	15936.830154814745	16040.69591936076	15733.429859360076	15699.011122739064	16069.573828322675	16194.921529268855	16120.87350673858	16146.254759346057	16176.5521288321	16078.348266176921	15895.11352215688	15830.727814784488	15803.00980139895	15806.772699018027	15924.755200116622	15802.204765025615	15382.407147950447	15310.475404103787	15458.392681236986	15602.06070716575	15417.571229363613	15470.146145796965	15361.319878235534	15202.194199328322	15013.074080746459	14933.883194902588	14837.552413330348	14600.891460383364	14384.672433513395	14009.705856233986	13422.399762509354	12474.471324049406	11297.338899377697	10185.348274476186	8565.1314831778	7111.88387198172	5485.743975227105	3913.9880926689702	2251.699874682403	547.8680299055449
